feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.04855,positive,STL
home_team_id,0.03588,positive,STL
away_team_id,0.022466,positive,STL
pitcher_regression_indicator,0.022375,positive,STL
lineup_handedness_matchup_advantage,0.015979,positive,STL
sp_era_5g_diff,0.015139,positive,STL
exp2_cat_k_breaking_diff,0.010723,positive,STL
team_hardhit_diff,0.008269,positive,STL
bullpen_whip_10g_home,0.00775,positive,STL
bullpen_meltdown_risk,0.007207,positive,STL
bullpen_pitches_diff,0.006823,positive,STL
lineup_depth_multiplier,0.006536,positive,STL
bullpen_whip_3g_home,-0.004756,negative,STL
team_exitvelo_15g_home,0.004636,positive,STL
exp2_centered_k_diff,-0.004613,negative,STL
sp_k9_away,-0.004481,negative,STL
win_pct_diff,-0.004069,negative,STL
woba_30g_diff,0.004062,positive,STL
lineup_woba_mean_away,-0.003777,negative,STL
sp_era_home,0.003771,positive,STL
sp_k9_home,0.00358,positive,STL
sp_xwoba_away,0.003047,positive,STL
home_win_pct,0.003027,positive,STL
away_elo,0.00288,positive,STL
away_win_pct,0.002757,positive,STL
bullpen_whip_diff,0.002623,positive,STL
woba_30g_away,-0.002472,negative,STL
team_exitvelo_15g_away,-0.00244,negative,STL
sp_era_away,0.00224,positive,STL
park_factor_slug_diff,-0.002117,negative,STL
home_elo,0.002099,positive,STL
sp_fbvelo_diff,-0.001978,negative,STL
exp2_cat_platoon_k_fastball_diff,0.001974,positive,STL
lineup_woba_mean_diff,-0.001967,negative,STL
ace_efficiency_factor,0.001919,positive,STL
team_barrel_15g_home,-0.001897,negative,STL
exp2_cat_xwoba_offspeed_diff,0.001796,positive,STL
team_barrel_15g_away,0.001575,positive,STL
elo_diff,0.001448,positive,STL
bullpen_whip_3g_diff,0.001311,positive,STL
woba_30g_home,-0.001273,negative,STL
exp2_cat_xwoba_fastball_diff,0.001253,positive,STL
lineup_woba_top3_home,-0.001101,negative,STL
team_barrel_diff,0.00097,positive,STL
bullpen_whip_3g_away,0.00087,positive,STL
exp2_cat_k_offspeed_diff,0.000861,positive,STL
sp_era_diff,0.000742,positive,STL
bullpen_whip_10g_away,-0.000623,negative,STL
air_density_velocity_boost,-0.000518,negative,STL
wind_advantage_flyball_factor,-0.000378,negative,STL
lineup_woba_mean_home,0.00026,positive,STL
exp2_cat_k_fastball_diff,0.000236,positive,STL
team_exitvelo_diff,-0.000189,negative,STL
lineup_woba_std_diff,0.000159,positive,STL
exp2_cat_xwoba_breaking_diff,0.000149,positive,STL
sp_xwoba_home,0.000147,positive,STL
closer_availability_diff,-0.000121,negative,STL
dome_is_neutral,0.000105,positive,STL
lineup_woba_top3_diff,4.7e-05,positive,STL
travel_fatigue_diff,4.7e-05,positive,STL
lineup_woba_top3_away,-2.6e-05,negative,STL
rest_days_diff,-1e-06,negative,STL
is_home,-0.0,negative,STL
