feature,shap_value,signed_effect,perspective_team
away_team_id,0.181708,positive,SEA
home_team_id,0.120306,positive,SEA
run_margin_diff,-0.029161,negative,SEA
lineup_depth_multiplier,-0.020152,negative,SEA
sp_k9_away,-0.017354,negative,SEA
bullpen_whip_3g_home,0.014608,positive,SEA
exp2_cat_k_breaking_diff,-0.011079,negative,SEA
bullpen_whip_3g_diff,0.010525,positive,SEA
sp_era_5g_diff,0.009461,positive,SEA
team_hardhit_diff,-0.006288,negative,SEA
bullpen_meltdown_risk,-0.006267,negative,SEA
elo_diff,-0.006102,negative,SEA
sp_xwoba_home,0.005621,positive,SEA
air_density_velocity_boost,0.005301,positive,SEA
lineup_handedness_matchup_advantage,0.005162,positive,SEA
sp_era_diff,0.005021,positive,SEA
lineup_woba_mean_away,-0.004816,negative,SEA
sp_k9_home,-0.004597,negative,SEA
exp2_cat_platoon_k_fastball_diff,0.004319,positive,SEA
away_win_pct,-0.003933,negative,SEA
sp_era_home,0.003933,positive,SEA
home_win_pct,0.003867,positive,SEA
bullpen_whip_10g_home,-0.003776,negative,SEA
team_barrel_diff,-0.003558,negative,SEA
bullpen_pitches_diff,-0.003,negative,SEA
lineup_woba_std_diff,0.002917,positive,SEA
team_exitvelo_diff,-0.002909,negative,SEA
sp_fbvelo_diff,0.002742,positive,SEA
team_exitvelo_15g_away,0.002528,positive,SEA
team_exitvelo_15g_home,0.002482,positive,SEA
team_barrel_15g_away,-0.001799,negative,SEA
lineup_woba_top3_diff,-0.001739,negative,SEA
exp2_cat_k_fastball_diff,-0.001533,negative,SEA
pitcher_regression_indicator,0.001511,positive,SEA
exp2_cat_xwoba_fastball_diff,0.001477,positive,SEA
exp2_cat_xwoba_breaking_diff,-0.001444,negative,SEA
bullpen_whip_3g_away,-0.001361,negative,SEA
win_pct_diff,0.001309,positive,SEA
lineup_woba_mean_home,0.001228,positive,SEA
lineup_woba_mean_diff,0.001201,positive,SEA
wind_advantage_flyball_factor,0.00112,positive,SEA
woba_30g_home,0.001019,positive,SEA
team_barrel_15g_home,-0.001,negative,SEA
woba_30g_away,-0.000924,negative,SEA
exp2_cat_k_offspeed_diff,-0.000791,negative,SEA
sp_era_away,-0.000689,negative,SEA
away_elo,-0.000653,negative,SEA
home_elo,0.000616,positive,SEA
park_factor_slug_diff,0.000568,positive,SEA
sp_xwoba_away,-0.000416,negative,SEA
woba_30g_diff,-0.000331,negative,SEA
lineup_woba_top3_home,0.000316,positive,SEA
ace_efficiency_factor,0.000195,positive,SEA
travel_fatigue_diff,-0.000171,negative,SEA
bullpen_whip_10g_away,0.000156,positive,SEA
dome_is_neutral,0.000152,positive,SEA
lineup_woba_top3_away,-0.000103,negative,SEA
exp2_centered_k_diff,-0.000102,negative,SEA
exp2_cat_xwoba_offspeed_diff,-8.8e-05,negative,SEA
bullpen_whip_diff,3.4e-05,positive,SEA
rest_days_diff,1e-06,positive,SEA
closer_availability_diff,-1e-06,negative,SEA
is_home,0.0,negative,SEA
