feature,shap_value,signed_effect,perspective_team
away_team_id,-0.091008,negative,TOR
home_team_id,0.058375,positive,TOR
lineup_woba_std_diff,-0.051451,negative,TOR
lineup_woba_mean_away,-0.022594,negative,TOR
bullpen_meltdown_risk,0.015941,positive,TOR
sp_xwoba_home,0.010622,positive,TOR
sp_fbvelo_diff,0.009549,positive,TOR
sp_era_home,-0.008525,negative,TOR
sp_k9_away,0.008462,positive,TOR
bullpen_whip_diff,0.008364,positive,TOR
elo_diff,0.008001,positive,TOR
sp_era_5g_diff,0.007791,positive,TOR
bullpen_whip_10g_home,0.006505,positive,TOR
air_density_velocity_boost,0.005852,positive,TOR
bullpen_whip_3g_home,0.005777,positive,TOR
lineup_depth_multiplier,-0.005388,negative,TOR
exp2_centered_k_diff,0.005261,positive,TOR
win_pct_diff,0.004778,positive,TOR
lineup_handedness_matchup_advantage,-0.003884,negative,TOR
pitcher_regression_indicator,0.003482,positive,TOR
sp_k9_home,-0.003347,negative,TOR
away_win_pct,-0.003219,negative,TOR
bullpen_pitches_diff,-0.003174,negative,TOR
bullpen_whip_10g_away,-0.003067,negative,TOR
run_margin_diff,-0.002955,negative,TOR
sp_era_diff,0.00286,positive,TOR
woba_30g_diff,0.002808,positive,TOR
team_exitvelo_15g_away,0.002677,positive,TOR
lineup_woba_mean_home,0.002454,positive,TOR
away_elo,-0.002361,negative,TOR
park_factor_slug_diff,-0.002354,negative,TOR
team_barrel_diff,-0.002205,negative,TOR
exp2_cat_xwoba_offspeed_diff,-0.001975,negative,TOR
lineup_woba_top3_diff,-0.001951,negative,TOR
bullpen_whip_3g_away,0.001886,positive,TOR
lineup_woba_top3_home,-0.001859,negative,TOR
team_exitvelo_diff,-0.001627,negative,TOR
team_exitvelo_15g_home,-0.001578,negative,TOR
ace_efficiency_factor,0.001533,positive,TOR
exp2_cat_k_offspeed_diff,-0.001326,negative,TOR
exp2_cat_xwoba_breaking_diff,0.001184,positive,TOR
team_barrel_15g_home,-0.001086,negative,TOR
home_elo,0.001078,positive,TOR
exp2_cat_k_breaking_diff,-0.001033,negative,TOR
woba_30g_home,0.001007,positive,TOR
team_hardhit_diff,0.000949,positive,TOR
lineup_woba_top3_away,-0.000862,negative,TOR
sp_xwoba_away,-0.000707,negative,TOR
lineup_woba_mean_diff,0.000702,positive,TOR
bullpen_whip_3g_diff,0.000667,positive,TOR
exp2_cat_k_fastball_diff,-0.00066,negative,TOR
exp2_cat_xwoba_fastball_diff,0.000465,positive,TOR
wind_advantage_flyball_factor,0.000366,positive,TOR
home_win_pct,0.000339,positive,TOR
exp2_cat_platoon_k_fastball_diff,0.000298,positive,TOR
team_barrel_15g_away,0.00019,positive,TOR
sp_era_away,-0.000171,negative,TOR
woba_30g_away,0.000157,positive,TOR
dome_is_neutral,0.000139,positive,TOR
travel_fatigue_diff,-1.2e-05,negative,TOR
rest_days_diff,5e-06,positive,TOR
closer_availability_diff,-4e-06,negative,TOR
is_home,0.0,negative,TOR
