feature,shap_value,signed_effect,perspective_team
away_team_id,0.263323,positive,DET
home_team_id,-0.03299,negative,DET
away_elo,0.030138,positive,DET
sp_era_5g_diff,-0.020308,negative,DET
bullpen_meltdown_risk,-0.015178,negative,DET
run_margin_diff,0.013391,positive,DET
sp_k9_away,-0.012251,negative,DET
sp_fbvelo_diff,0.011242,positive,DET
sp_xwoba_home,-0.011203,negative,DET
bullpen_whip_3g_home,0.009575,positive,DET
woba_30g_home,-0.007871,negative,DET
exp2_centered_k_diff,0.0076,positive,DET
elo_diff,0.005362,positive,DET
sp_era_diff,-0.005227,negative,DET
air_density_velocity_boost,0.005191,positive,DET
bullpen_pitches_diff,0.004521,positive,DET
home_win_pct,-0.004279,negative,DET
exp2_cat_xwoba_fastball_diff,0.004214,positive,DET
pitcher_regression_indicator,0.004068,positive,DET
away_win_pct,0.003981,positive,DET
win_pct_diff,0.003718,positive,DET
sp_k9_home,-0.002862,negative,DET
team_hardhit_diff,0.002552,positive,DET
sp_era_home,-0.002412,negative,DET
lineup_woba_mean_home,0.00232,positive,DET
bullpen_whip_diff,0.002265,positive,DET
team_exitvelo_diff,-0.002083,negative,DET
team_exitvelo_15g_away,0.002023,positive,DET
park_factor_slug_diff,-0.001919,negative,DET
lineup_woba_top3_diff,-0.00184,negative,DET
lineup_woba_mean_away,0.001813,positive,DET
lineup_woba_std_diff,0.001744,positive,DET
lineup_woba_top3_away,-0.001698,negative,DET
lineup_handedness_matchup_advantage,0.001609,positive,DET
exp2_cat_xwoba_offspeed_diff,-0.001558,negative,DET
sp_xwoba_away,0.001507,positive,DET
bullpen_whip_10g_home,-0.001497,negative,DET
bullpen_whip_3g_away,0.001451,positive,DET
team_exitvelo_15g_home,-0.00128,negative,DET
ace_efficiency_factor,0.001209,positive,DET
woba_30g_diff,-0.001099,negative,DET
bullpen_whip_3g_diff,0.001051,positive,DET
exp2_cat_k_offspeed_diff,-0.001031,negative,DET
team_barrel_diff,-0.000968,negative,DET
lineup_depth_multiplier,0.000894,positive,DET
home_elo,0.000786,positive,DET
exp2_cat_xwoba_breaking_diff,0.000688,positive,DET
lineup_woba_mean_diff,-0.000646,negative,DET
team_barrel_15g_home,-0.000601,negative,DET
sp_era_away,-0.000399,negative,DET
team_barrel_15g_away,0.000359,positive,DET
wind_advantage_flyball_factor,0.000348,positive,DET
bullpen_whip_10g_away,0.000347,positive,DET
exp2_cat_platoon_k_fastball_diff,0.00033,positive,DET
exp2_cat_k_fastball_diff,-0.000207,negative,DET
exp2_cat_k_breaking_diff,-0.000189,negative,DET
woba_30g_away,0.00014,positive,DET
lineup_woba_top3_home,-6.6e-05,negative,DET
dome_is_neutral,-4.7e-05,negative,DET
travel_fatigue_diff,2.8e-05,positive,DET
closer_availability_diff,1e-06,positive,DET
is_home,0.0,negative,DET
rest_days_diff,-0.0,negative,DET
