feature,shap_value,signed_effect,perspective_team
away_team_id,0.164966,positive,WSH
home_team_id,-0.145094,negative,WSH
run_margin_diff,0.094967,positive,WSH
bullpen_whip_10g_home,-0.018975,negative,WSH
bullpen_meltdown_risk,-0.01843,negative,WSH
lineup_woba_mean_away,-0.016637,negative,WSH
sp_xwoba_home,0.016323,positive,WSH
team_exitvelo_15g_away,-0.015467,negative,WSH
sp_era_5g_diff,0.014435,positive,WSH
elo_diff,-0.012824,negative,WSH
team_exitvelo_diff,0.011815,positive,WSH
woba_30g_away,-0.009805,negative,WSH
sp_fbvelo_diff,0.008774,positive,WSH
away_elo,0.008726,positive,WSH
sp_era_diff,0.008178,positive,WSH
bullpen_whip_diff,0.007738,positive,WSH
sp_k9_home,-0.006388,negative,WSH
air_density_velocity_boost,0.00509,positive,WSH
exp2_cat_k_breaking_diff,0.004956,positive,WSH
win_pct_diff,0.004671,positive,WSH
home_win_pct,-0.004602,negative,WSH
exp2_centered_k_diff,0.004536,positive,WSH
bullpen_whip_3g_home,0.004327,positive,WSH
lineup_woba_std_diff,0.003472,positive,WSH
bullpen_pitches_diff,0.003453,positive,WSH
lineup_woba_mean_home,0.003164,positive,WSH
home_elo,-0.002926,negative,WSH
lineup_woba_top3_away,0.00268,positive,WSH
sp_era_home,0.002568,positive,WSH
bullpen_whip_3g_diff,0.002259,positive,WSH
woba_30g_diff,0.002096,positive,WSH
sp_era_away,-0.001993,negative,WSH
team_hardhit_diff,0.001966,positive,WSH
exp2_cat_k_offspeed_diff,-0.001939,negative,WSH
bullpen_whip_3g_away,0.001923,positive,WSH
lineup_handedness_matchup_advantage,-0.001905,negative,WSH
sp_k9_away,0.001808,positive,WSH
park_factor_slug_diff,-0.001772,negative,WSH
ace_efficiency_factor,0.00176,positive,WSH
bullpen_whip_10g_away,0.00159,positive,WSH
away_win_pct,-0.00157,negative,WSH
exp2_cat_platoon_k_fastball_diff,-0.001349,negative,WSH
sp_xwoba_away,0.001302,positive,WSH
woba_30g_home,0.001287,positive,WSH
exp2_cat_xwoba_offspeed_diff,-0.001164,negative,WSH
team_barrel_15g_home,-0.001144,negative,WSH
wind_advantage_flyball_factor,0.001109,positive,WSH
lineup_depth_multiplier,0.001048,positive,WSH
exp2_cat_xwoba_fastball_diff,-0.000928,negative,WSH
pitcher_regression_indicator,-0.00086,negative,WSH
team_exitvelo_15g_home,-0.00084,negative,WSH
lineup_woba_top3_diff,-0.000804,negative,WSH
lineup_woba_mean_diff,-0.000726,negative,WSH
exp2_cat_xwoba_breaking_diff,0.000709,positive,WSH
team_barrel_15g_away,0.000519,positive,WSH
lineup_woba_top3_home,0.000461,positive,WSH
team_barrel_diff,-0.000345,negative,WSH
exp2_cat_k_fastball_diff,-0.000158,negative,WSH
dome_is_neutral,-5.4e-05,negative,WSH
rest_days_diff,1.3e-05,positive,WSH
travel_fatigue_diff,-1.2e-05,negative,WSH
closer_availability_diff,-1e-06,negative,WSH
is_home,0.0,negative,WSH
