feature,shap_value,signed_effect,perspective_team
away_team_id,-0.11546,negative,TB
run_margin_diff,0.063706,positive,TB
home_team_id,0.049306,positive,TB
bullpen_whip_3g_home,0.017791,positive,TB
home_elo,0.015372,positive,TB
sp_era_5g_diff,0.013055,positive,TB
home_win_pct,0.011715,positive,TB
sp_era_diff,-0.008696,negative,TB
away_win_pct,-0.007571,negative,TB
sp_fbvelo_diff,-0.007018,negative,TB
win_pct_diff,0.006173,positive,TB
team_exitvelo_15g_home,-0.005967,negative,TB
lineup_woba_mean_away,0.005899,positive,TB
sp_k9_home,-0.005158,negative,TB
team_barrel_diff,-0.0051,negative,TB
team_exitvelo_15g_away,0.005033,positive,TB
sp_k9_away,0.004811,positive,TB
woba_30g_diff,0.003867,positive,TB
woba_30g_home,0.003748,positive,TB
lineup_woba_mean_diff,-0.003747,negative,TB
exp2_cat_xwoba_breaking_diff,-0.003696,negative,TB
sp_xwoba_home,0.003329,positive,TB
exp2_cat_k_breaking_diff,-0.003131,negative,TB
exp2_cat_xwoba_offspeed_diff,0.003083,positive,TB
bullpen_pitches_diff,-0.002893,negative,TB
lineup_handedness_matchup_advantage,0.002773,positive,TB
bullpen_meltdown_risk,-0.002664,negative,TB
lineup_depth_multiplier,0.002493,positive,TB
bullpen_whip_3g_diff,0.002256,positive,TB
air_density_velocity_boost,0.002206,positive,TB
away_elo,-0.002056,negative,TB
bullpen_whip_diff,0.001866,positive,TB
sp_era_home,-0.001791,negative,TB
elo_diff,0.001789,positive,TB
lineup_woba_std_diff,0.001551,positive,TB
wind_advantage_flyball_factor,0.001457,positive,TB
team_barrel_15g_home,-0.001333,negative,TB
lineup_woba_top3_away,0.001281,positive,TB
sp_xwoba_away,-0.001197,negative,TB
exp2_cat_k_offspeed_diff,-0.001186,negative,TB
woba_30g_away,-0.001145,negative,TB
pitcher_regression_indicator,0.001114,positive,TB
ace_efficiency_factor,0.001079,positive,TB
lineup_woba_top3_diff,-0.000787,negative,TB
team_hardhit_diff,0.000748,positive,TB
team_barrel_15g_away,-0.000748,negative,TB
exp2_centered_k_diff,-0.000664,negative,TB
lineup_woba_mean_home,-0.000519,negative,TB
bullpen_whip_10g_home,-0.000487,negative,TB
bullpen_whip_3g_away,-0.000314,negative,TB
exp2_cat_xwoba_fastball_diff,-0.000271,negative,TB
exp2_cat_platoon_k_fastball_diff,0.00027,positive,TB
exp2_cat_k_fastball_diff,-0.000262,negative,TB
team_exitvelo_diff,0.000223,positive,TB
dome_is_neutral,0.000114,positive,TB
bullpen_whip_10g_away,9.8e-05,positive,TB
park_factor_slug_diff,9.6e-05,positive,TB
sp_era_away,-5.2e-05,negative,TB
lineup_woba_top3_home,-2e-05,negative,TB
travel_fatigue_diff,-1.3e-05,negative,TB
rest_days_diff,7e-06,positive,TB
closer_availability_diff,-6e-06,negative,TB
is_home,0.0,negative,TB
