feature,shap_value,signed_effect,perspective_team
away_team_id,0.157565,positive,LAD
home_team_id,0.124814,positive,LAD
run_margin_diff,0.07822,positive,LAD
bullpen_pitches_diff,-0.01789,negative,LAD
bullpen_whip_3g_home,-0.017821,negative,LAD
bullpen_meltdown_risk,-0.017112,negative,LAD
bullpen_whip_diff,0.013352,positive,LAD
sp_era_5g_diff,-0.010445,negative,LAD
bullpen_whip_10g_home,0.007473,positive,LAD
team_barrel_15g_home,0.007155,positive,LAD
sp_k9_home,0.007132,positive,LAD
lineup_woba_mean_home,0.006492,positive,LAD
away_win_pct,-0.006044,negative,LAD
home_elo,0.00598,positive,LAD
sp_xwoba_away,0.004897,positive,LAD
exp2_cat_platoon_k_fastball_diff,-0.004887,negative,LAD
sp_xwoba_home,0.00432,positive,LAD
sp_k9_away,0.004286,positive,LAD
exp2_cat_k_breaking_diff,0.00403,positive,LAD
team_exitvelo_15g_home,0.003897,positive,LAD
win_pct_diff,0.003847,positive,LAD
team_exitvelo_15g_away,-0.003833,negative,LAD
lineup_handedness_matchup_advantage,-0.003692,negative,LAD
woba_30g_home,-0.0036,negative,LAD
sp_era_diff,0.00337,positive,LAD
bullpen_whip_3g_diff,-0.003286,negative,LAD
lineup_woba_mean_diff,0.003247,positive,LAD
team_barrel_diff,0.003244,positive,LAD
lineup_depth_multiplier,-0.00293,negative,LAD
lineup_woba_top3_diff,-0.002676,negative,LAD
elo_diff,0.002426,positive,LAD
air_density_velocity_boost,-0.002366,negative,LAD
sp_era_home,-0.002332,negative,LAD
sp_fbvelo_diff,-0.00223,negative,LAD
exp2_cat_xwoba_offspeed_diff,-0.002223,negative,LAD
away_elo,-0.001866,negative,LAD
lineup_woba_std_diff,-0.001664,negative,LAD
lineup_woba_top3_away,-0.001566,negative,LAD
exp2_cat_k_offspeed_diff,-0.001411,negative,LAD
pitcher_regression_indicator,-0.001233,negative,LAD
exp2_centered_k_diff,0.001166,positive,LAD
woba_30g_diff,-0.001133,negative,LAD
ace_efficiency_factor,0.001125,positive,LAD
team_barrel_15g_away,0.000716,positive,LAD
home_win_pct,0.000704,positive,LAD
exp2_cat_xwoba_fastball_diff,0.00065,positive,LAD
exp2_cat_xwoba_breaking_diff,0.000447,positive,LAD
bullpen_whip_3g_away,0.000412,positive,LAD
team_hardhit_diff,-0.000326,negative,LAD
sp_era_away,0.000312,positive,LAD
bullpen_whip_10g_away,0.000201,positive,LAD
wind_advantage_flyball_factor,0.000165,positive,LAD
dome_is_neutral,-0.000135,negative,LAD
lineup_woba_top3_home,-0.000128,negative,LAD
woba_30g_away,-0.000113,negative,LAD
park_factor_slug_diff,-0.00011,negative,LAD
exp2_cat_k_fastball_diff,-9.4e-05,negative,LAD
lineup_woba_mean_away,-2e-05,negative,LAD
travel_fatigue_diff,8e-06,positive,LAD
rest_days_diff,-6e-06,negative,LAD
closer_availability_diff,2e-06,positive,LAD
is_home,-0.0,negative,LAD
team_exitvelo_diff,-0.0,negative,LAD
