feature,shap_value,signed_effect,perspective_team
home_team_id,0.06358,positive,NYY
run_margin_diff,0.052098,positive,NYY
bullpen_whip_3g_home,0.019031,positive,NYY
home_elo,0.017404,positive,NYY
sp_era_5g_diff,0.014629,positive,NYY
away_team_id,0.012465,positive,NYY
sp_era_diff,0.009721,positive,NYY
sp_era_home,0.00896,positive,NYY
sp_fbvelo_diff,0.007495,positive,NYY
home_win_pct,0.007491,positive,NYY
win_pct_diff,0.006734,positive,NYY
team_barrel_diff,0.006534,positive,NYY
air_density_velocity_boost,0.006249,positive,NYY
bullpen_whip_10g_home,0.006108,positive,NYY
away_win_pct,-0.00565,negative,NYY
bullpen_whip_diff,0.004699,positive,NYY
woba_30g_diff,-0.003316,negative,NYY
lineup_woba_mean_home,0.003044,positive,NYY
team_barrel_15g_away,0.002923,positive,NYY
exp2_cat_xwoba_offspeed_diff,0.002802,positive,NYY
bullpen_meltdown_risk,-0.002732,negative,NYY
team_exitvelo_15g_away,0.002648,positive,NYY
exp2_cat_k_breaking_diff,-0.00261,negative,NYY
bullpen_pitches_diff,-0.002553,negative,NYY
bullpen_whip_3g_diff,0.00234,positive,NYY
lineup_handedness_matchup_advantage,0.00233,positive,NYY
woba_30g_home,0.002138,positive,NYY
wind_advantage_flyball_factor,0.001955,positive,NYY
sp_k9_away,0.001817,positive,NYY
lineup_woba_mean_diff,0.0018,positive,NYY
ace_efficiency_factor,0.001708,positive,NYY
exp2_cat_platoon_k_fastball_diff,0.00162,positive,NYY
lineup_woba_std_diff,0.001617,positive,NYY
lineup_depth_multiplier,0.00157,positive,NYY
lineup_woba_top3_diff,-0.001464,negative,NYY
team_hardhit_diff,0.001143,positive,NYY
exp2_cat_xwoba_breaking_diff,-0.000958,negative,NYY
team_barrel_15g_home,-0.000938,negative,NYY
exp2_centered_k_diff,-0.000823,negative,NYY
exp2_cat_k_offspeed_diff,-0.000798,negative,NYY
elo_diff,0.000793,positive,NYY
sp_xwoba_home,0.000767,positive,NYY
woba_30g_away,0.000694,positive,NYY
exp2_cat_k_fastball_diff,-0.000494,negative,NYY
sp_k9_home,0.000451,positive,NYY
pitcher_regression_indicator,0.000441,positive,NYY
team_exitvelo_diff,0.000351,positive,NYY
bullpen_whip_3g_away,-0.000307,negative,NYY
lineup_woba_top3_home,0.000271,positive,NYY
away_elo,0.000263,positive,NYY
exp2_cat_xwoba_fastball_diff,-0.00026,negative,NYY
lineup_woba_mean_away,-0.000241,negative,NYY
lineup_woba_top3_away,-0.000156,negative,NYY
sp_era_away,-0.00015,negative,NYY
park_factor_slug_diff,0.000125,positive,NYY
rest_days_diff,0.000116,positive,NYY
bullpen_whip_10g_away,0.000107,positive,NYY
sp_xwoba_away,7.6e-05,positive,NYY
dome_is_neutral,-2.8e-05,negative,NYY
team_exitvelo_15g_home,1.3e-05,positive,NYY
travel_fatigue_diff,-1e-05,negative,NYY
closer_availability_diff,-6e-06,negative,NYY
is_home,0.0,negative,NYY
