feature,shap_value,signed_effect,perspective_team
away_team_id,-0.085972,negative,ATL
home_team_id,0.042066,positive,ATL
lineup_woba_std_diff,-0.024431,negative,ATL
run_margin_diff,-0.022005,negative,ATL
home_elo,0.016521,positive,ATL
bullpen_whip_3g_home,0.014354,positive,ATL
sp_xwoba_home,0.014079,positive,ATL
bullpen_whip_10g_home,0.012202,positive,ATL
team_barrel_15g_away,-0.00979,negative,ATL
home_win_pct,0.009036,positive,ATL
away_win_pct,-0.0082,negative,ATL
sp_era_home,0.007676,positive,ATL
air_density_velocity_boost,0.00767,positive,ATL
exp2_cat_platoon_k_fastball_diff,0.006841,positive,ATL
lineup_depth_multiplier,0.006708,positive,ATL
woba_30g_diff,-0.005301,negative,ATL
sp_fbvelo_diff,-0.00471,negative,ATL
win_pct_diff,0.00446,positive,ATL
sp_k9_away,0.003951,positive,ATL
lineup_woba_mean_diff,0.003663,positive,ATL
woba_30g_away,-0.003497,negative,ATL
team_barrel_diff,-0.003391,negative,ATL
team_exitvelo_15g_away,0.003207,positive,ATL
bullpen_whip_diff,0.002852,positive,ATL
lineup_woba_top3_diff,-0.002822,negative,ATL
bullpen_pitches_diff,-0.002641,negative,ATL
lineup_woba_mean_away,-0.002611,negative,ATL
exp2_cat_xwoba_offspeed_diff,0.002547,positive,ATL
sp_xwoba_away,-0.00248,negative,ATL
bullpen_whip_3g_diff,0.002335,positive,ATL
team_hardhit_diff,0.002278,positive,ATL
bullpen_meltdown_risk,-0.002239,negative,ATL
elo_diff,-0.00205,negative,ATL
exp2_cat_k_breaking_diff,-0.002024,negative,ATL
wind_advantage_flyball_factor,0.001964,positive,ATL
away_elo,0.001518,positive,ATL
sp_era_5g_diff,-0.001439,negative,ATL
exp2_cat_k_offspeed_diff,-0.001353,negative,ATL
exp2_centered_k_diff,0.00129,positive,ATL
woba_30g_home,-0.001209,negative,ATL
exp2_cat_xwoba_breaking_diff,-0.001196,negative,ATL
exp2_cat_k_fastball_diff,-0.001134,negative,ATL
lineup_handedness_matchup_advantage,-0.001119,negative,ATL
lineup_woba_top3_away,-0.001025,negative,ATL
team_exitvelo_diff,0.000725,positive,ATL
team_exitvelo_15g_home,-0.00071,negative,ATL
sp_era_diff,0.000578,positive,ATL
ace_efficiency_factor,0.000575,positive,ATL
lineup_woba_mean_home,-0.000422,negative,ATL
pitcher_regression_indicator,0.000418,positive,ATL
bullpen_whip_3g_away,-0.000379,negative,ATL
sp_k9_home,-0.000217,negative,ATL
exp2_cat_xwoba_fastball_diff,-0.000208,negative,ATL
lineup_woba_top3_home,0.000185,positive,ATL
team_barrel_15g_home,0.000159,positive,ATL
sp_era_away,0.000138,positive,ATL
dome_is_neutral,-8.1e-05,negative,ATL
closer_availability_diff,3.1e-05,positive,ATL
travel_fatigue_diff,-2.4e-05,negative,ATL
park_factor_slug_diff,-1.4e-05,negative,ATL
bullpen_whip_10g_away,7e-06,positive,ATL
rest_days_diff,3e-06,positive,ATL
is_home,0.0,negative,ATL
