feature,shap_value,signed_effect,perspective_team
away_team_id,0.128813,positive,AZ
run_margin_diff,0.093291,positive,AZ
home_team_id,0.053968,positive,AZ
sp_era_5g_diff,0.029842,positive,AZ
home_elo,0.019241,positive,AZ
air_density_velocity_boost,-0.014605,negative,AZ
bullpen_meltdown_risk,-0.014105,negative,AZ
bullpen_whip_3g_home,0.013644,positive,AZ
team_hardhit_diff,-0.011624,negative,AZ
sp_era_diff,0.009749,positive,AZ
elo_diff,0.006197,positive,AZ
sp_k9_away,0.006149,positive,AZ
sp_era_home,0.005707,positive,AZ
team_barrel_diff,-0.005515,negative,AZ
team_exitvelo_15g_home,-0.00514,negative,AZ
woba_30g_diff,-0.005022,negative,AZ
exp2_cat_xwoba_offspeed_diff,0.004711,positive,AZ
away_win_pct,-0.004643,negative,AZ
bullpen_whip_10g_home,0.004451,positive,AZ
win_pct_diff,0.004271,positive,AZ
sp_k9_home,0.003909,positive,AZ
ace_efficiency_factor,0.003777,positive,AZ
sp_xwoba_home,0.003666,positive,AZ
bullpen_pitches_diff,0.003355,positive,AZ
team_exitvelo_15g_away,0.003353,positive,AZ
lineup_woba_mean_away,0.003087,positive,AZ
exp2_cat_k_breaking_diff,0.003021,positive,AZ
bullpen_whip_diff,0.002873,positive,AZ
sp_fbvelo_diff,0.002865,positive,AZ
lineup_handedness_matchup_advantage,0.002749,positive,AZ
lineup_depth_multiplier,0.002725,positive,AZ
home_win_pct,0.002617,positive,AZ
away_elo,-0.002589,negative,AZ
woba_30g_away,-0.002514,negative,AZ
bullpen_whip_3g_diff,0.002338,positive,AZ
lineup_woba_mean_diff,0.002075,positive,AZ
team_barrel_15g_away,-0.001719,negative,AZ
exp2_cat_platoon_k_fastball_diff,0.001653,positive,AZ
lineup_woba_top3_away,0.001613,positive,AZ
lineup_woba_std_diff,-0.00148,negative,AZ
lineup_woba_mean_home,-0.001455,negative,AZ
woba_30g_home,0.001417,positive,AZ
lineup_woba_top3_diff,-0.001297,negative,AZ
exp2_cat_k_offspeed_diff,-0.001254,negative,AZ
exp2_cat_k_fastball_diff,-0.001205,negative,AZ
exp2_centered_k_diff,-0.00118,negative,AZ
pitcher_regression_indicator,0.001175,positive,AZ
team_barrel_15g_home,-0.000935,negative,AZ
exp2_cat_xwoba_breaking_diff,-0.000728,negative,AZ
wind_advantage_flyball_factor,0.000685,positive,AZ
sp_xwoba_away,-0.000614,negative,AZ
bullpen_whip_3g_away,-0.000301,negative,AZ
exp2_cat_xwoba_fastball_diff,-0.000233,negative,AZ
lineup_woba_top3_home,0.000213,positive,AZ
sp_era_away,-0.00018,negative,AZ
bullpen_whip_10g_away,0.000119,positive,AZ
rest_days_diff,-0.000112,negative,AZ
dome_is_neutral,8.9e-05,positive,AZ
team_exitvelo_diff,7.3e-05,positive,AZ
park_factor_slug_diff,-4.9e-05,negative,AZ
travel_fatigue_diff,-7e-06,negative,AZ
closer_availability_diff,-5e-06,negative,AZ
is_home,0.0,negative,AZ
