feature,shap_value,signed_effect,perspective_team
away_team_id,0.201077,positive,STL
air_density_velocity_boost,-0.043419,negative,STL
run_margin_diff,-0.037319,negative,STL
bullpen_whip_3g_home,0.02847,positive,STL
sp_era_5g_diff,0.012481,positive,STL
home_team_id,-0.01231,negative,STL
bullpen_whip_3g_away,-0.01166,negative,STL
bullpen_meltdown_risk,-0.010953,negative,STL
pitcher_regression_indicator,0.010351,positive,STL
wind_advantage_flyball_factor,-0.009203,negative,STL
lineup_handedness_matchup_advantage,-0.009011,negative,STL
sp_era_home,0.007328,positive,STL
sp_era_diff,0.007262,positive,STL
sp_k9_away,-0.007056,negative,STL
elo_diff,-0.006437,negative,STL
sp_fbvelo_diff,-0.006251,negative,STL
away_elo,-0.005678,negative,STL
park_factor_slug_diff,0.004846,positive,STL
sp_xwoba_home,-0.004661,negative,STL
sp_k9_home,-0.004441,negative,STL
away_win_pct,-0.004005,negative,STL
home_win_pct,-0.003973,negative,STL
exp2_cat_k_breaking_diff,-0.00367,negative,STL
exp2_cat_xwoba_breaking_diff,-0.002855,negative,STL
exp2_cat_platoon_k_fastball_diff,-0.002716,negative,STL
lineup_woba_top3_away,-0.002424,negative,STL
woba_30g_home,0.002056,positive,STL
lineup_woba_mean_diff,0.001986,positive,STL
team_barrel_diff,0.001894,positive,STL
lineup_depth_multiplier,0.001599,positive,STL
bullpen_whip_10g_away,-0.0015,negative,STL
team_exitvelo_15g_away,0.001282,positive,STL
lineup_woba_std_diff,0.001161,positive,STL
sp_era_away,0.000976,positive,STL
team_exitvelo_diff,0.000945,positive,STL
woba_30g_diff,0.000942,positive,STL
team_exitvelo_15g_home,0.000877,positive,STL
bullpen_whip_10g_home,-0.000861,negative,STL
team_hardhit_diff,0.000661,positive,STL
exp2_cat_xwoba_offspeed_diff,0.000597,positive,STL
lineup_woba_mean_away,-0.000554,negative,STL
team_barrel_15g_home,-0.000544,negative,STL
exp2_cat_k_offspeed_diff,-0.000521,negative,STL
home_elo,0.000503,positive,STL
win_pct_diff,-0.00043,negative,STL
exp2_cat_xwoba_fastball_diff,0.000418,positive,STL
bullpen_pitches_diff,0.00037,positive,STL
ace_efficiency_factor,-0.000315,negative,STL
sp_xwoba_away,-0.000294,negative,STL
team_barrel_15g_away,0.000274,positive,STL
bullpen_whip_diff,0.00026,positive,STL
lineup_woba_mean_home,-0.00026,negative,STL
bullpen_whip_3g_diff,0.000234,positive,STL
lineup_woba_top3_home,-0.000212,negative,STL
woba_30g_away,-0.000205,negative,STL
exp2_centered_k_diff,0.000189,positive,STL
lineup_woba_top3_diff,-0.000126,negative,STL
dome_is_neutral,-5e-05,negative,STL
travel_fatigue_diff,-2.5e-05,negative,STL
exp2_cat_k_fastball_diff,-1.1e-05,negative,STL
closer_availability_diff,-6e-06,negative,STL
rest_days_diff,5e-06,positive,STL
is_home,0.0,negative,STL
