feature,shap_value,signed_effect,perspective_team
away_team_id,0.111338,positive,CHC
home_team_id,0.106769,positive,CHC
bullpen_whip_3g_home,0.034946,positive,CHC
run_margin_diff,0.034567,positive,CHC
air_density_velocity_boost,-0.019979,negative,CHC
lineup_woba_top3_diff,0.017098,positive,CHC
bullpen_meltdown_risk,-0.013886,negative,CHC
sp_fbvelo_diff,-0.012085,negative,CHC
lineup_handedness_matchup_advantage,-0.010776,negative,CHC
team_barrel_15g_home,0.00877,positive,CHC
sp_era_diff,0.008738,positive,CHC
sp_k9_home,-0.008022,negative,CHC
away_elo,-0.007709,negative,CHC
away_win_pct,-0.006853,negative,CHC
sp_k9_away,0.006335,positive,CHC
bullpen_whip_3g_away,-0.00594,negative,CHC
sp_era_home,0.004273,positive,CHC
woba_30g_diff,0.004133,positive,CHC
win_pct_diff,-0.004011,negative,CHC
sp_era_5g_diff,-0.003771,negative,CHC
sp_xwoba_home,-0.003677,negative,CHC
bullpen_whip_10g_home,-0.003567,negative,CHC
exp2_cat_platoon_k_fastball_diff,-0.003378,negative,CHC
exp2_cat_k_breaking_diff,-0.003083,negative,CHC
lineup_woba_std_diff,0.002906,positive,CHC
exp2_cat_xwoba_breaking_diff,-0.002901,negative,CHC
woba_30g_home,-0.002751,negative,CHC
lineup_woba_mean_home,-0.002659,negative,CHC
ace_efficiency_factor,-0.002626,negative,CHC
team_exitvelo_15g_away,0.002508,positive,CHC
park_factor_slug_diff,-0.002062,negative,CHC
home_win_pct,-0.002012,negative,CHC
lineup_depth_multiplier,-0.001875,negative,CHC
bullpen_whip_diff,0.001849,positive,CHC
team_barrel_diff,0.001712,positive,CHC
woba_30g_away,-0.001604,negative,CHC
lineup_woba_top3_away,-0.001455,negative,CHC
lineup_woba_top3_home,-0.001303,negative,CHC
home_elo,0.001202,positive,CHC
sp_xwoba_away,-0.001135,negative,CHC
lineup_woba_mean_away,0.001006,positive,CHC
bullpen_whip_3g_diff,0.000882,positive,CHC
elo_diff,-0.000843,negative,CHC
wind_advantage_flyball_factor,0.000825,positive,CHC
team_hardhit_diff,0.0008,positive,CHC
team_barrel_15g_away,0.000769,positive,CHC
sp_era_away,0.000639,positive,CHC
exp2_cat_k_offspeed_diff,-0.000605,negative,CHC
team_exitvelo_15g_home,0.000532,positive,CHC
bullpen_pitches_diff,0.000495,positive,CHC
pitcher_regression_indicator,0.000448,positive,CHC
team_exitvelo_diff,0.000393,positive,CHC
exp2_cat_xwoba_fastball_diff,0.000367,positive,CHC
lineup_woba_mean_diff,-0.000318,negative,CHC
exp2_centered_k_diff,0.000131,positive,CHC
exp2_cat_xwoba_offspeed_diff,8.5e-05,positive,CHC
dome_is_neutral,-4.3e-05,negative,CHC
exp2_cat_k_fastball_diff,2.7e-05,positive,CHC
travel_fatigue_diff,-2.3e-05,negative,CHC
bullpen_whip_10g_away,1.3e-05,positive,CHC
rest_days_diff,4e-06,positive,CHC
closer_availability_diff,-3e-06,negative,CHC
is_home,0.0,negative,CHC
