feature,shap_value,signed_effect,perspective_team
away_team_id,-0.045992,negative,NYM
home_team_id,0.040313,positive,NYM
lineup_woba_std_diff,-0.019157,negative,NYM
sp_era_home,-0.018031,negative,NYM
sp_era_5g_diff,-0.013584,negative,NYM
run_margin_diff,-0.012397,negative,NYM
bullpen_whip_3g_home,0.012339,positive,NYM
sp_era_diff,-0.009091,negative,NYM
team_exitvelo_15g_home,0.008813,positive,NYM
team_exitvelo_diff,0.006178,positive,NYM
away_win_pct,-0.005948,negative,NYM
bullpen_meltdown_risk,-0.005899,negative,NYM
sp_k9_away,0.00578,positive,NYM
wind_advantage_flyball_factor,-0.005604,negative,NYM
sp_fbvelo_diff,0.005542,positive,NYM
bullpen_whip_3g_diff,0.005008,positive,NYM
lineup_depth_multiplier,0.004492,positive,NYM
park_factor_slug_diff,0.004225,positive,NYM
exp2_cat_k_fastball_diff,0.003993,positive,NYM
bullpen_pitches_diff,0.003842,positive,NYM
lineup_woba_top3_away,-0.003342,negative,NYM
air_density_velocity_boost,0.003287,positive,NYM
sp_k9_home,-0.003057,negative,NYM
lineup_woba_top3_home,0.002862,positive,NYM
team_barrel_diff,-0.00276,negative,NYM
home_win_pct,-0.002642,negative,NYM
team_exitvelo_15g_away,0.002503,positive,NYM
bullpen_whip_10g_home,-0.002195,negative,NYM
pitcher_regression_indicator,0.002067,positive,NYM
home_elo,0.001864,positive,NYM
lineup_woba_mean_away,0.00183,positive,NYM
lineup_woba_mean_diff,0.001696,positive,NYM
woba_30g_away,-0.001609,negative,NYM
team_barrel_15g_away,-0.001507,negative,NYM
exp2_cat_platoon_k_fastball_diff,-0.001495,negative,NYM
lineup_woba_top3_diff,-0.001471,negative,NYM
ace_efficiency_factor,-0.001417,negative,NYM
woba_30g_diff,0.00129,positive,NYM
away_elo,-0.001208,negative,NYM
sp_xwoba_away,-0.001189,negative,NYM
team_hardhit_diff,0.001179,positive,NYM
exp2_cat_k_breaking_diff,-0.001101,negative,NYM
woba_30g_home,0.000974,positive,NYM
exp2_cat_xwoba_offspeed_diff,-0.000888,negative,NYM
exp2_cat_k_offspeed_diff,-0.000861,negative,NYM
lineup_woba_mean_home,0.000836,positive,NYM
sp_xwoba_home,-0.000795,negative,NYM
sp_era_away,-0.00075,negative,NYM
bullpen_whip_diff,-0.000698,negative,NYM
elo_diff,0.00056,positive,NYM
exp2_cat_xwoba_breaking_diff,-0.000475,negative,NYM
lineup_handedness_matchup_advantage,-0.000426,negative,NYM
team_barrel_15g_home,-0.000299,negative,NYM
exp2_centered_k_diff,-0.000259,negative,NYM
bullpen_whip_10g_away,-0.000235,negative,NYM
win_pct_diff,-0.000198,negative,NYM
exp2_cat_xwoba_fastball_diff,-0.000107,negative,NYM
dome_is_neutral,-8.8e-05,negative,NYM
bullpen_whip_3g_away,-4.2e-05,negative,NYM
travel_fatigue_diff,-3.5e-05,negative,NYM
closer_availability_diff,-1.1e-05,negative,NYM
rest_days_diff,5e-06,positive,NYM
is_home,0.0,negative,NYM
