feature,shap_value,signed_effect,perspective_team
away_team_id,0.23372,positive,CLE
home_team_id,0.047447,positive,CLE
run_margin_diff,0.04645,positive,CLE
bullpen_whip_3g_home,0.029085,positive,CLE
bullpen_meltdown_risk,0.022818,positive,CLE
sp_era_5g_diff,-0.016116,negative,CLE
team_exitvelo_diff,-0.013683,negative,CLE
pitcher_regression_indicator,0.010508,positive,CLE
lineup_handedness_matchup_advantage,-0.009766,negative,CLE
sp_era_home,0.009652,positive,CLE
sp_k9_away,0.007103,positive,CLE
elo_diff,-0.006423,negative,CLE
team_hardhit_diff,-0.006288,negative,CLE
air_density_velocity_boost,0.005721,positive,CLE
sp_xwoba_home,0.005307,positive,CLE
bullpen_whip_3g_away,-0.005276,negative,CLE
away_win_pct,-0.005196,negative,CLE
bullpen_whip_10g_home,0.004625,positive,CLE
exp2_cat_k_breaking_diff,-0.004509,negative,CLE
exp2_cat_xwoba_breaking_diff,-0.004238,negative,CLE
bullpen_whip_3g_diff,-0.004196,negative,CLE
woba_30g_diff,-0.004003,negative,CLE
ace_efficiency_factor,0.003952,positive,CLE
away_elo,-0.003867,negative,CLE
lineup_woba_top3_diff,-0.00326,negative,CLE
exp2_cat_platoon_k_fastball_diff,-0.003166,negative,CLE
team_exitvelo_15g_home,-0.00314,negative,CLE
sp_k9_home,0.002879,positive,CLE
sp_fbvelo_diff,0.002705,positive,CLE
team_exitvelo_15g_away,0.002609,positive,CLE
lineup_depth_multiplier,0.002166,positive,CLE
home_win_pct,-0.002105,negative,CLE
bullpen_whip_diff,0.002051,positive,CLE
lineup_woba_top3_away,-0.001659,negative,CLE
lineup_woba_mean_diff,0.001611,positive,CLE
woba_30g_home,0.00156,positive,CLE
exp2_centered_k_diff,0.001344,positive,CLE
exp2_cat_xwoba_offspeed_diff,0.001238,positive,CLE
win_pct_diff,-0.001142,negative,CLE
bullpen_pitches_diff,0.001088,positive,CLE
home_elo,0.001005,positive,CLE
lineup_woba_mean_away,-0.000929,negative,CLE
lineup_woba_top3_home,-0.000895,negative,CLE
lineup_woba_mean_home,0.000878,positive,CLE
exp2_cat_xwoba_fastball_diff,0.000843,positive,CLE
exp2_cat_k_offspeed_diff,-0.000666,negative,CLE
team_barrel_diff,0.000664,positive,CLE
sp_era_away,-0.000642,negative,CLE
woba_30g_away,-0.00063,negative,CLE
lineup_woba_std_diff,0.000532,positive,CLE
team_barrel_15g_away,-0.000286,negative,CLE
sp_xwoba_away,0.000261,positive,CLE
sp_era_diff,-0.000207,negative,CLE
wind_advantage_flyball_factor,0.000193,positive,CLE
dome_is_neutral,-0.000105,negative,CLE
exp2_cat_k_fastball_diff,0.000105,positive,CLE
bullpen_whip_10g_away,4e-05,positive,CLE
park_factor_slug_diff,-2.1e-05,negative,CLE
team_barrel_15g_home,1.6e-05,positive,CLE
travel_fatigue_diff,-1e-05,negative,CLE
closer_availability_diff,-9e-06,negative,CLE
rest_days_diff,-1e-06,negative,CLE
is_home,0.0,negative,CLE
