feature,shap_value,signed_effect,perspective_team
away_team_id,0.064301,positive,AZ
air_density_velocity_boost,-0.03298,negative,AZ
home_team_id,0.01959,positive,AZ
bullpen_whip_diff,0.016127,positive,AZ
bullpen_whip_3g_home,0.012359,positive,AZ
run_margin_diff,0.011487,positive,AZ
sp_xwoba_away,-0.011021,negative,AZ
sp_fbvelo_diff,-0.010112,negative,AZ
sp_era_5g_diff,0.006848,positive,AZ
sp_era_diff,0.006429,positive,AZ
lineup_depth_multiplier,-0.006312,negative,AZ
sp_k9_away,0.00613,positive,AZ
bullpen_pitches_diff,-0.004893,negative,AZ
bullpen_whip_10g_home,0.004438,positive,AZ
sp_era_home,0.004292,positive,AZ
bullpen_whip_3g_diff,0.004184,positive,AZ
away_win_pct,-0.00401,negative,AZ
exp2_cat_k_fastball_diff,0.004006,positive,AZ
sp_xwoba_home,0.003729,positive,AZ
team_hardhit_diff,0.003633,positive,AZ
team_exitvelo_15g_away,0.002786,positive,AZ
lineup_woba_std_diff,0.002678,positive,AZ
team_barrel_diff,-0.002599,negative,AZ
home_win_pct,-0.002496,negative,AZ
lineup_woba_top3_diff,-0.002351,negative,AZ
woba_30g_diff,-0.002288,negative,AZ
team_barrel_15g_away,0.002053,positive,AZ
bullpen_meltdown_risk,0.002032,positive,AZ
pitcher_regression_indicator,0.00197,positive,AZ
team_exitvelo_diff,-0.001931,negative,AZ
exp2_cat_xwoba_offspeed_diff,-0.001916,negative,AZ
lineup_woba_top3_home,0.001801,positive,AZ
lineup_woba_mean_away,0.001734,positive,AZ
lineup_woba_mean_home,0.001595,positive,AZ
exp2_cat_xwoba_breaking_diff,-0.001592,negative,AZ
team_exitvelo_15g_home,-0.00146,negative,AZ
win_pct_diff,0.001459,positive,AZ
away_elo,-0.001191,negative,AZ
wind_advantage_flyball_factor,0.001169,positive,AZ
lineup_woba_top3_away,0.001158,positive,AZ
lineup_woba_mean_diff,0.001133,positive,AZ
exp2_cat_platoon_k_fastball_diff,-0.001133,negative,AZ
sp_k9_home,0.001065,positive,AZ
home_elo,-0.000852,negative,AZ
sp_era_away,-0.000825,negative,AZ
lineup_handedness_matchup_advantage,-0.000752,negative,AZ
woba_30g_away,-0.000576,negative,AZ
exp2_cat_k_offspeed_diff,-0.000565,negative,AZ
park_factor_slug_diff,0.000457,positive,AZ
exp2_centered_k_diff,0.000439,positive,AZ
team_barrel_15g_home,-0.000363,negative,AZ
exp2_cat_k_breaking_diff,-0.000301,negative,AZ
woba_30g_home,-0.000281,negative,AZ
ace_efficiency_factor,-0.000134,negative,AZ
elo_diff,0.000113,positive,AZ
dome_is_neutral,0.000104,positive,AZ
bullpen_whip_10g_away,0.000101,positive,AZ
exp2_cat_xwoba_fastball_diff,-6.7e-05,negative,AZ
bullpen_whip_3g_away,-2.9e-05,negative,AZ
travel_fatigue_diff,-1.4e-05,negative,AZ
closer_availability_diff,-9e-06,negative,AZ
rest_days_diff,-4e-06,negative,AZ
is_home,0.0,negative,AZ
