feature,shap_value,signed_effect,perspective_team
home_team_id,0.189372,positive,SD
run_margin_diff,0.168104,positive,SD
away_team_id,0.073276,positive,SD
team_hardhit_diff,0.024233,positive,SD
home_elo,0.018922,positive,SD
bullpen_whip_3g_home,-0.015945,negative,SD
sp_era_home,0.015546,positive,SD
bullpen_whip_10g_home,0.012517,positive,SD
sp_era_diff,0.011379,positive,SD
lineup_handedness_matchup_advantage,0.011252,positive,SD
park_factor_slug_diff,-0.009961,negative,SD
bullpen_whip_diff,0.009556,positive,SD
sp_era_5g_diff,0.00809,positive,SD
sp_fbvelo_diff,-0.007626,negative,SD
elo_diff,0.007045,positive,SD
bullpen_pitches_diff,-0.006942,negative,SD
team_exitvelo_15g_home,0.006131,positive,SD
lineup_woba_top3_diff,0.005587,positive,SD
bullpen_whip_3g_diff,-0.005295,negative,SD
sp_era_away,0.005292,positive,SD
exp2_cat_k_fastball_diff,-0.005292,negative,SD
team_barrel_15g_home,0.005083,positive,SD
bullpen_meltdown_risk,-0.004772,negative,SD
away_win_pct,0.00437,positive,SD
exp2_centered_k_diff,-0.003737,negative,SD
lineup_woba_top3_away,0.003335,positive,SD
air_density_velocity_boost,-0.003295,negative,SD
sp_k9_away,-0.003247,negative,SD
sp_xwoba_home,0.003193,positive,SD
home_win_pct,0.003084,positive,SD
lineup_woba_top3_home,-0.002939,negative,SD
team_exitvelo_diff,0.002876,positive,SD
exp2_cat_k_breaking_diff,0.002875,positive,SD
lineup_depth_multiplier,-0.00281,negative,SD
win_pct_diff,0.00269,positive,SD
pitcher_regression_indicator,-0.002622,negative,SD
woba_30g_diff,0.002578,positive,SD
away_elo,0.00203,positive,SD
team_barrel_diff,-0.001958,negative,SD
team_exitvelo_15g_away,-0.00184,negative,SD
lineup_woba_std_diff,-0.001644,negative,SD
ace_efficiency_factor,0.00164,positive,SD
team_barrel_15g_away,0.001639,positive,SD
sp_k9_home,-0.001638,negative,SD
lineup_woba_mean_away,-0.001345,negative,SD
lineup_woba_mean_home,-0.00121,negative,SD
wind_advantage_flyball_factor,-0.000845,negative,SD
sp_xwoba_away,0.000691,positive,SD
lineup_woba_mean_diff,-0.000667,negative,SD
bullpen_whip_10g_away,0.000617,positive,SD
exp2_cat_platoon_k_fastball_diff,0.000598,positive,SD
woba_30g_home,-0.000503,negative,SD
woba_30g_away,-0.000479,negative,SD
exp2_cat_xwoba_breaking_diff,0.000332,positive,SD
exp2_cat_xwoba_offspeed_diff,-0.000267,negative,SD
dome_is_neutral,0.000111,positive,SD
exp2_cat_xwoba_fastball_diff,-8.2e-05,negative,SD
closer_availability_diff,7.8e-05,positive,SD
bullpen_whip_3g_away,-5.9e-05,negative,SD
exp2_cat_k_offspeed_diff,-4.8e-05,negative,SD
travel_fatigue_diff,4e-05,positive,SD
rest_days_diff,-2e-06,negative,SD
is_home,-0.0,negative,SD
