feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.143078,positive,TB
home_team_id,0.053574,positive,TB
away_team_id,0.047416,positive,TB
sp_k9_away,-0.016649,negative,TB
home_elo,0.014381,positive,TB
team_exitvelo_15g_home,-0.013679,negative,TB
bullpen_whip_3g_home,0.013589,positive,TB
elo_diff,0.011563,positive,TB
sp_era_home,-0.010897,negative,TB
sp_era_5g_diff,0.009048,positive,TB
win_pct_diff,0.007639,positive,TB
sp_fbvelo_diff,0.007455,positive,TB
team_barrel_diff,-0.006771,negative,TB
sp_era_diff,0.006646,positive,TB
lineup_woba_top3_home,0.005969,positive,TB
bullpen_whip_10g_home,0.0054,positive,TB
bullpen_whip_3g_diff,0.005045,positive,TB
woba_30g_home,0.004653,positive,TB
lineup_depth_multiplier,0.004602,positive,TB
lineup_handedness_matchup_advantage,-0.004478,negative,TB
air_density_velocity_boost,0.004417,positive,TB
wind_advantage_flyball_factor,-0.00418,negative,TB
bullpen_whip_diff,0.004057,positive,TB
home_win_pct,0.003999,positive,TB
park_factor_slug_diff,0.003117,positive,TB
bullpen_meltdown_risk,0.003011,positive,TB
team_hardhit_diff,0.002741,positive,TB
away_win_pct,0.00259,positive,TB
sp_era_away,0.002313,positive,TB
lineup_woba_top3_diff,-0.002243,negative,TB
bullpen_pitches_diff,0.002175,positive,TB
woba_30g_diff,-0.002114,negative,TB
team_barrel_15g_away,-0.002061,negative,TB
exp2_cat_k_breaking_diff,0.001912,positive,TB
sp_xwoba_away,-0.001578,negative,TB
team_exitvelo_15g_away,0.001556,positive,TB
pitcher_regression_indicator,-0.001463,negative,TB
team_barrel_15g_home,0.00142,positive,TB
sp_xwoba_home,0.001409,positive,TB
lineup_woba_mean_away,0.001363,positive,TB
lineup_woba_mean_diff,0.001289,positive,TB
ace_efficiency_factor,-0.001279,negative,TB
lineup_woba_top3_away,-0.001251,negative,TB
exp2_cat_k_fastball_diff,0.001238,positive,TB
exp2_centered_k_diff,0.001195,positive,TB
sp_k9_home,0.001029,positive,TB
exp2_cat_k_offspeed_diff,0.001011,positive,TB
exp2_cat_xwoba_offspeed_diff,-0.000897,negative,TB
team_exitvelo_diff,-0.000859,negative,TB
away_elo,0.000827,positive,TB
exp2_cat_xwoba_breaking_diff,-0.000738,negative,TB
woba_30g_away,-0.000737,negative,TB
lineup_woba_std_diff,0.000705,positive,TB
exp2_cat_platoon_k_fastball_diff,-0.000615,negative,TB
closer_availability_diff,0.000214,positive,TB
exp2_cat_xwoba_fastball_diff,-0.000193,negative,TB
bullpen_whip_10g_away,0.000169,positive,TB
dome_is_neutral,8e-05,positive,TB
bullpen_whip_3g_away,5.3e-05,positive,TB
lineup_woba_mean_home,1.2e-05,positive,TB
travel_fatigue_diff,-1e-05,negative,TB
rest_days_diff,-6e-06,negative,TB
is_home,0.0,negative,TB
