feature,shap_value,signed_effect,perspective_team
away_team_id,-0.12423,negative,TEX
home_team_id,0.064003,positive,TEX
run_margin_diff,0.057187,positive,TEX
sp_era_5g_diff,0.018115,positive,TEX
bullpen_whip_3g_diff,0.016604,positive,TEX
bullpen_meltdown_risk,0.011294,positive,TEX
sp_fbvelo_diff,0.010337,positive,TEX
sp_k9_away,-0.008464,negative,TEX
pitcher_regression_indicator,-0.007756,negative,TEX
exp2_centered_k_diff,0.007438,positive,TEX
exp2_cat_platoon_k_fastball_diff,0.006994,positive,TEX
win_pct_diff,-0.006855,negative,TEX
lineup_handedness_matchup_advantage,-0.006637,negative,TEX
bullpen_pitches_diff,0.006018,positive,TEX
sp_xwoba_away,0.005979,positive,TEX
sp_era_diff,0.005825,positive,TEX
air_density_velocity_boost,0.005661,positive,TEX
away_win_pct,-0.004585,negative,TEX
bullpen_whip_3g_away,0.004536,positive,TEX
sp_era_home,0.004186,positive,TEX
ace_efficiency_factor,0.004122,positive,TEX
exp2_cat_k_breaking_diff,-0.004002,negative,TEX
team_exitvelo_15g_away,0.003696,positive,TEX
woba_30g_diff,-0.003443,negative,TEX
team_barrel_diff,0.003216,positive,TEX
lineup_depth_multiplier,0.003134,positive,TEX
sp_k9_home,0.002701,positive,TEX
woba_30g_home,0.00269,positive,TEX
bullpen_whip_diff,-0.002615,negative,TEX
elo_diff,-0.002487,negative,TEX
wind_advantage_flyball_factor,0.002436,positive,TEX
lineup_woba_mean_home,0.002388,positive,TEX
bullpen_whip_3g_home,0.002274,positive,TEX
woba_30g_away,0.002128,positive,TEX
lineup_woba_top3_diff,-0.002125,negative,TEX
lineup_woba_std_diff,0.001777,positive,TEX
exp2_cat_k_fastball_diff,0.00175,positive,TEX
lineup_woba_mean_away,0.001684,positive,TEX
sp_era_away,0.00167,positive,TEX
exp2_cat_xwoba_offspeed_diff,-0.001282,negative,TEX
bullpen_whip_10g_away,0.001251,positive,TEX
exp2_cat_xwoba_fastball_diff,-0.001082,negative,TEX
away_elo,0.000982,positive,TEX
home_win_pct,-0.000952,negative,TEX
team_barrel_15g_home,-0.00083,negative,TEX
team_exitvelo_diff,0.000761,positive,TEX
lineup_woba_mean_diff,0.000728,positive,TEX
lineup_woba_top3_home,0.000657,positive,TEX
park_factor_slug_diff,0.000578,positive,TEX
home_elo,0.000544,positive,TEX
team_hardhit_diff,0.000518,positive,TEX
team_barrel_15g_away,-0.00045,negative,TEX
bullpen_whip_10g_home,-0.000409,negative,TEX
lineup_woba_top3_away,-0.00036,negative,TEX
dome_is_neutral,0.000258,positive,TEX
sp_xwoba_home,0.000244,positive,TEX
exp2_cat_k_offspeed_diff,0.000152,positive,TEX
team_exitvelo_15g_home,-0.000131,negative,TEX
exp2_cat_xwoba_breaking_diff,-7.9e-05,negative,TEX
travel_fatigue_diff,-3.5e-05,negative,TEX
closer_availability_diff,-2e-06,negative,TEX
rest_days_diff,-1e-06,negative,TEX
is_home,0.0,negative,TEX
