feature,shap_value,signed_effect,perspective_team
away_team_id,0.055887,positive,HOU
lineup_handedness_matchup_advantage,-0.012317,negative,HOU
run_margin_diff,0.012178,positive,HOU
away_win_pct,-0.010991,negative,HOU
bullpen_meltdown_risk,-0.010461,negative,HOU
exp2_centered_k_diff,0.008403,positive,HOU
bullpen_whip_diff,0.007924,positive,HOU
sp_xwoba_home,0.007272,positive,HOU
lineup_woba_top3_diff,0.007158,positive,HOU
home_team_id,-0.007021,negative,HOU
air_density_velocity_boost,0.006551,positive,HOU
sp_era_home,0.005994,positive,HOU
away_elo,-0.005671,negative,HOU
sp_fbvelo_diff,0.004993,positive,HOU
bullpen_whip_3g_diff,0.004985,positive,HOU
sp_era_diff,0.004984,positive,HOU
bullpen_whip_3g_away,0.004586,positive,HOU
woba_30g_away,0.004434,positive,HOU
bullpen_whip_10g_home,0.004329,positive,HOU
bullpen_whip_3g_home,0.003992,positive,HOU
sp_k9_away,0.003178,positive,HOU
lineup_depth_multiplier,0.003048,positive,HOU
sp_era_5g_diff,-0.002902,negative,HOU
pitcher_regression_indicator,0.002545,positive,HOU
win_pct_diff,0.002452,positive,HOU
sp_k9_home,0.002375,positive,HOU
team_barrel_diff,0.002019,positive,HOU
sp_xwoba_away,-0.001826,negative,HOU
lineup_woba_std_diff,0.001629,positive,HOU
lineup_woba_mean_home,0.001544,positive,HOU
team_exitvelo_diff,-0.001486,negative,HOU
exp2_cat_xwoba_offspeed_diff,-0.001436,negative,HOU
bullpen_pitches_diff,0.001282,positive,HOU
sp_era_away,-0.001128,negative,HOU
exp2_cat_xwoba_fastball_diff,-0.001094,negative,HOU
exp2_cat_k_fastball_diff,0.001082,positive,HOU
wind_advantage_flyball_factor,0.001079,positive,HOU
lineup_woba_top3_away,-0.000993,negative,HOU
lineup_woba_mean_diff,-0.000956,negative,HOU
team_barrel_15g_home,-0.000912,negative,HOU
bullpen_whip_10g_away,0.000576,positive,HOU
exp2_cat_platoon_k_fastball_diff,0.000551,positive,HOU
park_factor_slug_diff,-0.000549,negative,HOU
home_elo,0.000475,positive,HOU
exp2_cat_k_offspeed_diff,-0.000444,negative,HOU
woba_30g_diff,-0.000428,negative,HOU
team_exitvelo_15g_home,-0.000364,negative,HOU
elo_diff,-0.000315,negative,HOU
lineup_woba_top3_home,-0.000259,negative,HOU
woba_30g_home,0.000231,positive,HOU
team_barrel_15g_away,-0.00023,negative,HOU
dome_is_neutral,0.000219,positive,HOU
team_hardhit_diff,-0.000193,negative,HOU
ace_efficiency_factor,-0.00018,negative,HOU
team_exitvelo_15g_away,-0.000173,negative,HOU
exp2_cat_k_breaking_diff,-0.000115,negative,HOU
home_win_pct,-6.9e-05,negative,HOU
lineup_woba_mean_away,6.6e-05,positive,HOU
exp2_cat_xwoba_breaking_diff,-4.5e-05,negative,HOU
travel_fatigue_diff,-4e-05,negative,HOU
closer_availability_diff,-6e-06,negative,HOU
rest_days_diff,-2e-06,negative,HOU
is_home,0.0,negative,HOU
