feature,shap_value,signed_effect,perspective_team
home_team_id,0.177575,positive,SEA
away_team_id,-0.133279,negative,SEA
run_margin_diff,0.037939,positive,SEA
sp_era_home,0.018843,positive,SEA
sp_fbvelo_diff,0.016771,positive,SEA
bullpen_whip_3g_home,-0.013866,negative,SEA
home_elo,0.011449,positive,SEA
sp_era_diff,0.010594,positive,SEA
sp_era_5g_diff,-0.007372,negative,SEA
away_win_pct,0.0072,positive,SEA
team_exitvelo_15g_home,0.005194,positive,SEA
park_factor_slug_diff,-0.005155,negative,SEA
bullpen_whip_3g_diff,-0.005081,negative,SEA
sp_k9_home,0.00421,positive,SEA
exp2_cat_k_fastball_diff,-0.004065,negative,SEA
elo_diff,0.003996,positive,SEA
lineup_handedness_matchup_advantage,0.003899,positive,SEA
bullpen_pitches_diff,0.003893,positive,SEA
lineup_woba_top3_away,-0.003882,negative,SEA
team_hardhit_diff,-0.003756,negative,SEA
pitcher_regression_indicator,-0.00375,negative,SEA
team_exitvelo_diff,0.003682,positive,SEA
exp2_centered_k_diff,-0.003609,negative,SEA
bullpen_whip_diff,0.003582,positive,SEA
lineup_depth_multiplier,-0.002734,negative,SEA
exp2_cat_k_breaking_diff,-0.002573,negative,SEA
bullpen_meltdown_risk,0.002552,positive,SEA
team_exitvelo_15g_away,-0.002532,negative,SEA
woba_30g_diff,0.002316,positive,SEA
lineup_woba_top3_home,-0.002224,negative,SEA
bullpen_whip_10g_home,-0.002115,negative,SEA
sp_xwoba_home,0.002109,positive,SEA
sp_k9_away,0.001978,positive,SEA
lineup_woba_mean_away,-0.001953,negative,SEA
team_barrel_15g_away,-0.001846,negative,SEA
team_barrel_diff,-0.001767,negative,SEA
lineup_woba_std_diff,-0.001759,negative,SEA
sp_xwoba_away,-0.00169,negative,SEA
lineup_woba_top3_diff,0.001569,positive,SEA
sp_era_away,0.001243,positive,SEA
air_density_velocity_boost,-0.00123,negative,SEA
team_barrel_15g_home,0.001194,positive,SEA
win_pct_diff,0.001167,positive,SEA
away_elo,0.000779,positive,SEA
lineup_woba_mean_home,-0.000702,negative,SEA
woba_30g_away,0.00067,positive,SEA
home_win_pct,0.000612,positive,SEA
exp2_cat_xwoba_offspeed_diff,-0.000606,negative,SEA
exp2_cat_k_offspeed_diff,0.000398,positive,SEA
exp2_cat_platoon_k_fastball_diff,0.00033,positive,SEA
woba_30g_home,0.000255,positive,SEA
lineup_woba_mean_diff,-0.000244,negative,SEA
bullpen_whip_10g_away,0.000171,positive,SEA
ace_efficiency_factor,0.000146,positive,SEA
wind_advantage_flyball_factor,-0.000111,negative,SEA
exp2_cat_xwoba_fastball_diff,-0.000111,negative,SEA
dome_is_neutral,7.9e-05,positive,SEA
bullpen_whip_3g_away,2.9e-05,positive,SEA
exp2_cat_xwoba_breaking_diff,1.9e-05,positive,SEA
closer_availability_diff,5e-06,positive,SEA
rest_days_diff,-4e-06,negative,SEA
travel_fatigue_diff,4e-06,positive,SEA
is_home,-0.0,negative,SEA
