feature,shap_value,signed_effect,perspective_team
run_margin_diff,0.151936,positive,STL
away_team_id,0.085153,positive,STL
team_exitvelo_15g_away,-0.050933,negative,STL
bullpen_whip_3g_home,0.013563,positive,STL
sp_era_5g_diff,0.009748,positive,STL
lineup_woba_mean_home,0.009004,positive,STL
lineup_woba_top3_away,0.008987,positive,STL
sp_era_diff,0.007963,positive,STL
sp_k9_away,0.006331,positive,STL
lineup_woba_top3_home,0.005971,positive,STL
bullpen_meltdown_risk,0.005376,positive,STL
sp_fbvelo_diff,0.005129,positive,STL
bullpen_whip_3g_diff,0.005102,positive,STL
sp_k9_home,-0.004988,negative,STL
away_win_pct,0.004846,positive,STL
bullpen_pitches_diff,0.004794,positive,STL
air_density_velocity_boost,0.004752,positive,STL
lineup_handedness_matchup_advantage,-0.004265,negative,STL
exp2_cat_platoon_k_fastball_diff,-0.004075,negative,STL
sp_era_home,0.003731,positive,STL
lineup_depth_multiplier,0.003465,positive,STL
pitcher_regression_indicator,-0.00275,negative,STL
lineup_woba_std_diff,0.002178,positive,STL
ace_efficiency_factor,0.002172,positive,STL
team_hardhit_diff,0.002159,positive,STL
team_barrel_diff,0.002075,positive,STL
sp_xwoba_home,-0.002074,negative,STL
lineup_woba_mean_away,0.002006,positive,STL
exp2_cat_k_breaking_diff,-0.001846,negative,STL
exp2_cat_k_fastball_diff,0.001706,positive,STL
woba_30g_home,0.001686,positive,STL
team_exitvelo_diff,0.00141,positive,STL
lineup_woba_mean_diff,0.001287,positive,STL
bullpen_whip_diff,-0.001277,negative,STL
win_pct_diff,0.001248,positive,STL
exp2_cat_k_offspeed_diff,0.001119,positive,STL
lineup_woba_top3_diff,-0.001049,negative,STL
exp2_centered_k_diff,0.001035,positive,STL
team_barrel_15g_away,0.001025,positive,STL
woba_30g_diff,0.001005,positive,STL
wind_advantage_flyball_factor,0.000925,positive,STL
team_exitvelo_15g_home,0.000875,positive,STL
exp2_cat_xwoba_offspeed_diff,0.000835,positive,STL
exp2_cat_xwoba_breaking_diff,-0.000805,negative,STL
away_elo,0.000781,positive,STL
woba_30g_away,-0.000682,negative,STL
team_barrel_15g_home,0.000668,positive,STL
park_factor_slug_diff,0.000609,positive,STL
home_elo,-0.000493,negative,STL
home_win_pct,0.000337,positive,STL
home_team_id,-0.000298,negative,STL
bullpen_whip_10g_away,0.000289,positive,STL
elo_diff,-0.000277,negative,STL
sp_era_away,-0.000276,negative,STL
bullpen_whip_10g_home,0.000272,positive,STL
sp_xwoba_away,0.000154,positive,STL
dome_is_neutral,-6.2e-05,negative,STL
bullpen_whip_3g_away,-3e-05,negative,STL
closer_availability_diff,-1.4e-05,negative,STL
travel_fatigue_diff,-7e-06,negative,STL
rest_days_diff,-3e-06,negative,STL
exp2_cat_xwoba_fastball_diff,-2e-06,negative,STL
is_home,0.0,negative,STL
