feature,shap_value,signed_effect,perspective_team
is_home,0.0,negative,CIN
win_pct_diff,0.0,negative,CIN
elo_diff,0.0,negative,CIN
rest_days_diff,0.0,negative,CIN
sp_era_diff,0.0,negative,CIN
sp_era_5g_diff,0.0,negative,CIN
sp_fbvelo_diff,0.0,negative,CIN
lineup_woba_mean_diff,0.0,negative,CIN
lineup_woba_top3_diff,0.0,negative,CIN
lineup_woba_std_diff,0.0,negative,CIN
woba_30g_diff,0.0,negative,CIN
bullpen_whip_diff,0.0,negative,CIN
bullpen_whip_3g_diff,0.0,negative,CIN
bullpen_pitches_diff,0.0,negative,CIN
team_barrel_diff,0.0,negative,CIN
team_hardhit_diff,0.0,negative,CIN
team_exitvelo_diff,0.0,negative,CIN
lineup_handedness_matchup_advantage,0.0,negative,CIN
travel_fatigue_diff,0.0,negative,CIN
closer_availability_diff,0.0,negative,CIN
dome_is_neutral,0.0,negative,CIN
park_factor_slug_diff,0.0,negative,CIN
wind_advantage_flyball_factor,0.0,negative,CIN
air_density_velocity_boost,0.0,negative,CIN
bullpen_meltdown_risk,0.0,negative,CIN
pitcher_regression_indicator,0.0,negative,CIN
lineup_depth_multiplier,0.0,negative,CIN
ace_efficiency_factor,0.0,negative,CIN
home_elo,0.0,negative,CIN
away_elo,0.0,negative,CIN
home_win_pct,0.0,negative,CIN
away_win_pct,0.0,negative,CIN
sp_era_home,0.0,negative,CIN
sp_era_away,0.0,negative,CIN
sp_k9_home,0.0,negative,CIN
sp_k9_away,0.0,negative,CIN
sp_xwoba_home,0.0,negative,CIN
sp_xwoba_away,0.0,negative,CIN
lineup_woba_mean_home,0.0,negative,CIN
lineup_woba_mean_away,0.0,negative,CIN
lineup_woba_top3_home,0.0,negative,CIN
lineup_woba_top3_away,0.0,negative,CIN
woba_30g_home,0.0,negative,CIN
woba_30g_away,0.0,negative,CIN
bullpen_whip_10g_home,0.0,negative,CIN
bullpen_whip_10g_away,0.0,negative,CIN
bullpen_whip_3g_home,0.0,negative,CIN
bullpen_whip_3g_away,0.0,negative,CIN
team_barrel_15g_home,0.0,negative,CIN
team_barrel_15g_away,0.0,negative,CIN
team_exitvelo_15g_home,0.0,negative,CIN
team_exitvelo_15g_away,0.0,negative,CIN
run_margin_diff,0.0,negative,CIN
exp2_centered_k_diff,0.0,negative,CIN
exp2_cat_k_fastball_diff,0.0,negative,CIN
exp2_cat_k_breaking_diff,0.0,negative,CIN
exp2_cat_k_offspeed_diff,0.0,negative,CIN
exp2_cat_xwoba_fastball_diff,0.0,negative,CIN
exp2_cat_xwoba_breaking_diff,0.0,negative,CIN
exp2_cat_xwoba_offspeed_diff,0.0,negative,CIN
exp2_cat_platoon_k_fastball_diff,0.0,negative,CIN
