feature,shap_value,signed_effect,perspective_team
away_team_id,0.139418,positive,MIL
run_margin_diff,0.051597,positive,MIL
sp_era_5g_diff,0.013075,positive,MIL
bullpen_whip_3g_diff,-0.011686,negative,MIL
air_density_velocity_boost,-0.011134,negative,MIL
pitcher_regression_indicator,-0.010562,negative,MIL
sp_era_diff,0.009645,positive,MIL
bullpen_meltdown_risk,0.008046,positive,MIL
bullpen_whip_diff,-0.007353,negative,MIL
exp2_cat_platoon_k_fastball_diff,-0.007333,negative,MIL
lineup_woba_mean_home,-0.00672,negative,MIL
sp_k9_home,-0.00666,negative,MIL
win_pct_diff,0.006334,positive,MIL
exp2_cat_k_fastball_diff,-0.006136,negative,MIL
sp_k9_away,0.006131,positive,MIL
lineup_handedness_matchup_advantage,0.00557,positive,MIL
sp_fbvelo_diff,-0.005398,negative,MIL
exp2_cat_k_breaking_diff,0.004634,positive,MIL
away_elo,-0.004121,negative,MIL
bullpen_whip_10g_home,-0.003983,negative,MIL
lineup_woba_top3_diff,0.00394,positive,MIL
ace_efficiency_factor,-0.003647,negative,MIL
away_win_pct,-0.003585,negative,MIL
team_barrel_diff,0.003489,positive,MIL
sp_xwoba_away,0.003116,positive,MIL
bullpen_whip_3g_home,-0.002858,negative,MIL
sp_xwoba_home,0.002695,positive,MIL
sp_era_away,0.002579,positive,MIL
exp2_cat_k_offspeed_diff,0.002417,positive,MIL
exp2_centered_k_diff,-0.002245,negative,MIL
wind_advantage_flyball_factor,-0.002236,negative,MIL
lineup_depth_multiplier,-0.002148,negative,MIL
sp_era_home,0.001963,positive,MIL
exp2_cat_xwoba_fastball_diff,0.001838,positive,MIL
lineup_woba_top3_home,-0.001831,negative,MIL
lineup_woba_std_diff,-0.0016,negative,MIL
exp2_cat_xwoba_offspeed_diff,0.0016,positive,MIL
woba_30g_home,0.001438,positive,MIL
lineup_woba_top3_away,0.001327,positive,MIL
woba_30g_away,-0.001234,negative,MIL
elo_diff,0.001073,positive,MIL
bullpen_pitches_diff,-0.00102,negative,MIL
park_factor_slug_diff,0.000951,positive,MIL
woba_30g_diff,0.00067,positive,MIL
team_barrel_15g_home,0.000665,positive,MIL
home_win_pct,-0.000662,negative,MIL
home_elo,-0.000536,negative,MIL
home_team_id,0.000532,positive,MIL
bullpen_whip_3g_away,0.00052,positive,MIL
lineup_woba_mean_away,-0.0005,negative,MIL
exp2_cat_xwoba_breaking_diff,0.000395,positive,MIL
team_barrel_15g_away,0.000372,positive,MIL
bullpen_whip_10g_away,-0.000272,negative,MIL
team_exitvelo_15g_home,0.000152,positive,MIL
team_exitvelo_diff,-0.000113,negative,MIL
lineup_woba_mean_diff,-8.9e-05,negative,MIL
team_hardhit_diff,-6e-05,negative,MIL
dome_is_neutral,4.2e-05,positive,MIL
travel_fatigue_diff,3.6e-05,positive,MIL
team_exitvelo_15g_away,-2.4e-05,negative,MIL
rest_days_diff,6e-06,positive,MIL
closer_availability_diff,3e-06,positive,MIL
is_home,-0.0,negative,MIL
