feature,shap_value,signed_effect,perspective_team
home_team_id,-0.287563,negative,LAA
away_team_id,0.189552,positive,LAA
bullpen_whip_3g_home,0.04551,positive,LAA
sp_era_home,0.026508,positive,LAA
sp_k9_away,-0.023567,negative,LAA
home_elo,-0.020237,negative,LAA
lineup_handedness_matchup_advantage,-0.017636,negative,LAA
win_pct_diff,-0.016157,negative,LAA
sp_fbvelo_diff,0.015742,positive,LAA
bullpen_meltdown_risk,0.014474,positive,LAA
lineup_woba_top3_away,-0.013382,negative,LAA
sp_era_5g_diff,0.010971,positive,LAA
sp_era_diff,0.010843,positive,LAA
away_win_pct,-0.010709,negative,LAA
sp_xwoba_home,-0.010369,negative,LAA
elo_diff,-0.010128,negative,LAA
lineup_woba_top3_diff,-0.008941,negative,LAA
exp2_cat_k_breaking_diff,0.008649,positive,LAA
exp2_centered_k_diff,-0.007905,negative,LAA
bullpen_whip_3g_away,-0.007268,negative,LAA
park_factor_slug_diff,-0.006704,negative,LAA
bullpen_whip_diff,0.005351,positive,LAA
team_exitvelo_15g_home,-0.004454,negative,LAA
lineup_woba_mean_away,0.004323,positive,LAA
bullpen_whip_3g_diff,0.004226,positive,LAA
exp2_cat_k_fastball_diff,-0.003793,negative,LAA
bullpen_whip_10g_home,-0.00358,negative,LAA
team_barrel_diff,-0.003393,negative,LAA
exp2_cat_platoon_k_fastball_diff,0.003297,positive,LAA
away_elo,-0.003236,negative,LAA
team_exitvelo_15g_away,-0.00322,negative,LAA
team_hardhit_diff,0.002968,positive,LAA
lineup_woba_top3_home,0.002965,positive,LAA
lineup_depth_multiplier,0.002899,positive,LAA
lineup_woba_std_diff,0.002805,positive,LAA
air_density_velocity_boost,0.002718,positive,LAA
exp2_cat_xwoba_offspeed_diff,0.002403,positive,LAA
bullpen_whip_10g_away,0.002302,positive,LAA
sp_xwoba_away,-0.002112,negative,LAA
bullpen_pitches_diff,-0.002061,negative,LAA
lineup_woba_mean_diff,0.002031,positive,LAA
lineup_woba_mean_home,0.001825,positive,LAA
home_win_pct,0.00133,positive,LAA
pitcher_regression_indicator,0.001143,positive,LAA
woba_30g_away,-0.001051,negative,LAA
team_exitvelo_diff,-0.000996,negative,LAA
woba_30g_diff,-0.000989,negative,LAA
team_barrel_15g_away,-0.000759,negative,LAA
dome_is_neutral,-0.000615,negative,LAA
wind_advantage_flyball_factor,0.00058,positive,LAA
exp2_cat_xwoba_breaking_diff,0.000444,positive,LAA
exp2_cat_xwoba_fastball_diff,-0.000347,negative,LAA
ace_efficiency_factor,0.000238,positive,LAA
team_barrel_15g_home,-0.000124,negative,LAA
woba_30g_home,-6.5e-05,negative,LAA
sp_k9_home,-7e-06,negative,LAA
is_home,0.0,negative,LAA
rest_days_diff,0.0,negative,LAA
travel_fatigue_diff,0.0,negative,LAA
closer_availability_diff,0.0,negative,LAA
sp_era_away,0.0,negative,LAA
exp2_cat_k_offspeed_diff,0.0,negative,LAA
closer_available_home,0.0,negative,LAA
closer_available_away,0.0,negative,LAA
