feature,shap_value,signed_effect,perspective_team
away_team_id,0.106357,positive,CHC
home_team_id,0.081757,positive,CHC
bullpen_whip_3g_home,-0.028523,negative,CHC
sp_era_5g_diff,0.027774,positive,CHC
sp_era_home,0.026221,positive,CHC
sp_k9_home,0.016867,positive,CHC
exp2_centered_k_diff,-0.012939,negative,CHC
air_density_velocity_boost,-0.012235,negative,CHC
sp_xwoba_home,0.011033,positive,CHC
sp_fbvelo_diff,-0.010905,negative,CHC
sp_k9_away,-0.010308,negative,CHC
elo_diff,0.009699,positive,CHC
lineup_woba_mean_diff,0.009055,positive,CHC
bullpen_meltdown_risk,0.009006,positive,CHC
exp2_cat_k_breaking_diff,0.00821,positive,CHC
team_barrel_diff,0.00818,positive,CHC
team_exitvelo_diff,-0.007466,negative,CHC
bullpen_whip_10g_home,0.005823,positive,CHC
team_exitvelo_15g_away,-0.005209,negative,CHC
win_pct_diff,0.00495,positive,CHC
lineup_woba_mean_home,0.004762,positive,CHC
bullpen_whip_3g_diff,-0.004637,negative,CHC
bullpen_pitches_diff,0.004369,positive,CHC
exp2_cat_xwoba_offspeed_diff,0.004165,positive,CHC
lineup_handedness_matchup_advantage,-0.004085,negative,CHC
exp2_cat_platoon_k_fastball_diff,-0.0038,negative,CHC
home_elo,-0.00359,negative,CHC
team_barrel_15g_away,0.002847,positive,CHC
lineup_woba_std_diff,0.002797,positive,CHC
wind_advantage_flyball_factor,-0.002791,negative,CHC
lineup_woba_top3_diff,0.002562,positive,CHC
lineup_woba_top3_away,0.002545,positive,CHC
exp2_cat_k_fastball_diff,0.002479,positive,CHC
away_win_pct,0.002038,positive,CHC
away_elo,0.002021,positive,CHC
exp2_cat_xwoba_fastball_diff,-0.001755,negative,CHC
pitcher_regression_indicator,-0.001669,negative,CHC
bullpen_whip_3g_away,0.001456,positive,CHC
woba_30g_home,-0.001136,negative,CHC
lineup_woba_mean_away,0.001135,positive,CHC
lineup_depth_multiplier,0.00099,positive,CHC
team_barrel_15g_home,0.000913,positive,CHC
bullpen_whip_10g_away,-0.000791,negative,CHC
bullpen_whip_diff,0.000593,positive,CHC
sp_xwoba_away,-0.000431,negative,CHC
sp_era_away,-0.000405,negative,CHC
woba_30g_diff,0.000388,positive,CHC
exp2_cat_xwoba_breaking_diff,0.000386,positive,CHC
exp2_cat_k_offspeed_diff,-0.000312,negative,CHC
home_win_pct,-0.000297,negative,CHC
team_hardhit_diff,-0.000239,negative,CHC
sp_era_diff,0.000207,positive,CHC
ace_efficiency_factor,-0.000173,negative,CHC
team_exitvelo_15g_home,-0.000151,negative,CHC
is_home,-0.0,negative,CHC
rest_days_diff,-0.0,negative,CHC
travel_fatigue_diff,-0.0,negative,CHC
closer_availability_diff,-0.0,negative,CHC
dome_is_neutral,-0.0,negative,CHC
park_factor_slug_diff,-0.0,negative,CHC
lineup_woba_top3_home,-0.0,negative,CHC
woba_30g_away,-0.0,negative,CHC
closer_available_home,-0.0,negative,CHC
closer_available_away,-0.0,negative,CHC
