feature,shap_value,signed_effect,perspective_team
away_team_id,0.129969,positive,CLE
home_team_id,0.11409,positive,CLE
away_elo,0.050283,positive,CLE
bullpen_meltdown_risk,0.03534,positive,CLE
bullpen_whip_3g_home,0.026475,positive,CLE
sp_era_5g_diff,-0.025352,negative,CLE
elo_diff,0.022692,positive,CLE
sp_k9_away,-0.02243,negative,CLE
bullpen_whip_3g_away,-0.019605,negative,CLE
bullpen_whip_diff,0.015435,positive,CLE
lineup_depth_multiplier,-0.015102,negative,CLE
sp_k9_home,0.014491,positive,CLE
sp_era_home,0.014144,positive,CLE
team_exitvelo_15g_away,0.013651,positive,CLE
sp_xwoba_home,0.012656,positive,CLE
lineup_handedness_matchup_advantage,-0.012626,negative,CLE
sp_fbvelo_diff,0.011648,positive,CLE
woba_30g_diff,0.010777,positive,CLE
team_exitvelo_diff,-0.008738,negative,CLE
wind_advantage_flyball_factor,-0.008245,negative,CLE
air_density_velocity_boost,0.007364,positive,CLE
bullpen_whip_10g_home,0.005815,positive,CLE
woba_30g_home,0.00553,positive,CLE
home_win_pct,-0.004702,negative,CLE
home_elo,-0.004457,negative,CLE
away_win_pct,0.004187,positive,CLE
bullpen_pitches_diff,-0.003757,negative,CLE
bullpen_whip_10g_away,0.003721,positive,CLE
team_hardhit_diff,-0.003692,negative,CLE
exp2_cat_xwoba_fastball_diff,0.00297,positive,CLE
team_exitvelo_15g_home,0.002949,positive,CLE
lineup_woba_top3_diff,0.002789,positive,CLE
lineup_woba_top3_home,-0.002708,negative,CLE
exp2_cat_k_fastball_diff,0.002348,positive,CLE
woba_30g_away,0.002218,positive,CLE
pitcher_regression_indicator,-0.002216,negative,CLE
exp2_cat_k_offspeed_diff,-0.0021,negative,CLE
team_barrel_15g_home,0.001899,positive,CLE
sp_era_away,0.001608,positive,CLE
exp2_cat_platoon_k_fastball_diff,-0.00155,negative,CLE
lineup_woba_mean_home,0.001536,positive,CLE
lineup_woba_mean_diff,0.001323,positive,CLE
lineup_woba_mean_away,0.001212,positive,CLE
exp2_centered_k_diff,-0.000797,negative,CLE
lineup_woba_std_diff,-0.000693,negative,CLE
bullpen_whip_3g_diff,0.000674,positive,CLE
win_pct_diff,0.000567,positive,CLE
team_barrel_diff,0.000555,positive,CLE
exp2_cat_xwoba_breaking_diff,-0.000473,negative,CLE
ace_efficiency_factor,0.000414,positive,CLE
park_factor_slug_diff,-0.000404,negative,CLE
exp2_cat_xwoba_offspeed_diff,-0.00038,negative,CLE
sp_era_diff,0.000372,positive,CLE
sp_xwoba_away,0.00035,positive,CLE
exp2_cat_k_breaking_diff,-0.00014,negative,CLE
closer_available_away,-0.00012,negative,CLE
is_home,0.0,negative,CLE
rest_days_diff,0.0,negative,CLE
travel_fatigue_diff,0.0,negative,CLE
closer_availability_diff,0.0,negative,CLE
dome_is_neutral,0.0,negative,CLE
lineup_woba_top3_away,0.0,negative,CLE
team_barrel_15g_away,0.0,negative,CLE
closer_available_home,0.0,negative,CLE
