feature,shap_value,signed_effect,perspective_team
away_team_id,-0.109781,negative,HOU
home_team_id,-0.050922,negative,HOU
sp_era_home,0.024791,positive,HOU
sp_xwoba_home,0.022326,positive,HOU
bullpen_meltdown_risk,-0.021572,negative,HOU
sp_fbvelo_diff,0.021189,positive,HOU
sp_era_5g_diff,0.020974,positive,HOU
bullpen_whip_3g_home,0.018697,positive,HOU
lineup_handedness_matchup_advantage,-0.014808,negative,HOU
lineup_woba_mean_away,-0.014196,negative,HOU
sp_k9_away,0.012578,positive,HOU
air_density_velocity_boost,0.009495,positive,HOU
home_elo,-0.008994,negative,HOU
team_exitvelo_15g_away,0.008296,positive,HOU
home_win_pct,-0.006326,negative,HOU
woba_30g_diff,-0.00599,negative,HOU
sp_era_diff,-0.005686,negative,HOU
team_exitvelo_diff,-0.005412,negative,HOU
away_win_pct,-0.004828,negative,HOU
bullpen_whip_3g_away,-0.004271,negative,HOU
team_barrel_diff,-0.004256,negative,HOU
lineup_depth_multiplier,0.004028,positive,HOU
bullpen_pitches_diff,0.003788,positive,HOU
exp2_cat_k_breaking_diff,0.003614,positive,HOU
pitcher_regression_indicator,0.00328,positive,HOU
team_exitvelo_15g_home,-0.003136,negative,HOU
sp_k9_home,-0.003006,negative,HOU
lineup_woba_mean_home,0.002736,positive,HOU
bullpen_whip_3g_diff,0.002731,positive,HOU
wind_advantage_flyball_factor,0.002663,positive,HOU
sp_era_away,0.002512,positive,HOU
lineup_woba_std_diff,0.002385,positive,HOU
lineup_woba_mean_diff,0.00217,positive,HOU
elo_diff,-0.00214,negative,HOU
exp2_cat_k_offspeed_diff,-0.0021,negative,HOU
win_pct_diff,0.002063,positive,HOU
bullpen_whip_diff,0.002045,positive,HOU
park_factor_slug_diff,0.002028,positive,HOU
lineup_woba_top3_home,-0.001941,negative,HOU
team_hardhit_diff,-0.001657,negative,HOU
exp2_cat_platoon_k_fastball_diff,-0.00155,negative,HOU
exp2_cat_xwoba_breaking_diff,-0.001315,negative,HOU
team_barrel_15g_home,-0.001184,negative,HOU
away_elo,-0.001,negative,HOU
bullpen_whip_10g_home,0.000963,positive,HOU
bullpen_whip_10g_away,0.000921,positive,HOU
ace_efficiency_factor,0.000797,positive,HOU
exp2_centered_k_diff,-0.000606,negative,HOU
sp_xwoba_away,0.000546,positive,HOU
exp2_cat_xwoba_fastball_diff,0.000473,positive,HOU
lineup_woba_top3_diff,0.000426,positive,HOU
lineup_woba_top3_away,0.000395,positive,HOU
woba_30g_home,-0.000262,negative,HOU
exp2_cat_k_fastball_diff,0.000214,positive,HOU
closer_available_away,-0.00012,negative,HOU
woba_30g_away,6e-06,positive,HOU
is_home,0.0,negative,HOU
rest_days_diff,0.0,negative,HOU
travel_fatigue_diff,0.0,negative,HOU
closer_availability_diff,0.0,negative,HOU
dome_is_neutral,0.0,negative,HOU
team_barrel_15g_away,0.0,negative,HOU
exp2_cat_xwoba_offspeed_diff,0.0,negative,HOU
closer_available_home,0.0,negative,HOU
