feature,shap_value,signed_effect,perspective_team
home_team_id,0.305539,positive,DET
bullpen_whip_diff,0.03388,positive,DET
away_team_id,0.031573,positive,DET
bullpen_meltdown_risk,-0.028988,negative,DET
sp_era_5g_diff,0.026698,positive,DET
lineup_handedness_matchup_advantage,0.023031,positive,DET
sp_era_home,-0.022054,negative,DET
sp_fbvelo_diff,0.020132,positive,DET
bullpen_whip_3g_home,-0.020132,negative,DET
team_exitvelo_diff,-0.015401,negative,DET
lineup_depth_multiplier,0.015307,positive,DET
team_exitvelo_15g_away,-0.013677,negative,DET
sp_xwoba_home,0.011828,positive,DET
away_elo,0.011449,positive,DET
exp2_cat_k_fastball_diff,-0.010715,negative,DET
sp_k9_away,-0.010158,negative,DET
bullpen_whip_3g_away,0.008605,positive,DET
woba_30g_diff,-0.00794,negative,DET
sp_k9_home,0.006433,positive,DET
home_win_pct,0.006326,positive,DET
bullpen_pitches_diff,-0.006208,negative,DET
ace_efficiency_factor,0.00578,positive,DET
sp_era_diff,0.005539,positive,DET
exp2_cat_k_breaking_diff,0.005161,positive,DET
elo_diff,0.005109,positive,DET
away_win_pct,0.004719,positive,DET
team_barrel_diff,0.004256,positive,DET
lineup_woba_mean_diff,0.003859,positive,DET
wind_advantage_flyball_factor,-0.003676,negative,DET
park_factor_slug_diff,-0.003631,negative,DET
lineup_woba_top3_home,0.003146,positive,DET
sp_era_away,-0.003105,negative,DET
home_elo,0.002749,positive,DET
bullpen_whip_10g_away,0.002165,positive,DET
sp_xwoba_away,-0.002102,negative,DET
lineup_woba_top3_diff,-0.001967,negative,DET
team_barrel_15g_home,0.001798,positive,DET
lineup_woba_mean_away,-0.001743,negative,DET
team_exitvelo_15g_home,-0.001696,negative,DET
exp2_cat_k_offspeed_diff,0.001439,positive,DET
lineup_woba_mean_home,-0.001378,negative,DET
exp2_cat_platoon_k_fastball_diff,0.001373,positive,DET
pitcher_regression_indicator,0.001359,positive,DET
air_density_velocity_boost,-0.001145,negative,DET
lineup_woba_std_diff,-0.001092,negative,DET
win_pct_diff,-0.001085,negative,DET
bullpen_whip_3g_diff,-0.000585,negative,DET
exp2_cat_xwoba_breaking_diff,0.000473,positive,DET
exp2_centered_k_diff,0.000444,positive,DET
team_hardhit_diff,-0.000311,negative,DET
exp2_cat_xwoba_fastball_diff,-0.00027,negative,DET
lineup_woba_top3_away,-0.000249,negative,DET
woba_30g_home,0.000243,positive,DET
bullpen_whip_10g_home,-0.000238,negative,DET
closer_available_away,0.00012,positive,DET
woba_30g_away,-6e-06,negative,DET
is_home,-0.0,negative,DET
rest_days_diff,-0.0,negative,DET
travel_fatigue_diff,-0.0,negative,DET
closer_availability_diff,-0.0,negative,DET
dome_is_neutral,-0.0,negative,DET
team_barrel_15g_away,-0.0,negative,DET
exp2_cat_xwoba_offspeed_diff,-0.0,negative,DET
closer_available_home,-0.0,negative,DET
