feature,shap_value,signed_effect,perspective_team
home_team_id,0.219806,positive,SD
away_team_id,0.081305,positive,SD
sp_era_5g_diff,0.035929,positive,SD
home_elo,0.028864,positive,SD
sp_fbvelo_diff,-0.026061,negative,SD
elo_diff,0.021376,positive,SD
bullpen_whip_3g_away,-0.019598,negative,SD
bullpen_whip_3g_home,0.018165,positive,SD
team_exitvelo_diff,0.017974,positive,SD
sp_k9_away,0.016335,positive,SD
lineup_handedness_matchup_advantage,-0.015052,negative,SD
pitcher_regression_indicator,-0.013459,negative,SD
bullpen_meltdown_risk,0.012054,positive,SD
exp2_cat_k_fastball_diff,0.008544,positive,SD
away_elo,-0.007899,negative,SD
team_exitvelo_15g_home,0.006887,positive,SD
sp_xwoba_home,0.006659,positive,SD
woba_30g_diff,0.006268,positive,SD
bullpen_pitches_diff,-0.005838,negative,SD
away_win_pct,-0.004683,negative,SD
park_factor_slug_diff,-0.003245,negative,SD
woba_30g_home,-0.003049,negative,SD
team_barrel_15g_home,-0.002987,negative,SD
lineup_woba_mean_home,0.00283,positive,SD
bullpen_whip_diff,-0.002665,negative,SD
wind_advantage_flyball_factor,0.002663,positive,SD
sp_k9_home,-0.002561,negative,SD
home_win_pct,-0.002119,negative,SD
sp_era_home,-0.002113,negative,SD
team_barrel_diff,0.002057,positive,SD
team_exitvelo_15g_away,-0.001811,negative,SD
lineup_woba_std_diff,0.00156,positive,SD
air_density_velocity_boost,0.001555,positive,SD
exp2_cat_k_offspeed_diff,-0.001471,negative,SD
exp2_cat_platoon_k_fastball_diff,-0.001373,negative,SD
lineup_woba_mean_diff,0.001323,positive,SD
sp_era_away,0.001249,positive,SD
lineup_depth_multiplier,0.001185,positive,SD
team_hardhit_diff,-0.001153,negative,SD
lineup_woba_mean_away,0.001063,positive,SD
win_pct_diff,-0.000918,negative,SD
exp2_centered_k_diff,-0.000807,negative,SD
sp_era_diff,0.000754,positive,SD
ace_efficiency_factor,-0.000717,negative,SD
lineup_woba_top3_home,-0.000682,negative,SD
exp2_cat_k_breaking_diff,-0.00068,negative,SD
bullpen_whip_3g_diff,0.000574,positive,SD
woba_30g_away,0.000561,positive,SD
exp2_cat_xwoba_fastball_diff,-0.00051,negative,SD
exp2_cat_xwoba_breaking_diff,-0.000473,negative,SD
lineup_woba_top3_diff,0.000426,positive,SD
bullpen_whip_10g_away,-0.000301,negative,SD
lineup_woba_top3_away,0.000249,positive,SD
closer_available_away,-0.00012,negative,SD
sp_xwoba_away,5.3e-05,positive,SD
bullpen_whip_10g_home,4e-06,positive,SD
is_home,0.0,negative,SD
rest_days_diff,0.0,negative,SD
travel_fatigue_diff,0.0,negative,SD
closer_availability_diff,0.0,negative,SD
dome_is_neutral,0.0,negative,SD
team_barrel_15g_away,0.0,negative,SD
exp2_cat_xwoba_offspeed_diff,0.0,negative,SD
closer_available_home,0.0,negative,SD
