feature,shap_value,signed_effect,perspective_team
away_team_id,-0.27214,negative,AZ
home_team_id,0.027671,positive,AZ
sp_era_home,0.017962,positive,AZ
sp_era_5g_diff,0.017888,positive,AZ
bullpen_whip_3g_home,0.017644,positive,AZ
sp_k9_away,0.014596,positive,AZ
lineup_handedness_matchup_advantage,-0.013929,negative,AZ
bullpen_whip_diff,0.011912,positive,AZ
sp_xwoba_home,0.011851,positive,AZ
wind_advantage_flyball_factor,0.011566,positive,AZ
team_hardhit_diff,-0.011174,negative,AZ
bullpen_meltdown_risk,0.010464,positive,AZ
air_density_velocity_boost,0.010389,positive,AZ
home_win_pct,-0.008932,negative,AZ
team_exitvelo_diff,-0.008759,negative,AZ
home_elo,-0.008534,negative,AZ
bullpen_whip_3g_away,-0.008166,negative,AZ
bullpen_pitches_diff,-0.005838,negative,AZ
away_win_pct,-0.005366,negative,AZ
sp_fbvelo_diff,0.004615,positive,AZ
team_exitvelo_15g_home,-0.004533,negative,AZ
lineup_woba_mean_diff,0.004399,positive,AZ
exp2_cat_xwoba_fastball_diff,0.003968,positive,AZ
sp_k9_home,-0.003922,negative,AZ
win_pct_diff,0.002828,positive,AZ
lineup_woba_mean_home,0.00273,positive,AZ
pitcher_regression_indicator,0.002355,positive,AZ
bullpen_whip_3g_diff,0.002086,positive,AZ
woba_30g_diff,-0.002077,negative,AZ
exp2_cat_k_breaking_diff,0.001889,positive,AZ
away_elo,-0.00185,negative,AZ
elo_diff,-0.001829,negative,AZ
sp_xwoba_away,0.00176,positive,AZ
exp2_cat_platoon_k_fastball_diff,-0.00155,negative,AZ
park_factor_slug_diff,0.001393,positive,AZ
ace_efficiency_factor,-0.001381,negative,AZ
lineup_depth_multiplier,0.001265,positive,AZ
lineup_woba_top3_diff,0.001248,positive,AZ
exp2_cat_k_fastball_diff,0.001243,positive,AZ
lineup_woba_mean_away,0.001212,positive,AZ
sp_era_diff,0.001118,positive,AZ
woba_30g_away,-0.001013,negative,AZ
lineup_woba_top3_home,-0.000908,negative,AZ
exp2_centered_k_diff,-0.000885,negative,AZ
exp2_cat_k_offspeed_diff,-0.00081,negative,AZ
woba_30g_home,-0.000694,negative,AZ
team_barrel_15g_home,-0.000592,negative,AZ
team_barrel_diff,0.000555,positive,AZ
team_exitvelo_15g_away,0.000497,positive,AZ
exp2_cat_xwoba_breaking_diff,-0.000473,negative,AZ
exp2_cat_xwoba_offspeed_diff,-0.00038,negative,AZ
bullpen_whip_10g_home,-0.000281,negative,AZ
bullpen_whip_10g_away,-0.000239,negative,AZ
lineup_woba_std_diff,0.000217,positive,AZ
closer_available_away,-0.00012,negative,AZ
sp_era_away,6e-06,positive,AZ
is_home,0.0,negative,AZ
rest_days_diff,0.0,negative,AZ
travel_fatigue_diff,0.0,negative,AZ
closer_availability_diff,0.0,negative,AZ
dome_is_neutral,0.0,negative,AZ
lineup_woba_top3_away,0.0,negative,AZ
team_barrel_15g_away,0.0,negative,AZ
closer_available_home,0.0,negative,AZ
