feature,shap_value,signed_effect,perspective_team
away_team_id,0.134244,positive,PHI
sp_era_home,0.049206,positive,PHI
sp_era_5g_diff,0.040133,positive,PHI
home_team_id,-0.039238,negative,PHI
wind_advantage_flyball_factor,0.036422,positive,PHI
bullpen_whip_3g_home,-0.025255,negative,PHI
sp_k9_away,0.024426,positive,PHI
bullpen_whip_3g_away,0.015817,positive,PHI
sp_xwoba_away,0.015558,positive,PHI
team_exitvelo_diff,-0.010869,negative,PHI
home_elo,0.009996,positive,PHI
air_density_velocity_boost,-0.009701,negative,PHI
home_win_pct,0.009219,positive,PHI
lineup_handedness_matchup_advantage,0.008642,positive,PHI
sp_xwoba_home,-0.007814,negative,PHI
elo_diff,0.007525,positive,PHI
team_hardhit_diff,-0.007202,negative,PHI
team_exitvelo_15g_home,-0.006666,negative,PHI
sp_era_diff,0.006661,positive,PHI
team_exitvelo_15g_away,-0.006612,negative,PHI
woba_30g_home,-0.005528,negative,PHI
woba_30g_diff,-0.004362,negative,PHI
away_win_pct,0.004095,positive,PHI
sp_fbvelo_diff,-0.003819,negative,PHI
sp_k9_home,0.003501,positive,PHI
bullpen_pitches_diff,0.00284,positive,PHI
bullpen_meltdown_risk,-0.002585,negative,PHI
exp2_centered_k_diff,0.002563,positive,PHI
win_pct_diff,-0.002525,negative,PHI
lineup_depth_multiplier,-0.002525,negative,PHI
lineup_woba_mean_home,-0.002515,negative,PHI
exp2_cat_k_breaking_diff,0.002458,positive,PHI
lineup_woba_top3_home,0.002387,positive,PHI
exp2_cat_k_offspeed_diff,0.0021,positive,PHI
exp2_cat_k_fastball_diff,-0.002088,negative,PHI
exp2_cat_platoon_k_fastball_diff,0.00155,positive,PHI
ace_efficiency_factor,0.001379,positive,PHI
pitcher_regression_indicator,-0.001318,negative,PHI
exp2_cat_xwoba_breaking_diff,0.001315,positive,PHI
away_elo,-0.001246,negative,PHI
lineup_woba_mean_away,-0.001212,negative,PHI
team_barrel_diff,0.001148,positive,PHI
bullpen_whip_10g_away,-0.001031,negative,PHI
sp_era_away,-0.000835,negative,PHI
bullpen_whip_10g_home,-0.000826,negative,PHI
bullpen_whip_3g_diff,-0.000825,negative,PHI
lineup_woba_top3_diff,-0.000749,negative,PHI
woba_30g_away,-0.000561,negative,PHI
lineup_woba_std_diff,-0.000541,negative,PHI
exp2_cat_xwoba_fastball_diff,-0.000447,negative,PHI
lineup_woba_top3_away,-0.000395,negative,PHI
park_factor_slug_diff,-0.00037,negative,PHI
lineup_woba_mean_diff,-0.0002,negative,PHI
team_barrel_15g_home,0.000187,positive,PHI
closer_available_away,0.00012,positive,PHI
bullpen_whip_diff,2.1e-05,positive,PHI
is_home,-0.0,negative,PHI
rest_days_diff,-0.0,negative,PHI
travel_fatigue_diff,-0.0,negative,PHI
closer_availability_diff,-0.0,negative,PHI
dome_is_neutral,-0.0,negative,PHI
team_barrel_15g_away,-0.0,negative,PHI
exp2_cat_xwoba_offspeed_diff,-0.0,negative,PHI
closer_available_home,-0.0,negative,PHI
