feature,shap_value,signed_effect,perspective_team
home_team_id,0.286314,positive,SEA
away_team_id,-0.149096,negative,SEA
team_barrel_15g_home,-0.029588,negative,SEA
home_elo,0.027926,positive,SEA
sp_era_5g_diff,0.027773,positive,SEA
team_hardhit_diff,0.025056,positive,SEA
bullpen_whip_diff,0.020917,positive,SEA
bullpen_whip_3g_home,-0.019244,negative,SEA
win_pct_diff,0.016636,positive,SEA
sp_era_home,0.016629,positive,SEA
bullpen_whip_3g_diff,-0.014169,negative,SEA
sp_k9_home,-0.012374,negative,SEA
bullpen_pitches_diff,-0.012089,negative,SEA
bullpen_whip_10g_home,0.011303,positive,SEA
sp_xwoba_home,0.011275,positive,SEA
home_win_pct,0.010736,positive,SEA
sp_era_diff,0.009966,positive,SEA
sp_k9_away,-0.009558,negative,SEA
pitcher_regression_indicator,-0.009251,negative,SEA
air_density_velocity_boost,-0.008185,negative,SEA
bullpen_meltdown_risk,-0.007593,negative,SEA
sp_fbvelo_diff,-0.006496,negative,SEA
woba_30g_diff,-0.006312,negative,SEA
exp2_cat_platoon_k_fastball_diff,-0.006221,negative,SEA
lineup_depth_multiplier,-0.005842,negative,SEA
team_barrel_diff,-0.005667,negative,SEA
exp2_cat_xwoba_fastball_diff,-0.005606,negative,SEA
lineup_handedness_matchup_advantage,-0.005378,negative,SEA
away_win_pct,0.005343,positive,SEA
lineup_woba_std_diff,-0.004732,negative,SEA
away_elo,0.004655,positive,SEA
lineup_woba_top3_away,-0.00461,negative,SEA
lineup_woba_mean_away,0.004203,positive,SEA
team_exitvelo_15g_away,-0.004104,negative,SEA
lineup_woba_top3_diff,0.002958,positive,SEA
woba_30g_home,-0.002371,negative,SEA
exp2_cat_xwoba_offspeed_diff,-0.002314,negative,SEA
team_exitvelo_15g_home,-0.001671,negative,SEA
lineup_woba_top3_home,-0.001618,negative,SEA
exp2_cat_k_breaking_diff,0.001575,positive,SEA
exp2_centered_k_diff,-0.00146,negative,SEA
sp_era_away,0.001361,positive,SEA
exp2_cat_k_fastball_diff,-0.00131,negative,SEA
bullpen_whip_10g_away,-0.001229,negative,SEA
wind_advantage_flyball_factor,-0.000761,negative,SEA
elo_diff,0.000719,positive,SEA
team_exitvelo_diff,0.000653,positive,SEA
sp_xwoba_away,0.000634,positive,SEA
ace_efficiency_factor,0.000606,positive,SEA
exp2_cat_k_offspeed_diff,0.000469,positive,SEA
lineup_woba_mean_home,-0.000439,negative,SEA
team_barrel_15g_away,0.000427,positive,SEA
bullpen_whip_3g_away,0.000366,positive,SEA
woba_30g_away,-0.000205,negative,SEA
park_factor_slug_diff,0.000118,positive,SEA
is_home,-0.0,negative,SEA
rest_days_diff,-0.0,negative,SEA
lineup_woba_mean_diff,-0.0,negative,SEA
travel_fatigue_diff,-0.0,negative,SEA
closer_availability_diff,-0.0,negative,SEA
dome_is_neutral,-0.0,negative,SEA
exp2_cat_xwoba_breaking_diff,-0.0,negative,SEA
closer_available_home,-0.0,negative,SEA
closer_available_away,-0.0,negative,SEA
