feature,shap_value,signed_effect,perspective_team
home_team_id,0.274657,positive,LAD
away_team_id,0.130103,positive,LAD
team_exitvelo_15g_away,-0.114462,negative,LAD
elo_diff,0.033725,positive,LAD
home_elo,0.020457,positive,LAD
sp_k9_away,0.019425,positive,LAD
sp_era_home,-0.018169,negative,LAD
bullpen_whip_3g_home,0.01647,positive,LAD
team_exitvelo_diff,0.015674,positive,LAD
bullpen_meltdown_risk,0.014109,positive,LAD
win_pct_diff,0.013708,positive,LAD
wind_advantage_flyball_factor,0.009912,positive,LAD
sp_era_away,0.009875,positive,LAD
lineup_woba_mean_away,-0.009231,negative,LAD
sp_k9_home,-0.008687,negative,LAD
lineup_depth_multiplier,0.007858,positive,LAD
woba_30g_diff,0.007742,positive,LAD
sp_fbvelo_diff,-0.007232,negative,LAD
sp_xwoba_home,-0.007137,negative,LAD
lineup_woba_std_diff,0.006865,positive,LAD
home_win_pct,0.006732,positive,LAD
bullpen_whip_3g_away,-0.005742,negative,LAD
sp_era_diff,0.005714,positive,LAD
air_density_velocity_boost,0.005623,positive,LAD
away_win_pct,0.005616,positive,LAD
sp_era_5g_diff,-0.004055,negative,LAD
exp2_cat_k_breaking_diff,0.003841,positive,LAD
bullpen_pitches_diff,0.003788,positive,LAD
away_elo,-0.003711,negative,LAD
pitcher_regression_indicator,-0.003597,negative,LAD
lineup_woba_mean_home,0.003054,positive,LAD
woba_30g_away,0.0026,positive,LAD
team_hardhit_diff,-0.002539,negative,LAD
bullpen_whip_diff,-0.002171,negative,LAD
lineup_woba_top3_home,-0.001934,negative,LAD
woba_30g_home,0.001818,positive,LAD
park_factor_slug_diff,0.001753,positive,LAD
lineup_handedness_matchup_advantage,-0.001607,negative,LAD
exp2_cat_platoon_k_fastball_diff,-0.00155,negative,LAD
exp2_cat_k_fastball_diff,0.001484,positive,LAD
exp2_cat_k_offspeed_diff,-0.001471,negative,LAD
exp2_cat_xwoba_breaking_diff,-0.001315,negative,LAD
lineup_woba_mean_diff,0.001101,positive,LAD
team_exitvelo_15g_home,-0.000911,negative,LAD
bullpen_whip_3g_diff,0.000709,positive,LAD
bullpen_whip_10g_away,0.000606,positive,LAD
team_barrel_diff,0.000555,positive,LAD
exp2_cat_xwoba_offspeed_diff,-0.00038,negative,LAD
team_barrel_15g_home,0.000271,positive,LAD
ace_efficiency_factor,0.000257,positive,LAD
bullpen_whip_10g_home,-0.000206,negative,LAD
lineup_woba_top3_diff,-0.000199,negative,LAD
exp2_centered_k_diff,0.000131,positive,LAD
sp_xwoba_away,0.00012,positive,LAD
closer_available_away,-0.00012,negative,LAD
exp2_cat_xwoba_fastball_diff,8.9e-05,positive,LAD
is_home,0.0,negative,LAD
rest_days_diff,0.0,negative,LAD
travel_fatigue_diff,0.0,negative,LAD
closer_availability_diff,0.0,negative,LAD
dome_is_neutral,0.0,negative,LAD
lineup_woba_top3_away,0.0,negative,LAD
team_barrel_15g_away,0.0,negative,LAD
closer_available_home,0.0,negative,LAD
