feature,shap_value,signed_effect,perspective_team
home_team_id,-0.099099,negative,STL
away_team_id,0.087804,positive,STL
sp_era_5g_diff,0.020151,positive,STL
team_barrel_15g_home,-0.020099,negative,STL
bullpen_whip_3g_home,0.019497,positive,STL
bullpen_whip_3g_diff,0.016987,positive,STL
sp_xwoba_home,0.014473,positive,STL
elo_diff,-0.010938,negative,STL
exp2_cat_k_breaking_diff,-0.00927,negative,STL
sp_era_home,-0.008817,negative,STL
air_density_velocity_boost,0.008772,positive,STL
sp_era_diff,0.008746,positive,STL
team_barrel_diff,-0.00748,negative,STL
bullpen_whip_10g_home,-0.007177,negative,STL
sp_fbvelo_diff,0.007148,positive,STL
exp2_cat_platoon_k_fastball_diff,0.005583,positive,STL
lineup_woba_std_diff,0.005359,positive,STL
bullpen_meltdown_risk,0.005293,positive,STL
home_elo,-0.004959,negative,STL
lineup_woba_top3_away,0.004838,positive,STL
home_win_pct,0.00468,positive,STL
bullpen_pitches_diff,-0.0046,negative,STL
pitcher_regression_indicator,0.004434,positive,STL
away_win_pct,-0.004404,negative,STL
win_pct_diff,-0.004164,negative,STL
bullpen_whip_diff,0.003661,positive,STL
away_elo,-0.003372,negative,STL
lineup_depth_multiplier,0.003304,positive,STL
sp_xwoba_away,-0.002984,negative,STL
exp2_cat_xwoba_fastball_diff,0.002705,positive,STL
team_exitvelo_15g_away,0.00265,positive,STL
woba_30g_diff,0.002202,positive,STL
woba_30g_home,0.002117,positive,STL
exp2_centered_k_diff,0.001895,positive,STL
wind_advantage_flyball_factor,0.00179,positive,STL
sp_k9_away,0.001667,positive,STL
lineup_handedness_matchup_advantage,0.001481,positive,STL
team_barrel_15g_away,-0.001305,negative,STL
team_exitvelo_15g_home,-0.00104,negative,STL
sp_k9_home,-0.00092,negative,STL
woba_30g_away,0.000897,positive,STL
exp2_cat_k_offspeed_diff,-0.000889,negative,STL
bullpen_whip_10g_away,0.000782,positive,STL
team_exitvelo_diff,0.000668,positive,STL
ace_efficiency_factor,-0.000606,negative,STL
lineup_woba_mean_home,0.000439,positive,STL
exp2_cat_xwoba_offspeed_diff,-0.000383,negative,STL
team_hardhit_diff,0.000376,positive,STL
lineup_woba_mean_away,0.000348,positive,STL
lineup_woba_top3_home,0.000296,positive,STL
bullpen_whip_3g_away,-0.00024,negative,STL
lineup_woba_top3_diff,-0.000135,negative,STL
park_factor_slug_diff,-0.000118,negative,STL
exp2_cat_k_fastball_diff,-0.000107,negative,STL
sp_era_away,-8.1e-05,negative,STL
is_home,0.0,negative,STL
rest_days_diff,0.0,negative,STL
lineup_woba_mean_diff,0.0,negative,STL
travel_fatigue_diff,0.0,negative,STL
closer_availability_diff,0.0,negative,STL
dome_is_neutral,0.0,negative,STL
exp2_cat_xwoba_breaking_diff,0.0,negative,STL
closer_available_home,0.0,negative,STL
closer_available_away,0.0,negative,STL
