feature,shap_value,signed_effect,perspective_team
away_team_id,-0.177411,negative,SEA
home_team_id,0.164573,positive,SEA
sp_era_5g_diff,-0.035622,negative,SEA
bullpen_meltdown_risk,-0.032496,negative,SEA
bullpen_whip_10g_home,-0.031522,negative,SEA
bullpen_pitches_diff,-0.023196,negative,SEA
sp_fbvelo_diff,0.022954,positive,SEA
sp_k9_away,0.022025,positive,SEA
sp_era_home,0.021464,positive,SEA
exp2_cat_k_breaking_diff,0.020955,positive,SEA
bullpen_whip_3g_diff,0.02055,positive,SEA
bullpen_whip_3g_home,0.019829,positive,SEA
lineup_woba_mean_home,0.018783,positive,SEA
team_exitvelo_diff,0.017225,positive,SEA
team_exitvelo_15g_away,0.013719,positive,SEA
woba_30g_away,-0.012381,negative,SEA
home_elo,0.011942,positive,SEA
lineup_woba_mean_away,0.011919,positive,SEA
team_hardhit_diff,0.008632,positive,SEA
pitcher_regression_indicator,0.008441,positive,SEA
team_barrel_diff,-0.008393,negative,SEA
team_barrel_15g_away,-0.008348,negative,SEA
sp_xwoba_home,0.007906,positive,SEA
exp2_centered_k_diff,-0.00785,negative,SEA
exp2_cat_platoon_k_fastball_diff,-0.007768,negative,SEA
wind_advantage_flyball_factor,0.007545,positive,SEA
away_win_pct,-0.007231,negative,SEA
air_density_velocity_boost,0.006606,positive,SEA
exp2_cat_k_offspeed_diff,-0.005765,negative,SEA
home_win_pct,-0.005436,negative,SEA
sp_era_away,0.005424,positive,SEA
exp2_cat_xwoba_fastball_diff,-0.0054,negative,SEA
woba_30g_diff,0.004743,positive,SEA
away_elo,-0.004579,negative,SEA
lineup_woba_mean_diff,0.004191,positive,SEA
lineup_woba_top3_away,0.004069,positive,SEA
team_barrel_15g_home,-0.004008,negative,SEA
bullpen_whip_3g_away,-0.003657,negative,SEA
exp2_cat_k_fastball_diff,-0.002998,negative,SEA
team_exitvelo_15g_home,-0.00294,negative,SEA
sp_era_diff,0.002919,positive,SEA
ace_efficiency_factor,-0.002737,negative,SEA
woba_30g_home,-0.002091,negative,SEA
bullpen_whip_diff,0.00175,positive,SEA
lineup_handedness_matchup_advantage,-0.0015,negative,SEA
lineup_woba_top3_diff,-0.00148,negative,SEA
lineup_depth_multiplier,0.001438,positive,SEA
lineup_woba_std_diff,-0.001399,negative,SEA
sp_k9_home,-0.001044,negative,SEA
exp2_cat_xwoba_offspeed_diff,-0.001016,negative,SEA
travel_fatigue_diff,-0.00086,negative,SEA
lineup_woba_top3_home,0.000597,positive,SEA
bullpen_whip_10g_away,-0.000591,negative,SEA
win_pct_diff,0.000547,positive,SEA
park_factor_slug_diff,-0.000264,negative,SEA
sp_xwoba_away,0.000236,positive,SEA
closer_available_away,0.000159,positive,SEA
elo_diff,7e-05,positive,SEA
is_home,0.0,negative,SEA
rest_days_diff,0.0,negative,SEA
closer_availability_diff,0.0,negative,SEA
dome_is_neutral,0.0,negative,SEA
exp2_cat_xwoba_breaking_diff,0.0,negative,SEA
closer_available_home,0.0,negative,SEA
