feature,shap_value,signed_effect,perspective_team
home_team_id,0.309017,positive,LAD
away_team_id,-0.109641,negative,LAD
bullpen_meltdown_risk,-0.042217,negative,LAD
home_elo,0.026264,positive,LAD
lineup_woba_mean_home,-0.025759,negative,LAD
sp_k9_away,0.022552,positive,LAD
bullpen_whip_3g_diff,0.021437,positive,LAD
bullpen_whip_3g_home,0.019345,positive,LAD
woba_30g_away,0.014145,positive,LAD
bullpen_pitches_diff,-0.013507,negative,LAD
air_density_velocity_boost,0.011874,positive,LAD
home_win_pct,0.011392,positive,LAD
sp_era_home,0.011192,positive,LAD
lineup_woba_std_diff,0.009363,positive,LAD
woba_30g_diff,0.009181,positive,LAD
win_pct_diff,-0.00917,negative,LAD
team_barrel_diff,-0.008634,negative,LAD
exp2_cat_platoon_k_fastball_diff,-0.008317,negative,LAD
lineup_woba_top3_away,-0.008302,negative,LAD
team_barrel_15g_away,-0.008174,negative,LAD
team_exitvelo_15g_home,-0.007338,negative,LAD
woba_30g_home,0.007253,positive,LAD
exp2_cat_k_breaking_diff,-0.007183,negative,LAD
bullpen_whip_10g_home,0.007122,positive,LAD
sp_era_away,-0.006822,negative,LAD
lineup_woba_top3_diff,-0.006552,negative,LAD
sp_xwoba_home,-0.006487,negative,LAD
lineup_handedness_matchup_advantage,-0.00645,negative,LAD
away_win_pct,-0.00644,negative,LAD
sp_fbvelo_diff,0.006244,positive,LAD
away_elo,-0.006204,negative,LAD
wind_advantage_flyball_factor,0.006013,positive,LAD
exp2_centered_k_diff,-0.005461,negative,LAD
exp2_cat_k_offspeed_diff,-0.005238,negative,LAD
team_hardhit_diff,0.004793,positive,LAD
team_exitvelo_diff,-0.004406,negative,LAD
lineup_woba_mean_diff,0.004376,positive,LAD
sp_era_5g_diff,0.003573,positive,LAD
lineup_woba_mean_away,0.003169,positive,LAD
ace_efficiency_factor,-0.003161,negative,LAD
bullpen_whip_3g_away,0.002319,positive,LAD
sp_k9_home,0.002198,positive,LAD
sp_era_diff,0.001924,positive,LAD
exp2_cat_k_fastball_diff,-0.001724,negative,LAD
bullpen_whip_diff,0.001711,positive,LAD
lineup_depth_multiplier,-0.001437,negative,LAD
exp2_cat_xwoba_offspeed_diff,-0.001123,negative,LAD
pitcher_regression_indicator,0.000988,positive,LAD
travel_fatigue_diff,-0.00086,negative,LAD
park_factor_slug_diff,-0.000826,negative,LAD
exp2_cat_xwoba_fastball_diff,0.000825,positive,LAD
sp_xwoba_away,-0.000799,negative,LAD
team_exitvelo_15g_away,0.000797,positive,LAD
team_barrel_15g_home,-0.000678,negative,LAD
elo_diff,-0.000519,negative,LAD
closer_available_away,0.000194,positive,LAD
lineup_woba_top3_home,-0.000189,negative,LAD
bullpen_whip_10g_away,9.5e-05,positive,LAD
is_home,0.0,negative,LAD
rest_days_diff,0.0,negative,LAD
closer_availability_diff,0.0,negative,LAD
dome_is_neutral,0.0,negative,LAD
exp2_cat_xwoba_breaking_diff,0.0,negative,LAD
closer_available_home,0.0,negative,LAD
