feature,shap_value,signed_effect,perspective_team
home_team_id,-0.074875,negative,PIT
away_team_id,-0.043199,negative,PIT
exp2_cat_k_breaking_diff,-0.027152,negative,PIT
bullpen_whip_3g_diff,0.02477,positive,PIT
bullpen_meltdown_risk,-0.023268,negative,PIT
exp2_cat_platoon_k_fastball_diff,0.02109,positive,PIT
sp_era_5g_diff,-0.019935,negative,PIT
lineup_woba_mean_home,0.018713,positive,PIT
away_elo,0.018035,positive,PIT
home_elo,-0.017396,negative,PIT
bullpen_whip_3g_home,0.014279,positive,PIT
sp_era_home,0.010854,positive,PIT
bullpen_whip_diff,0.010587,positive,PIT
sp_era_diff,-0.010492,negative,PIT
sp_xwoba_away,-0.009996,negative,PIT
lineup_depth_multiplier,0.009769,positive,PIT
sp_k9_away,0.008819,positive,PIT
air_density_velocity_boost,0.008743,positive,PIT
win_pct_diff,-0.008607,negative,PIT
sp_fbvelo_diff,0.008166,positive,PIT
lineup_woba_top3_diff,-0.007833,negative,PIT
wind_advantage_flyball_factor,0.007766,positive,PIT
bullpen_pitches_diff,0.007744,positive,PIT
sp_k9_home,-0.007621,negative,PIT
pitcher_regression_indicator,0.007597,positive,PIT
lineup_handedness_matchup_advantage,-0.007586,negative,PIT
ace_efficiency_factor,0.006736,positive,PIT
exp2_cat_k_offspeed_diff,-0.006436,negative,PIT
lineup_woba_mean_away,0.006426,positive,PIT
team_barrel_diff,0.006369,positive,PIT
away_win_pct,-0.006257,negative,PIT
woba_30g_diff,0.005459,positive,PIT
home_win_pct,-0.005214,negative,PIT
bullpen_whip_3g_away,-0.004946,negative,PIT
exp2_centered_k_diff,-0.004306,negative,PIT
team_barrel_15g_away,-0.003799,negative,PIT
team_exitvelo_15g_home,-0.003256,negative,PIT
team_exitvelo_15g_away,0.003246,positive,PIT
team_hardhit_diff,0.003118,positive,PIT
sp_era_away,-0.002924,negative,PIT
bullpen_whip_10g_home,0.002887,positive,PIT
lineup_woba_std_diff,0.00288,positive,PIT
exp2_cat_k_fastball_diff,0.00286,positive,PIT
woba_30g_away,-0.002626,negative,PIT
travel_fatigue_diff,-0.002183,negative,PIT
team_exitvelo_diff,-0.002055,negative,PIT
lineup_woba_mean_diff,0.001897,positive,PIT
lineup_woba_top3_home,-0.001382,negative,PIT
exp2_cat_xwoba_fastball_diff,-0.001176,negative,PIT
woba_30g_home,0.001046,positive,PIT
park_factor_slug_diff,-0.000902,negative,PIT
lineup_woba_top3_away,0.000796,positive,PIT
bullpen_whip_10g_away,0.000648,positive,PIT
sp_xwoba_home,-0.000362,negative,PIT
elo_diff,-0.000356,negative,PIT
exp2_cat_xwoba_offspeed_diff,0.000336,positive,PIT
closer_available_away,0.000194,positive,PIT
team_barrel_15g_home,8.7e-05,positive,PIT
is_home,0.0,negative,PIT
rest_days_diff,0.0,negative,PIT
closer_availability_diff,0.0,negative,PIT
dome_is_neutral,0.0,negative,PIT
exp2_cat_xwoba_breaking_diff,0.0,negative,PIT
closer_available_home,0.0,negative,PIT
