feature,shap_value,signed_effect,perspective_team
home_team_id,0.16845,positive,NYY
team_exitvelo_15g_away,-0.105265,negative,NYY
away_team_id,-0.063509,negative,NYY
exp2_centered_k_diff,-0.047446,negative,NYY
sp_fbvelo_diff,-0.026732,negative,NYY
away_elo,0.026622,positive,NYY
team_exitvelo_diff,0.024102,positive,NYY
lineup_woba_mean_home,0.024013,positive,NYY
exp2_cat_xwoba_offspeed_diff,-0.023022,negative,NYY
sp_era_diff,0.02246,positive,NYY
bullpen_meltdown_risk,-0.021048,negative,NYY
bullpen_whip_3g_home,0.020161,positive,NYY
bullpen_whip_diff,-0.019606,negative,NYY
sp_xwoba_home,0.018305,positive,NYY
bullpen_whip_3g_diff,0.01613,positive,NYY
sp_era_5g_diff,0.015087,positive,NYY
lineup_woba_mean_away,0.014885,positive,NYY
exp2_cat_k_fastball_diff,0.013841,positive,NYY
sp_k9_away,0.013543,positive,NYY
team_barrel_diff,-0.012415,negative,NYY
home_win_pct,0.012098,positive,NYY
team_barrel_15g_away,0.011291,positive,NYY
away_win_pct,-0.010951,negative,NYY
home_elo,0.010794,positive,NYY
air_density_velocity_boost,0.010417,positive,NYY
lineup_woba_std_diff,0.010222,positive,NYY
sp_k9_home,-0.008584,negative,NYY
lineup_woba_top3_diff,-0.008335,negative,NYY
woba_30g_away,-0.007904,negative,NYY
sp_era_home,0.007876,positive,NYY
lineup_woba_top3_away,0.007618,positive,NYY
pitcher_regression_indicator,0.007419,positive,NYY
team_hardhit_diff,0.007113,positive,NYY
lineup_depth_multiplier,0.006909,positive,NYY
team_exitvelo_15g_home,0.006564,positive,NYY
exp2_cat_xwoba_fastball_diff,-0.006186,negative,NYY
sp_era_away,-0.005652,negative,NYY
wind_advantage_flyball_factor,0.005368,positive,NYY
exp2_cat_k_offspeed_diff,0.005216,positive,NYY
lineup_handedness_matchup_advantage,-0.004646,negative,NYY
exp2_cat_platoon_k_fastball_diff,-0.004559,negative,NYY
woba_30g_diff,0.004475,positive,NYY
woba_30g_home,0.003829,positive,NYY
sp_xwoba_away,0.003748,positive,NYY
bullpen_whip_3g_away,-0.003569,negative,NYY
lineup_woba_mean_diff,0.00321,positive,NYY
exp2_cat_k_breaking_diff,-0.002708,negative,NYY
ace_efficiency_factor,-0.002681,negative,NYY
elo_diff,-0.002228,negative,NYY
team_barrel_15g_home,0.002128,positive,NYY
lineup_woba_top3_home,0.001882,positive,NYY
bullpen_whip_10g_home,-0.001816,negative,NYY
win_pct_diff,0.001471,positive,NYY
bullpen_whip_10g_away,-0.001054,negative,NYY
travel_fatigue_diff,-0.00086,negative,NYY
bullpen_pitches_diff,-0.000753,negative,NYY
closer_available_away,0.00046,positive,NYY
park_factor_slug_diff,0.000242,positive,NYY
is_home,0.0,negative,NYY
rest_days_diff,0.0,negative,NYY
closer_availability_diff,0.0,negative,NYY
dome_is_neutral,0.0,negative,NYY
exp2_cat_xwoba_breaking_diff,0.0,negative,NYY
closer_available_home,0.0,negative,NYY
