feature,shap_value,signed_effect,perspective_team
away_team_id,0.110257,positive,DET
home_team_id,-0.050492,negative,DET
sp_fbvelo_diff,-0.035014,negative,DET
bullpen_meltdown_risk,-0.033559,negative,DET
exp2_cat_platoon_k_fastball_diff,0.030999,positive,DET
sp_era_home,0.026776,positive,DET
sp_era_5g_diff,0.025779,positive,DET
sp_k9_away,-0.01913,negative,DET
lineup_depth_multiplier,0.017967,positive,DET
sp_xwoba_home,-0.017529,negative,DET
away_elo,0.017291,positive,DET
exp2_cat_k_breaking_diff,-0.01655,negative,DET
lineup_woba_top3_home,0.016278,positive,DET
away_win_pct,-0.015204,negative,DET
bullpen_whip_10g_home,0.014843,positive,DET
bullpen_whip_3g_home,0.014485,positive,DET
bullpen_pitches_diff,0.012642,positive,DET
team_exitvelo_15g_home,-0.012108,negative,DET
bullpen_whip_3g_diff,0.011454,positive,DET
sp_era_diff,0.010767,positive,DET
team_barrel_diff,-0.009925,negative,DET
woba_30g_away,-0.008921,negative,DET
sp_era_away,0.008803,positive,DET
home_elo,0.007522,positive,DET
exp2_cat_k_offspeed_diff,-0.006193,negative,DET
team_hardhit_diff,0.006067,positive,DET
air_density_velocity_boost,0.005958,positive,DET
lineup_woba_top3_diff,-0.005932,negative,DET
team_barrel_15g_home,-0.005686,negative,DET
lineup_woba_top3_away,0.00552,positive,DET
lineup_handedness_matchup_advantage,-0.005501,negative,DET
home_win_pct,-0.00547,negative,DET
team_exitvelo_diff,-0.005417,negative,DET
lineup_woba_mean_home,-0.005224,negative,DET
bullpen_whip_3g_away,-0.005008,negative,DET
team_exitvelo_15g_away,0.005,positive,DET
exp2_centered_k_diff,-0.004701,negative,DET
ace_efficiency_factor,-0.00452,negative,DET
woba_30g_diff,0.004479,positive,DET
team_barrel_15g_away,-0.004148,negative,DET
lineup_woba_mean_diff,0.003746,positive,DET
lineup_woba_std_diff,0.003132,positive,DET
elo_diff,-0.00281,negative,DET
bullpen_whip_diff,0.002172,positive,DET
exp2_cat_xwoba_fastball_diff,0.002102,positive,DET
exp2_cat_k_fastball_diff,0.00208,positive,DET
sp_k9_home,-0.001758,negative,DET
exp2_cat_xwoba_offspeed_diff,-0.001619,negative,DET
win_pct_diff,-0.001415,negative,DET
woba_30g_home,-0.000963,negative,DET
travel_fatigue_diff,-0.00086,negative,DET
lineup_woba_mean_away,-0.000733,negative,DET
sp_xwoba_away,-0.000722,negative,DET
park_factor_slug_diff,-0.000377,negative,DET
bullpen_whip_10g_away,-0.000318,negative,DET
pitcher_regression_indicator,0.000212,positive,DET
closer_available_away,0.000194,positive,DET
wind_advantage_flyball_factor,-0.00019,negative,DET
is_home,0.0,negative,DET
rest_days_diff,0.0,negative,DET
closer_availability_diff,0.0,negative,DET
dome_is_neutral,0.0,negative,DET
exp2_cat_xwoba_breaking_diff,0.0,negative,DET
closer_available_home,0.0,negative,DET
