feature,shap_value,signed_effect,perspective_team
home_team_id,0.372084,positive,AZ
away_team_id,0.141281,positive,AZ
exp2_cat_k_breaking_diff,0.068938,positive,AZ
home_win_pct,-0.047816,negative,AZ
bullpen_whip_diff,0.042934,positive,AZ
team_exitvelo_15g_home,0.035398,positive,AZ
exp2_cat_k_fastball_diff,0.026937,positive,AZ
sp_era_5g_diff,0.02262,positive,AZ
bullpen_meltdown_risk,0.021005,positive,AZ
home_elo,0.020849,positive,AZ
woba_30g_away,0.018046,positive,AZ
exp2_centered_k_diff,0.017463,positive,AZ
sp_era_home,-0.016097,negative,AZ
bullpen_pitches_diff,0.01608,positive,AZ
sp_xwoba_home,0.013714,positive,AZ
lineup_woba_mean_home,-0.013703,negative,AZ
air_density_velocity_boost,0.013583,positive,AZ
away_win_pct,0.013273,positive,AZ
team_exitvelo_15g_away,-0.012302,negative,AZ
sp_fbvelo_diff,-0.011579,negative,AZ
lineup_depth_multiplier,-0.009574,negative,AZ
bullpen_whip_3g_away,0.009218,positive,AZ
elo_diff,0.008512,positive,AZ
sp_era_diff,-0.008371,negative,AZ
bullpen_whip_3g_diff,-0.007958,negative,AZ
exp2_cat_xwoba_offspeed_diff,-0.007855,negative,AZ
lineup_woba_top3_diff,0.007456,positive,AZ
lineup_woba_top3_away,0.007307,positive,AZ
exp2_cat_platoon_k_fastball_diff,-0.007251,negative,AZ
sp_xwoba_away,-0.006588,negative,AZ
ace_efficiency_factor,0.0063,positive,AZ
bullpen_whip_10g_away,0.006131,positive,AZ
sp_k9_away,-0.006017,negative,AZ
bullpen_whip_3g_home,-0.00525,negative,AZ
pitcher_regression_indicator,-0.005228,negative,AZ
away_elo,-0.004959,negative,AZ
lineup_woba_std_diff,-0.004435,negative,AZ
team_barrel_15g_home,0.004255,positive,AZ
woba_30g_diff,-0.003639,negative,AZ
sp_era_away,0.003501,positive,AZ
exp2_cat_xwoba_breaking_diff,0.003459,positive,AZ
exp2_cat_k_offspeed_diff,0.003132,positive,AZ
exp2_cat_xwoba_fastball_diff,0.003012,positive,AZ
lineup_woba_mean_diff,0.00266,positive,AZ
sp_k9_home,0.002562,positive,AZ
team_barrel_15g_away,-0.002452,negative,AZ
woba_30g_home,-0.00207,negative,AZ
bullpen_whip_10g_home,-0.002068,negative,AZ
lineup_woba_mean_away,0.001996,positive,AZ
team_exitvelo_diff,0.001788,positive,AZ
team_barrel_diff,0.001513,positive,AZ
wind_advantage_flyball_factor,0.001406,positive,AZ
team_hardhit_diff,-0.001241,negative,AZ
lineup_woba_top3_home,-0.001188,negative,AZ
win_pct_diff,0.000952,positive,AZ
park_factor_slug_diff,0.00082,positive,AZ
lineup_handedness_matchup_advantage,-0.000623,negative,AZ
is_home,-0.0,negative,AZ
rest_days_diff,-0.0,negative,AZ
travel_fatigue_diff,-0.0,negative,AZ
closer_availability_diff,-0.0,negative,AZ
dome_is_neutral,-0.0,negative,AZ
closer_available_home,-0.0,negative,AZ
closer_available_away,-0.0,negative,AZ
