feature,shap_value,signed_effect,perspective_team
away_team_id,0.422252,positive,KC
sp_era_5g_diff,-0.037417,negative,KC
bullpen_meltdown_risk,-0.030019,negative,KC
bullpen_whip_10g_home,-0.02357,negative,KC
home_team_id,0.023262,positive,KC
sp_era_home,-0.022855,negative,KC
bullpen_whip_3g_diff,0.022171,positive,KC
sp_k9_home,-0.018359,negative,KC
exp2_centered_k_diff,0.017057,positive,KC
sp_k9_away,0.016659,positive,KC
exp2_cat_xwoba_fastball_diff,0.014142,positive,KC
bullpen_whip_3g_home,0.013241,positive,KC
bullpen_whip_diff,0.012982,positive,KC
sp_fbvelo_diff,0.012535,positive,KC
away_win_pct,-0.012406,negative,KC
ace_efficiency_factor,-0.010196,negative,KC
lineup_depth_multiplier,0.010149,positive,KC
exp2_cat_k_offspeed_diff,-0.009699,negative,KC
sp_xwoba_away,-0.009155,negative,KC
lineup_woba_top3_diff,-0.008978,negative,KC
lineup_woba_std_diff,0.008837,positive,KC
woba_30g_diff,0.008649,positive,KC
sp_era_diff,-0.008212,negative,KC
air_density_velocity_boost,0.008087,positive,KC
lineup_woba_mean_home,0.008047,positive,KC
team_hardhit_diff,0.00777,positive,KC
team_exitvelo_15g_home,0.007271,positive,KC
away_elo,-0.007139,negative,KC
sp_xwoba_home,-0.006833,negative,KC
team_exitvelo_15g_away,0.006286,positive,KC
team_barrel_diff,0.006047,positive,KC
exp2_cat_k_breaking_diff,-0.00536,negative,KC
exp2_cat_platoon_k_fastball_diff,-0.005256,negative,KC
wind_advantage_flyball_factor,0.005132,positive,KC
team_exitvelo_diff,-0.004827,negative,KC
sp_era_away,-0.004595,negative,KC
woba_30g_away,-0.004459,negative,KC
bullpen_pitches_diff,-0.004259,negative,KC
pitcher_regression_indicator,0.004218,positive,KC
woba_30g_home,0.004077,positive,KC
lineup_handedness_matchup_advantage,-0.003948,negative,KC
home_elo,0.003762,positive,KC
lineup_woba_mean_diff,0.003195,positive,KC
park_factor_slug_diff,0.002819,positive,KC
lineup_woba_mean_away,0.002388,positive,KC
exp2_cat_xwoba_offspeed_diff,-0.002319,negative,KC
travel_fatigue_diff,-0.002183,negative,KC
exp2_cat_k_fastball_diff,0.002073,positive,KC
elo_diff,0.001738,positive,KC
team_barrel_15g_away,0.001561,positive,KC
team_barrel_15g_home,-0.00151,negative,KC
lineup_woba_top3_away,0.001069,positive,KC
home_win_pct,0.000985,positive,KC
bullpen_whip_3g_away,-0.000913,negative,KC
closer_available_away,0.000661,positive,KC
bullpen_whip_10g_away,-0.000318,negative,KC
lineup_woba_top3_home,0.000271,positive,KC
win_pct_diff,0.000235,positive,KC
is_home,0.0,negative,KC
rest_days_diff,0.0,negative,KC
closer_availability_diff,0.0,negative,KC
dome_is_neutral,0.0,negative,KC
exp2_cat_xwoba_breaking_diff,0.0,negative,KC
closer_available_home,0.0,negative,KC
