feature,shap_value,signed_effect,perspective_team
away_team_id,0.14931,positive,CLE
home_team_id,0.050079,positive,CLE
exp2_centered_k_diff,0.042774,positive,CLE
away_elo,-0.027627,negative,CLE
sp_era_home,-0.027316,negative,CLE
bullpen_whip_3g_diff,-0.025959,negative,CLE
sp_era_5g_diff,-0.025173,negative,CLE
exp2_cat_k_breaking_diff,-0.022717,negative,CLE
bullpen_whip_diff,0.020483,positive,CLE
team_exitvelo_15g_home,0.019122,positive,CLE
sp_k9_away,-0.016748,negative,CLE
away_win_pct,0.014606,positive,CLE
team_barrel_diff,0.014195,positive,CLE
bullpen_whip_3g_home,-0.013968,negative,CLE
home_elo,0.013638,positive,CLE
air_density_velocity_boost,-0.012758,negative,CLE
sp_xwoba_home,0.011633,positive,CLE
team_exitvelo_15g_away,-0.011165,negative,CLE
lineup_woba_top3_diff,0.010238,positive,CLE
lineup_woba_std_diff,-0.009543,negative,CLE
bullpen_meltdown_risk,0.009381,positive,CLE
lineup_handedness_matchup_advantage,-0.008047,negative,CLE
bullpen_whip_3g_away,0.007417,positive,CLE
team_barrel_15g_home,0.007396,positive,CLE
woba_30g_away,0.007289,positive,CLE
sp_fbvelo_diff,-0.006922,negative,CLE
team_exitvelo_diff,0.006591,positive,CLE
exp2_cat_xwoba_offspeed_diff,0.005963,positive,CLE
home_win_pct,0.005096,positive,CLE
lineup_woba_mean_away,-0.004778,negative,CLE
exp2_cat_k_offspeed_diff,0.004696,positive,CLE
pitcher_regression_indicator,-0.004627,negative,CLE
sp_k9_home,0.004163,positive,CLE
bullpen_pitches_diff,0.003324,positive,CLE
sp_xwoba_away,-0.003228,negative,CLE
bullpen_whip_10g_home,-0.00271,negative,CLE
bullpen_whip_10g_away,0.002658,positive,CLE
lineup_woba_mean_diff,-0.00218,negative,CLE
team_barrel_15g_away,-0.002097,negative,CLE
sp_era_diff,-0.002072,negative,CLE
woba_30g_home,-0.002045,negative,CLE
lineup_woba_top3_home,-0.001977,negative,CLE
sp_era_away,0.001963,positive,CLE
exp2_cat_xwoba_fastball_diff,0.001918,positive,CLE
lineup_woba_top3_away,0.001762,positive,CLE
woba_30g_diff,0.001676,positive,CLE
exp2_cat_xwoba_breaking_diff,0.001503,positive,CLE
exp2_cat_k_fastball_diff,-0.001195,negative,CLE
lineup_depth_multiplier,0.001171,positive,CLE
win_pct_diff,0.001144,positive,CLE
park_factor_slug_diff,0.001057,positive,CLE
ace_efficiency_factor,0.00105,positive,CLE
exp2_cat_platoon_k_fastball_diff,-0.000593,negative,CLE
team_hardhit_diff,-0.000384,negative,CLE
wind_advantage_flyball_factor,0.0003,positive,CLE
lineup_woba_mean_home,0.00024,positive,CLE
travel_fatigue_diff,-0.000146,negative,CLE
elo_diff,-8.6e-05,negative,CLE
is_home,-0.0,negative,CLE
rest_days_diff,-0.0,negative,CLE
closer_availability_diff,-0.0,negative,CLE
dome_is_neutral,-0.0,negative,CLE
closer_available_home,-0.0,negative,CLE
closer_available_away,-0.0,negative,CLE
