feature,shap_value,signed_effect,perspective_team
away_team_id,0.309702,positive,ATH
home_team_id,-0.305873,negative,ATH
away_elo,0.051037,positive,ATH
air_density_velocity_boost,-0.048579,negative,ATH
exp2_cat_xwoba_offspeed_diff,0.041429,positive,ATH
sp_era_home,-0.035492,negative,ATH
sp_fbvelo_diff,-0.033463,negative,ATH
sp_era_5g_diff,-0.033165,negative,ATH
away_win_pct,0.029222,positive,ATH
bullpen_whip_3g_diff,0.02291,positive,ATH
sp_era_diff,0.021585,positive,ATH
woba_30g_away,0.020569,positive,ATH
bullpen_meltdown_risk,-0.020324,negative,ATH
team_hardhit_diff,-0.017925,negative,ATH
team_barrel_diff,-0.015169,negative,ATH
exp2_centered_k_diff,0.015105,positive,ATH
sp_era_away,0.013816,positive,ATH
exp2_cat_platoon_k_fastball_diff,-0.013743,negative,ATH
ace_efficiency_factor,0.013512,positive,ATH
team_exitvelo_diff,-0.013334,negative,ATH
sp_k9_home,-0.01278,negative,ATH
team_exitvelo_15g_home,-0.012351,negative,ATH
sp_k9_away,0.011853,positive,ATH
team_exitvelo_15g_away,0.009394,positive,ATH
home_elo,0.00897,positive,ATH
win_pct_diff,0.008963,positive,ATH
bullpen_whip_3g_home,0.007582,positive,ATH
bullpen_pitches_diff,-0.005867,negative,ATH
sp_xwoba_away,-0.005744,negative,ATH
lineup_woba_top3_diff,-0.005516,negative,ATH
lineup_handedness_matchup_advantage,0.005435,positive,ATH
lineup_woba_mean_home,0.004816,positive,ATH
woba_30g_diff,0.004456,positive,ATH
home_win_pct,-0.004389,negative,ATH
exp2_cat_xwoba_breaking_diff,0.00431,positive,ATH
bullpen_whip_diff,0.004275,positive,ATH
pitcher_regression_indicator,0.004168,positive,ATH
sp_xwoba_home,-0.003793,negative,ATH
elo_diff,0.00368,positive,ATH
team_barrel_15g_home,0.003557,positive,ATH
exp2_cat_xwoba_fastball_diff,-0.003423,negative,ATH
lineup_depth_multiplier,-0.003343,negative,ATH
exp2_cat_k_offspeed_diff,-0.003242,negative,ATH
lineup_woba_std_diff,0.003061,positive,ATH
woba_30g_home,0.003018,positive,ATH
wind_advantage_flyball_factor,0.002963,positive,ATH
lineup_woba_top3_home,0.002822,positive,ATH
bullpen_whip_10g_away,0.002736,positive,ATH
bullpen_whip_10g_home,0.002544,positive,ATH
lineup_woba_mean_diff,0.002326,positive,ATH
lineup_woba_mean_away,-0.002234,negative,ATH
lineup_woba_top3_away,-0.002038,negative,ATH
exp2_cat_k_breaking_diff,0.001821,positive,ATH
exp2_cat_k_fastball_diff,0.001449,positive,ATH
bullpen_whip_3g_away,-0.001169,negative,ATH
park_factor_slug_diff,-0.001067,negative,ATH
team_barrel_15g_away,-0.000947,negative,ATH
travel_fatigue_diff,0.000146,positive,ATH
is_home,0.0,negative,ATH
rest_days_diff,0.0,negative,ATH
closer_availability_diff,0.0,negative,ATH
dome_is_neutral,0.0,negative,ATH
closer_available_home,0.0,negative,ATH
closer_available_away,0.0,negative,ATH
