feature,shap_value,signed_effect,perspective_team
home_team_id,0.10651,positive,TEX
team_exitvelo_15g_away,-0.032771,negative,TEX
bullpen_pitches_diff,0.031574,positive,TEX
sp_k9_away,-0.03075,negative,TEX
lineup_depth_multiplier,-0.029788,negative,TEX
team_exitvelo_diff,-0.026519,negative,TEX
bullpen_whip_3g_home,0.02622,positive,TEX
team_barrel_15g_away,0.01872,positive,TEX
bullpen_meltdown_risk,-0.018651,negative,TEX
lineup_woba_mean_home,0.018351,positive,TEX
away_win_pct,-0.017273,negative,TEX
sp_fbvelo_diff,0.014783,positive,TEX
bullpen_whip_3g_diff,0.013962,positive,TEX
sp_xwoba_home,-0.013411,negative,TEX
bullpen_whip_10g_home,0.012798,positive,TEX
away_team_id,0.011334,positive,TEX
exp2_centered_k_diff,-0.010302,negative,TEX
sp_k9_home,-0.008488,negative,TEX
team_barrel_diff,0.008277,positive,TEX
woba_30g_away,-0.007999,negative,TEX
woba_30g_diff,0.0077,positive,TEX
lineup_handedness_matchup_advantage,-0.007282,negative,TEX
air_density_velocity_boost,0.007164,positive,TEX
exp2_cat_k_offspeed_diff,-0.006932,negative,TEX
exp2_cat_k_breaking_diff,-0.006394,negative,TEX
home_elo,-0.006343,negative,TEX
away_elo,-0.00611,negative,TEX
sp_era_home,0.005609,positive,TEX
exp2_cat_platoon_k_fastball_diff,-0.00558,negative,TEX
sp_era_5g_diff,-0.005309,negative,TEX
sp_era_diff,-0.005038,negative,TEX
lineup_woba_top3_away,0.004996,positive,TEX
lineup_woba_top3_diff,0.00485,positive,TEX
bullpen_whip_diff,0.00446,positive,TEX
pitcher_regression_indicator,0.004393,positive,TEX
win_pct_diff,-0.004225,negative,TEX
sp_era_away,-0.003763,negative,TEX
lineup_woba_top3_home,-0.003423,negative,TEX
lineup_woba_mean_away,0.003339,positive,TEX
lineup_woba_mean_diff,-0.00331,negative,TEX
team_exitvelo_15g_home,-0.003196,negative,TEX
ace_efficiency_factor,-0.003168,negative,TEX
woba_30g_home,0.00285,positive,TEX
exp2_cat_xwoba_offspeed_diff,-0.002798,negative,TEX
park_factor_slug_diff,-0.002731,negative,TEX
exp2_cat_k_fastball_diff,-0.002546,negative,TEX
travel_fatigue_diff,-0.002183,negative,TEX
home_win_pct,-0.002051,negative,TEX
team_barrel_15g_home,0.002048,positive,TEX
wind_advantage_flyball_factor,0.00182,positive,TEX
team_hardhit_diff,0.001505,positive,TEX
exp2_cat_xwoba_fastball_diff,0.001185,positive,TEX
bullpen_whip_3g_away,0.001159,positive,TEX
lineup_woba_std_diff,-0.001089,negative,TEX
elo_diff,-0.000833,negative,TEX
closer_available_away,0.00046,positive,TEX
sp_xwoba_away,-0.000101,negative,TEX
bullpen_whip_10g_away,-2.9e-05,negative,TEX
is_home,0.0,negative,TEX
rest_days_diff,0.0,negative,TEX
closer_availability_diff,0.0,negative,TEX
dome_is_neutral,0.0,negative,TEX
exp2_cat_xwoba_breaking_diff,0.0,negative,TEX
closer_available_home,0.0,negative,TEX
