feature,shap_value,signed_effect,perspective_team
home_team_id,-0.107573,negative,BAL
away_elo,-0.040992,negative,BAL
sp_era_5g_diff,0.034395,positive,BAL
exp2_centered_k_diff,-0.030269,negative,BAL
bullpen_whip_diff,0.026384,positive,BAL
exp2_cat_k_breaking_diff,0.023563,positive,BAL
woba_30g_away,0.021571,positive,BAL
sp_xwoba_home,-0.020791,negative,BAL
bullpen_whip_3g_diff,0.019691,positive,BAL
woba_30g_diff,-0.017382,negative,BAL
lineup_woba_top3_home,-0.017345,negative,BAL
sp_k9_away,0.013424,positive,BAL
sp_era_home,-0.012272,negative,BAL
bullpen_meltdown_risk,0.012056,positive,BAL
team_barrel_15g_home,0.010311,positive,BAL
lineup_depth_multiplier,0.010049,positive,BAL
bullpen_whip_10g_away,0.00991,positive,BAL
air_density_velocity_boost,0.009727,positive,BAL
sp_fbvelo_diff,0.00966,positive,BAL
away_team_id,0.009232,positive,BAL
team_barrel_diff,0.00922,positive,BAL
sp_k9_home,0.008665,positive,BAL
sp_era_diff,0.008664,positive,BAL
lineup_woba_top3_away,-0.008535,negative,BAL
sp_era_away,-0.008532,negative,BAL
bullpen_whip_3g_home,0.007851,positive,BAL
team_exitvelo_15g_away,0.007666,positive,BAL
pitcher_regression_indicator,0.0076,positive,BAL
lineup_woba_mean_away,0.007402,positive,BAL
lineup_handedness_matchup_advantage,-0.006803,negative,BAL
exp2_cat_k_offspeed_diff,-0.00637,negative,BAL
wind_advantage_flyball_factor,-0.006137,negative,BAL
ace_efficiency_factor,-0.005814,negative,BAL
away_win_pct,-0.004997,negative,BAL
home_win_pct,-0.004805,negative,BAL
exp2_cat_xwoba_fastball_diff,-0.00457,negative,BAL
bullpen_whip_3g_away,-0.004542,negative,BAL
home_elo,0.004524,positive,BAL
bullpen_pitches_diff,-0.004253,negative,BAL
bullpen_whip_10g_home,-0.004189,negative,BAL
lineup_woba_mean_home,0.004005,positive,BAL
sp_xwoba_away,-0.003947,negative,BAL
exp2_cat_xwoba_offspeed_diff,-0.003699,negative,BAL
elo_diff,-0.003257,negative,BAL
lineup_woba_mean_diff,0.002703,positive,BAL
exp2_cat_platoon_k_fastball_diff,-0.002675,negative,BAL
lineup_woba_top3_diff,-0.002622,negative,BAL
exp2_cat_xwoba_breaking_diff,-0.002516,negative,BAL
exp2_cat_k_fastball_diff,0.002332,positive,BAL
team_exitvelo_diff,0.001987,positive,BAL
lineup_woba_std_diff,0.001683,positive,BAL
team_hardhit_diff,0.00128,positive,BAL
win_pct_diff,-0.001162,negative,BAL
team_exitvelo_15g_home,-0.001089,negative,BAL
park_factor_slug_diff,0.000486,positive,BAL
travel_fatigue_diff,-0.000262,negative,BAL
team_barrel_15g_away,-2.8e-05,negative,BAL
woba_30g_home,1.7e-05,positive,BAL
is_home,0.0,negative,BAL
rest_days_diff,0.0,negative,BAL
closer_availability_diff,0.0,negative,BAL
dome_is_neutral,0.0,negative,BAL
closer_available_home,0.0,negative,BAL
closer_available_away,0.0,negative,BAL
