feature,shap_value,signed_effect,perspective_team
sp_era_5g_diff,0.122513,positive,ATL
lineup_woba_top3_diff,0.105792,positive,ATL
home_team_id,0.100294,positive,ATL
exp2_centered_k_diff,0.054427,positive,ATL
lineup_woba_std_diff,-0.051897,negative,ATL
sp_xwoba_away,0.046976,positive,ATL
lineup_woba_top3_home,0.035873,positive,ATL
exp2_cat_k_breaking_diff,0.031988,positive,ATL
park_factor_slug_diff,-0.025402,negative,ATL
away_elo,-0.023678,negative,ATL
sp_k9_away,0.022464,positive,ATL
sp_era_away,0.020049,positive,ATL
exp2_cat_k_fastball_diff,-0.018407,negative,ATL
air_density_velocity_boost,0.015422,positive,ATL
bullpen_meltdown_risk,-0.015392,negative,ATL
sp_era_home,0.015358,positive,ATL
away_win_pct,-0.01517,negative,ATL
team_exitvelo_15g_home,-0.012662,negative,ATL
sp_k9_home,-0.011642,negative,ATL
pitcher_regression_indicator,-0.011555,negative,ATL
sp_era_diff,0.011471,positive,ATL
bullpen_whip_3g_diff,0.011444,positive,ATL
team_exitvelo_15g_away,0.011207,positive,ATL
exp2_cat_platoon_k_fastball_diff,-0.011094,negative,ATL
team_barrel_diff,0.009338,positive,ATL
bullpen_whip_10g_home,0.009062,positive,ATL
team_hardhit_diff,0.008745,positive,ATL
bullpen_whip_3g_home,0.008153,positive,ATL
sp_fbvelo_diff,0.007963,positive,ATL
elo_diff,0.007898,positive,ATL
lineup_woba_mean_diff,0.007634,positive,ATL
win_pct_diff,-0.007304,negative,ATL
bullpen_whip_diff,0.00679,positive,ATL
team_exitvelo_diff,-0.006511,negative,ATL
ace_efficiency_factor,-0.006263,negative,ATL
exp2_cat_xwoba_breaking_diff,0.005864,positive,ATL
lineup_woba_mean_home,-0.005602,negative,ATL
bullpen_whip_3g_away,-0.005301,negative,ATL
home_win_pct,0.005121,positive,ATL
sp_xwoba_home,0.004273,positive,ATL
lineup_woba_mean_away,0.003851,positive,ATL
wind_advantage_flyball_factor,0.003834,positive,ATL
exp2_cat_xwoba_offspeed_diff,0.003778,positive,ATL
woba_30g_diff,-0.003431,negative,ATL
home_elo,0.003369,positive,ATL
bullpen_pitches_diff,-0.003024,negative,ATL
away_team_id,-0.002802,negative,ATL
lineup_depth_multiplier,0.002542,positive,ATL
lineup_woba_top3_away,-0.002369,negative,ATL
exp2_cat_xwoba_fastball_diff,-0.002295,negative,ATL
exp2_cat_k_offspeed_diff,-0.002129,negative,ATL
bullpen_whip_10g_away,-0.001533,negative,ATL
team_barrel_15g_home,-0.001509,negative,ATL
woba_30g_home,0.001173,positive,ATL
team_barrel_15g_away,0.000673,positive,ATL
lineup_handedness_matchup_advantage,-0.000396,negative,ATL
woba_30g_away,8.6e-05,positive,ATL
is_home,0.0,negative,ATL
rest_days_diff,0.0,negative,ATL
travel_fatigue_diff,0.0,negative,ATL
closer_availability_diff,0.0,negative,ATL
dome_is_neutral,0.0,negative,ATL
closer_available_home,0.0,negative,ATL
closer_available_away,0.0,negative,ATL
