feature,shap_value,signed_effect,perspective_team
home_team_id,0.30369,positive,HOU
away_team_id,0.15005,positive,HOU
lineup_woba_mean_away,0.066393,positive,HOU
sp_era_5g_diff,0.041612,positive,HOU
sp_era_home,0.037627,positive,HOU
bullpen_whip_diff,0.030657,positive,HOU
win_pct_diff,-0.021523,negative,HOU
bullpen_pitches_diff,0.021385,positive,HOU
bullpen_meltdown_risk,0.019056,positive,HOU
team_exitvelo_15g_home,0.018741,positive,HOU
away_win_pct,0.017562,positive,HOU
sp_k9_away,-0.017001,negative,HOU
bullpen_whip_3g_diff,-0.015125,negative,HOU
wind_advantage_flyball_factor,0.012449,positive,HOU
exp2_centered_k_diff,-0.012307,negative,HOU
team_barrel_diff,-0.012177,negative,HOU
exp2_cat_k_breaking_diff,0.012037,positive,HOU
lineup_woba_top3_diff,0.011763,positive,HOU
lineup_depth_multiplier,-0.010722,negative,HOU
bullpen_whip_3g_home,-0.01061,negative,HOU
bullpen_whip_10g_home,0.010335,positive,HOU
exp2_cat_xwoba_offspeed_diff,0.009799,positive,HOU
sp_fbvelo_diff,-0.009659,negative,HOU
air_density_velocity_boost,-0.00889,negative,HOU
home_win_pct,0.008464,positive,HOU
team_exitvelo_diff,0.008217,positive,HOU
pitcher_regression_indicator,0.008089,positive,HOU
lineup_woba_std_diff,-0.007647,negative,HOU
woba_30g_away,0.007351,positive,HOU
ace_efficiency_factor,-0.006593,negative,HOU
elo_diff,0.006482,positive,HOU
home_elo,-0.006466,negative,HOU
bullpen_whip_3g_away,0.006188,positive,HOU
sp_xwoba_home,0.005551,positive,HOU
woba_30g_diff,0.00552,positive,HOU
team_exitvelo_15g_away,0.005318,positive,HOU
exp2_cat_platoon_k_fastball_diff,-0.004876,negative,HOU
lineup_woba_mean_home,-0.004807,negative,HOU
lineup_handedness_matchup_advantage,-0.004682,negative,HOU
exp2_cat_k_offspeed_diff,0.004409,positive,HOU
sp_k9_home,0.003799,positive,HOU
sp_xwoba_away,-0.003148,negative,HOU
sp_era_away,0.002841,positive,HOU
lineup_woba_top3_home,-0.002533,negative,HOU
bullpen_whip_10g_away,0.002368,positive,HOU
woba_30g_home,-0.002247,negative,HOU
away_elo,0.002245,positive,HOU
team_barrel_15g_away,-0.002224,negative,HOU
lineup_woba_mean_diff,0.001779,positive,HOU
exp2_cat_xwoba_breaking_diff,-0.001604,negative,HOU
exp2_cat_xwoba_fastball_diff,-0.00139,negative,HOU
park_factor_slug_diff,0.00105,positive,HOU
lineup_woba_top3_away,0.00097,positive,HOU
exp2_cat_k_fastball_diff,-0.000705,negative,HOU
team_barrel_15g_home,0.000693,positive,HOU
sp_era_diff,0.000504,positive,HOU
team_hardhit_diff,-0.000187,negative,HOU
travel_fatigue_diff,-0.000146,negative,HOU
is_home,-0.0,negative,HOU
rest_days_diff,-0.0,negative,HOU
closer_availability_diff,-0.0,negative,HOU
dome_is_neutral,-0.0,negative,HOU
closer_available_home,-0.0,negative,HOU
closer_available_away,-0.0,negative,HOU
