feature,shap_value,signed_effect,perspective_team
away_team_id,0.321733,positive,SEA
home_team_id,0.161017,positive,SEA
away_elo,0.041001,positive,SEA
sp_xwoba_home,0.03781,positive,SEA
away_win_pct,0.036422,positive,SEA
team_exitvelo_diff,0.030538,positive,SEA
lineup_depth_multiplier,-0.025783,negative,SEA
bullpen_whip_10g_home,-0.024914,negative,SEA
exp2_centered_k_diff,0.023878,positive,SEA
sp_k9_away,0.02359,positive,SEA
home_elo,0.019614,positive,SEA
woba_30g_away,0.016987,positive,SEA
exp2_cat_k_breaking_diff,0.016825,positive,SEA
exp2_cat_xwoba_offspeed_diff,0.015246,positive,SEA
bullpen_whip_3g_diff,0.014979,positive,SEA
team_barrel_diff,-0.013121,negative,SEA
air_density_velocity_boost,0.011528,positive,SEA
lineup_woba_top3_away,-0.010755,negative,SEA
sp_era_diff,0.010587,positive,SEA
lineup_woba_top3_home,0.010426,positive,SEA
bullpen_whip_diff,-0.009374,negative,SEA
bullpen_meltdown_risk,-0.009094,negative,SEA
bullpen_whip_3g_home,0.008418,positive,SEA
lineup_woba_top3_diff,0.008348,positive,SEA
wind_advantage_flyball_factor,-0.007936,negative,SEA
team_barrel_15g_home,-0.007804,negative,SEA
lineup_handedness_matchup_advantage,-0.007764,negative,SEA
sp_era_5g_diff,0.00742,positive,SEA
win_pct_diff,-0.007392,negative,SEA
team_exitvelo_15g_away,0.007029,positive,SEA
home_win_pct,-0.006718,negative,SEA
sp_era_home,0.00669,positive,SEA
lineup_woba_mean_away,0.006454,positive,SEA
bullpen_whip_10g_away,0.005904,positive,SEA
ace_efficiency_factor,-0.005322,negative,SEA
sp_k9_home,-0.005222,negative,SEA
exp2_cat_k_offspeed_diff,-0.005161,negative,SEA
sp_fbvelo_diff,0.004909,positive,SEA
team_exitvelo_15g_home,0.004752,positive,SEA
pitcher_regression_indicator,0.004726,positive,SEA
lineup_woba_mean_home,0.004604,positive,SEA
woba_30g_diff,0.004456,positive,SEA
team_hardhit_diff,0.004265,positive,SEA
bullpen_pitches_diff,-0.003984,negative,SEA
exp2_cat_platoon_k_fastball_diff,-0.003743,negative,SEA
sp_era_away,-0.003655,negative,SEA
elo_diff,-0.003339,negative,SEA
team_barrel_15g_away,-0.003332,negative,SEA
sp_xwoba_away,-0.002891,negative,SEA
bullpen_whip_3g_away,-0.002623,negative,SEA
woba_30g_home,0.002045,positive,SEA
exp2_cat_xwoba_fastball_diff,-0.001288,negative,SEA
exp2_cat_k_fastball_diff,-0.001144,negative,SEA
lineup_woba_std_diff,-0.00113,negative,SEA
park_factor_slug_diff,-0.000692,negative,SEA
lineup_woba_mean_diff,-0.000576,negative,SEA
travel_fatigue_diff,0.000146,positive,SEA
exp2_cat_xwoba_breaking_diff,-0.000121,negative,SEA
is_home,0.0,negative,SEA
rest_days_diff,0.0,negative,SEA
closer_availability_diff,0.0,negative,SEA
dome_is_neutral,0.0,negative,SEA
closer_available_home,0.0,negative,SEA
closer_available_away,0.0,negative,SEA
