feature,shap_value,signed_effect,perspective_team
home_team_id,0.163967,positive,CHC
away_team_id,0.0773,positive,CHC
exp2_cat_k_breaking_diff,-0.039346,negative,CHC
exp2_centered_k_diff,0.030789,positive,CHC
sp_era_5g_diff,-0.030055,negative,CHC
sp_fbvelo_diff,-0.026843,negative,CHC
sp_k9_home,-0.025402,negative,CHC
bullpen_pitches_diff,-0.02435,negative,CHC
lineup_woba_top3_home,-0.018974,negative,CHC
sp_xwoba_home,-0.018431,negative,CHC
bullpen_whip_3g_diff,0.014523,positive,CHC
away_win_pct,-0.012931,negative,CHC
lineup_depth_multiplier,0.01237,positive,CHC
away_elo,-0.011826,negative,CHC
bullpen_whip_3g_home,0.01176,positive,CHC
sp_k9_away,0.010229,positive,CHC
lineup_woba_std_diff,0.010102,positive,CHC
bullpen_whip_3g_away,-0.009902,negative,CHC
lineup_woba_mean_home,0.009435,positive,CHC
team_barrel_15g_home,0.009229,positive,CHC
lineup_woba_top3_diff,-0.008989,negative,CHC
exp2_cat_platoon_k_fastball_diff,-0.008743,negative,CHC
lineup_woba_mean_away,0.008055,positive,CHC
team_barrel_15g_away,-0.007905,negative,CHC
air_density_velocity_boost,0.007503,positive,CHC
exp2_cat_xwoba_offspeed_diff,-0.007175,negative,CHC
team_barrel_diff,0.007089,positive,CHC
bullpen_whip_10g_home,0.006804,positive,CHC
bullpen_meltdown_risk,0.006641,positive,CHC
elo_diff,0.006029,positive,CHC
win_pct_diff,-0.005982,negative,CHC
team_exitvelo_15g_away,0.005895,positive,CHC
team_exitvelo_15g_home,0.005814,positive,CHC
exp2_cat_xwoba_breaking_diff,0.005332,positive,CHC
team_exitvelo_diff,-0.005042,negative,CHC
woba_30g_diff,0.00499,positive,CHC
pitcher_regression_indicator,0.004838,positive,CHC
home_elo,-0.004617,negative,CHC
exp2_cat_k_offspeed_diff,-0.004225,negative,CHC
team_hardhit_diff,0.003556,positive,CHC
wind_advantage_flyball_factor,0.00334,positive,CHC
lineup_woba_mean_diff,0.003105,positive,CHC
sp_era_away,0.002732,positive,CHC
exp2_cat_xwoba_fastball_diff,-0.002224,negative,CHC
home_win_pct,-0.002041,negative,CHC
lineup_handedness_matchup_advantage,0.001942,positive,CHC
woba_30g_home,0.001824,positive,CHC
sp_xwoba_away,-0.001736,negative,CHC
bullpen_whip_10g_away,0.001691,positive,CHC
sp_era_home,-0.00161,negative,CHC
lineup_woba_top3_away,-0.001592,negative,CHC
park_factor_slug_diff,-0.001067,negative,CHC
sp_era_diff,0.00104,positive,CHC
exp2_cat_k_fastball_diff,0.00082,positive,CHC
woba_30g_away,0.000713,positive,CHC
bullpen_whip_diff,0.000174,positive,CHC
travel_fatigue_diff,0.000146,positive,CHC
ace_efficiency_factor,-0.000129,negative,CHC
is_home,0.0,negative,CHC
rest_days_diff,0.0,negative,CHC
closer_availability_diff,0.0,negative,CHC
dome_is_neutral,0.0,negative,CHC
closer_available_home,0.0,negative,CHC
closer_available_away,0.0,negative,CHC
