feature,shap_value,signed_effect,perspective_team
away_team_id,-0.261838,negative,PHI
home_team_id,0.244604,positive,PHI
bullpen_whip_10g_home,-0.051014,negative,PHI
away_elo,0.048798,positive,PHI
sp_era_5g_diff,0.026362,positive,PHI
sp_era_home,-0.023061,negative,PHI
exp2_centered_k_diff,0.021161,positive,PHI
sp_k9_home,-0.017697,negative,PHI
bullpen_whip_3g_diff,0.0171,positive,PHI
bullpen_whip_diff,-0.016811,negative,PHI
team_barrel_15g_away,0.016802,positive,PHI
bullpen_meltdown_risk,-0.016461,negative,PHI
bullpen_pitches_diff,-0.016402,negative,PHI
sp_k9_away,0.015334,positive,PHI
air_density_velocity_boost,0.01288,positive,PHI
lineup_woba_top3_away,-0.01285,negative,PHI
lineup_woba_mean_away,0.012561,positive,PHI
woba_30g_away,0.01182,positive,PHI
exp2_cat_xwoba_offspeed_diff,-0.011066,negative,PHI
team_barrel_diff,0.010161,positive,PHI
exp2_cat_platoon_k_fastball_diff,-0.009691,negative,PHI
elo_diff,-0.009684,negative,PHI
lineup_woba_mean_home,0.009674,positive,PHI
ace_efficiency_factor,-0.008573,negative,PHI
team_exitvelo_15g_away,0.008479,positive,PHI
team_exitvelo_diff,-0.008353,negative,PHI
lineup_woba_std_diff,-0.006864,negative,PHI
exp2_cat_xwoba_fastball_diff,-0.006772,negative,PHI
lineup_woba_top3_diff,-0.006691,negative,PHI
pitcher_regression_indicator,-0.006261,negative,PHI
away_win_pct,0.005923,positive,PHI
bullpen_whip_3g_away,-0.005614,negative,PHI
sp_era_diff,-0.005461,negative,PHI
lineup_depth_multiplier,0.005361,positive,PHI
home_win_pct,0.005173,positive,PHI
sp_xwoba_home,0.004851,positive,PHI
park_factor_slug_diff,-0.004765,negative,PHI
wind_advantage_flyball_factor,-0.004682,negative,PHI
bullpen_whip_10g_away,-0.00436,negative,PHI
lineup_woba_top3_home,-0.004172,negative,PHI
team_hardhit_diff,0.003811,positive,PHI
sp_xwoba_away,-0.003398,negative,PHI
home_elo,-0.002923,negative,PHI
woba_30g_home,0.002409,positive,PHI
exp2_cat_k_offspeed_diff,-0.002129,negative,PHI
exp2_cat_k_fastball_diff,-0.00198,negative,PHI
exp2_cat_k_breaking_diff,0.001954,positive,PHI
sp_fbvelo_diff,0.001897,positive,PHI
win_pct_diff,-0.001846,negative,PHI
lineup_woba_mean_diff,0.001804,positive,PHI
exp2_cat_xwoba_breaking_diff,-0.001729,negative,PHI
woba_30g_diff,-0.00169,negative,PHI
team_barrel_15g_home,-0.001372,negative,PHI
sp_era_away,-0.000825,negative,PHI
bullpen_whip_3g_home,-0.000684,negative,PHI
lineup_handedness_matchup_advantage,-0.000566,negative,PHI
team_exitvelo_15g_home,0.000457,positive,PHI
is_home,0.0,negative,PHI
rest_days_diff,0.0,negative,PHI
travel_fatigue_diff,0.0,negative,PHI
closer_availability_diff,0.0,negative,PHI
dome_is_neutral,0.0,negative,PHI
closer_available_home,0.0,negative,PHI
closer_available_away,0.0,negative,PHI
