feature,shap_value,signed_effect,perspective_team
home_team_id,0.158916,positive,NYY
away_team_id,-0.115002,negative,NYY
sp_k9_home,0.062692,positive,NYY
sp_era_5g_diff,0.032221,positive,NYY
exp2_cat_platoon_k_fastball_diff,0.029891,positive,NYY
exp2_centered_k_diff,0.026294,positive,NYY
air_density_velocity_boost,0.023101,positive,NYY
bullpen_whip_3g_home,0.022871,positive,NYY
sp_fbvelo_diff,-0.022862,negative,NYY
team_barrel_diff,-0.02286,negative,NYY
bullpen_whip_3g_diff,0.021857,positive,NYY
home_elo,0.021693,positive,NYY
lineup_depth_multiplier,-0.019956,negative,NYY
bullpen_meltdown_risk,-0.019546,negative,NYY
sp_k9_away,0.018472,positive,NYY
win_pct_diff,-0.018193,negative,NYY
woba_30g_home,0.015521,positive,NYY
elo_diff,-0.014488,negative,NYY
ace_efficiency_factor,0.014234,positive,NYY
away_win_pct,-0.012241,negative,NYY
away_elo,-0.012201,negative,NYY
sp_era_home,0.01188,positive,NYY
sp_xwoba_home,-0.011878,negative,NYY
team_exitvelo_15g_away,0.011784,positive,NYY
sp_era_diff,0.010661,positive,NYY
woba_30g_away,-0.010256,negative,NYY
team_barrel_15g_away,-0.010143,negative,NYY
lineup_handedness_matchup_advantage,0.009241,positive,NYY
bullpen_pitches_diff,-0.008358,negative,NYY
team_exitvelo_15g_home,-0.008345,negative,NYY
exp2_cat_xwoba_breaking_diff,-0.008141,negative,NYY
lineup_woba_top3_away,-0.007828,negative,NYY
sp_xwoba_away,0.007689,positive,NYY
lineup_woba_std_diff,0.007173,positive,NYY
exp2_cat_k_offspeed_diff,-0.006692,negative,NYY
team_barrel_15g_home,-0.006064,negative,NYY
wind_advantage_flyball_factor,-0.00606,negative,NYY
lineup_woba_top3_diff,-0.005816,negative,NYY
bullpen_whip_10g_home,0.005735,positive,NYY
sp_era_away,-0.005682,negative,NYY
exp2_cat_k_fastball_diff,0.005629,positive,NYY
bullpen_whip_diff,0.004349,positive,NYY
exp2_cat_k_breaking_diff,-0.004283,negative,NYY
exp2_cat_xwoba_offspeed_diff,-0.003853,negative,NYY
bullpen_whip_10g_away,0.003347,positive,NYY
lineup_woba_mean_away,-0.002446,negative,NYY
exp2_cat_xwoba_fastball_diff,-0.002015,negative,NYY
team_hardhit_diff,0.001962,positive,NYY
lineup_woba_top3_home,-0.001938,negative,NYY
woba_30g_diff,-0.001874,negative,NYY
park_factor_slug_diff,-0.001458,negative,NYY
travel_fatigue_diff,-0.001042,negative,NYY
team_exitvelo_diff,-0.001028,negative,NYY
bullpen_whip_3g_away,-0.00071,negative,NYY
lineup_woba_mean_home,0.00047,positive,NYY
lineup_woba_mean_diff,0.000442,positive,NYY
home_win_pct,0.00019,positive,NYY
pitcher_regression_indicator,-0.000181,negative,NYY
is_home,0.0,negative,NYY
rest_days_diff,0.0,negative,NYY
closer_availability_diff,0.0,negative,NYY
dome_is_neutral,0.0,negative,NYY
closer_available_home,0.0,negative,NYY
closer_available_away,0.0,negative,NYY
