feature,shap_value,signed_effect,perspective_team
home_team_id,-0.14736,negative,BAL
away_team_id,0.132831,positive,BAL
sp_era_5g_diff,0.101689,positive,BAL
sp_fbvelo_diff,0.034413,positive,BAL
lineup_depth_multiplier,0.03301,positive,BAL
sp_era_home,0.029827,positive,BAL
bullpen_whip_3g_home,-0.022484,negative,BAL
elo_diff,0.02016,positive,BAL
bullpen_whip_3g_diff,-0.018646,negative,BAL
bullpen_meltdown_risk,0.01762,positive,BAL
sp_k9_away,-0.016701,negative,BAL
team_barrel_diff,0.016329,positive,BAL
woba_30g_home,-0.01606,negative,BAL
win_pct_diff,0.016026,positive,BAL
sp_era_diff,0.014615,positive,BAL
exp2_cat_platoon_k_fastball_diff,-0.014132,negative,BAL
home_elo,-0.013178,negative,BAL
away_elo,0.01234,positive,BAL
away_win_pct,0.012241,positive,BAL
exp2_centered_k_diff,-0.012141,negative,BAL
lineup_handedness_matchup_advantage,-0.011658,negative,BAL
team_barrel_15g_away,0.010512,positive,BAL
woba_30g_away,0.010074,positive,BAL
team_exitvelo_15g_away,-0.009709,negative,BAL
exp2_cat_k_breaking_diff,0.008856,positive,BAL
sp_xwoba_away,0.008299,positive,BAL
exp2_cat_xwoba_breaking_diff,0.007532,positive,BAL
air_density_velocity_boost,0.007524,positive,BAL
lineup_woba_top3_diff,0.006999,positive,BAL
lineup_woba_top3_away,0.006616,positive,BAL
sp_k9_home,-0.006305,negative,BAL
sp_era_away,0.006029,positive,BAL
bullpen_whip_10g_home,-0.005769,negative,BAL
home_win_pct,-0.004977,negative,BAL
bullpen_whip_10g_away,-0.004477,negative,BAL
team_barrel_15g_home,0.004461,positive,BAL
ace_efficiency_factor,-0.003793,negative,BAL
lineup_woba_mean_away,0.003424,positive,BAL
exp2_cat_xwoba_fastball_diff,0.003423,positive,BAL
bullpen_whip_diff,-0.003205,negative,BAL
team_exitvelo_15g_home,0.003152,positive,BAL
wind_advantage_flyball_factor,0.002928,positive,BAL
team_hardhit_diff,-0.002751,negative,BAL
exp2_cat_k_fastball_diff,0.002455,positive,BAL
park_factor_slug_diff,0.002277,positive,BAL
exp2_cat_k_offspeed_diff,0.002139,positive,BAL
lineup_woba_top3_home,0.001938,positive,BAL
sp_xwoba_home,0.001784,positive,BAL
lineup_woba_mean_home,0.001682,positive,BAL
pitcher_regression_indicator,0.001577,positive,BAL
lineup_woba_std_diff,-0.001288,negative,BAL
travel_fatigue_diff,0.001042,positive,BAL
bullpen_whip_3g_away,0.000958,positive,BAL
lineup_woba_mean_diff,-0.000819,negative,BAL
woba_30g_diff,0.000802,positive,BAL
bullpen_pitches_diff,0.000663,positive,BAL
exp2_cat_xwoba_offspeed_diff,0.000615,positive,BAL
team_exitvelo_diff,-0.000359,negative,BAL
is_home,-0.0,negative,BAL
rest_days_diff,-0.0,negative,BAL
closer_availability_diff,-0.0,negative,BAL
dome_is_neutral,-0.0,negative,BAL
closer_available_home,-0.0,negative,BAL
closer_available_away,-0.0,negative,BAL
