feature,shap_value,signed_effect,perspective_team
home_team_id,0.105631,positive,TOR
exp2_cat_k_breaking_diff,0.04701,positive,TOR
sp_xwoba_away,0.043908,positive,TOR
exp2_centered_k_diff,0.031507,positive,TOR
lineup_woba_std_diff,0.028453,positive,TOR
bullpen_meltdown_risk,0.02544,positive,TOR
away_team_id,-0.024699,negative,TOR
exp2_cat_xwoba_offspeed_diff,0.02218,positive,TOR
sp_k9_away,0.021985,positive,TOR
sp_fbvelo_diff,0.019182,positive,TOR
lineup_woba_top3_diff,-0.016586,negative,TOR
away_elo,-0.01531,negative,TOR
bullpen_whip_3g_diff,0.015263,positive,TOR
sp_era_5g_diff,0.01398,positive,TOR
team_exitvelo_15g_home,-0.013765,negative,TOR
air_density_velocity_boost,0.013657,positive,TOR
woba_30g_home,0.01263,positive,TOR
bullpen_pitches_diff,0.012614,positive,TOR
lineup_handedness_matchup_advantage,0.012401,positive,TOR
away_win_pct,-0.011183,negative,TOR
team_exitvelo_15g_away,0.010771,positive,TOR
sp_era_away,0.010723,positive,TOR
sp_era_home,0.010707,positive,TOR
home_elo,-0.010404,negative,TOR
bullpen_whip_3g_home,0.010181,positive,TOR
lineup_woba_mean_away,0.010065,positive,TOR
sp_era_diff,0.008795,positive,TOR
exp2_cat_xwoba_fastball_diff,0.008362,positive,TOR
sp_k9_home,-0.007945,negative,TOR
team_barrel_15g_home,-0.007243,negative,TOR
team_exitvelo_diff,-0.007188,negative,TOR
bullpen_whip_10g_away,-0.006362,negative,TOR
woba_30g_away,-0.006275,negative,TOR
lineup_woba_top3_home,0.005899,positive,TOR
ace_efficiency_factor,0.00542,positive,TOR
sp_xwoba_home,0.005023,positive,TOR
bullpen_whip_10g_home,0.004633,positive,TOR
team_hardhit_diff,0.004455,positive,TOR
lineup_woba_top3_away,-0.004328,negative,TOR
wind_advantage_flyball_factor,0.003786,positive,TOR
lineup_woba_mean_home,0.003711,positive,TOR
exp2_cat_k_offspeed_diff,-0.003585,negative,TOR
bullpen_whip_diff,0.003124,positive,TOR
pitcher_regression_indicator,-0.00293,negative,TOR
woba_30g_diff,0.002582,positive,TOR
exp2_cat_platoon_k_fastball_diff,-0.001984,negative,TOR
park_factor_slug_diff,-0.001816,negative,TOR
lineup_depth_multiplier,0.001662,positive,TOR
win_pct_diff,0.001466,positive,TOR
team_barrel_diff,0.001434,positive,TOR
team_barrel_15g_away,-0.001222,negative,TOR
exp2_cat_xwoba_breaking_diff,0.00029,positive,TOR
bullpen_whip_3g_away,0.000231,positive,TOR
lineup_woba_mean_diff,0.000197,positive,TOR
travel_fatigue_diff,-0.00013,negative,TOR
exp2_cat_k_fastball_diff,0.000122,positive,TOR
elo_diff,-5.7e-05,negative,TOR
home_win_pct,3.6e-05,positive,TOR
is_home,0.0,negative,TOR
rest_days_diff,0.0,negative,TOR
closer_availability_diff,0.0,negative,TOR
dome_is_neutral,0.0,negative,TOR
closer_available_home,0.0,negative,TOR
closer_available_away,0.0,negative,TOR
