feature,shap_value,signed_effect,perspective_team
away_team_id,0.444433,positive,CWS
home_team_id,-0.375328,negative,CWS
sp_era_5g_diff,0.076321,positive,CWS
exp2_cat_k_breaking_diff,0.058397,positive,CWS
elo_diff,0.044146,positive,CWS
bullpen_whip_diff,-0.042001,negative,CWS
bullpen_pitches_diff,0.032668,positive,CWS
team_barrel_diff,-0.030861,negative,CWS
bullpen_meltdown_risk,0.029749,positive,CWS
sp_k9_away,0.027594,positive,CWS
away_elo,0.02382,positive,CWS
sp_era_home,0.023559,positive,CWS
bullpen_whip_3g_diff,0.020166,positive,CWS
away_win_pct,0.016936,positive,CWS
air_density_velocity_boost,0.015475,positive,CWS
exp2_centered_k_diff,-0.015183,negative,CWS
woba_30g_home,0.014495,positive,CWS
sp_xwoba_home,-0.014443,negative,CWS
team_exitvelo_diff,0.012515,positive,CWS
lineup_woba_mean_home,0.010893,positive,CWS
lineup_woba_mean_diff,0.009967,positive,CWS
bullpen_whip_3g_home,0.009851,positive,CWS
sp_k9_home,0.009392,positive,CWS
team_exitvelo_15g_away,0.009058,positive,CWS
sp_fbvelo_diff,0.009029,positive,CWS
lineup_depth_multiplier,0.008984,positive,CWS
sp_era_diff,0.008952,positive,CWS
exp2_cat_xwoba_fastball_diff,-0.008195,negative,CWS
home_elo,-0.008152,negative,CWS
exp2_cat_xwoba_offspeed_diff,-0.007775,negative,CWS
woba_30g_away,-0.007368,negative,CWS
bullpen_whip_10g_home,0.00696,positive,CWS
win_pct_diff,0.006503,positive,CWS
pitcher_regression_indicator,-0.006224,negative,CWS
bullpen_whip_10g_away,-0.005841,negative,CWS
team_barrel_15g_away,-0.005559,negative,CWS
team_hardhit_diff,0.005261,positive,CWS
ace_efficiency_factor,-0.005128,negative,CWS
team_barrel_15g_home,0.004818,positive,CWS
lineup_woba_top3_home,-0.004615,negative,CWS
lineup_woba_top3_away,-0.004171,negative,CWS
lineup_handedness_matchup_advantage,0.003839,positive,CWS
team_exitvelo_15g_home,0.00265,positive,CWS
exp2_cat_k_offspeed_diff,-0.002602,negative,CWS
sp_xwoba_away,0.002431,positive,CWS
exp2_cat_platoon_k_fastball_diff,0.002256,positive,CWS
lineup_woba_mean_away,-0.002229,negative,CWS
bullpen_whip_3g_away,-0.002177,negative,CWS
exp2_cat_k_fastball_diff,-0.0021,negative,CWS
lineup_woba_std_diff,0.001989,positive,CWS
park_factor_slug_diff,-0.001376,negative,CWS
sp_era_away,0.001339,positive,CWS
travel_fatigue_diff,-0.00105,negative,CWS
home_win_pct,-0.000952,negative,CWS
lineup_woba_top3_diff,-0.000819,negative,CWS
woba_30g_diff,-0.000459,negative,CWS
exp2_cat_xwoba_breaking_diff,-0.000307,negative,CWS
wind_advantage_flyball_factor,-0.000282,negative,CWS
is_home,0.0,negative,CWS
rest_days_diff,0.0,negative,CWS
closer_availability_diff,0.0,negative,CWS
dome_is_neutral,0.0,negative,CWS
closer_available_home,0.0,negative,CWS
closer_available_away,0.0,negative,CWS
