feature,shap_value,signed_effect,perspective_team
away_team_id,0.15567,positive,DET
exp2_cat_xwoba_offspeed_diff,-0.042484,negative,DET
home_team_id,-0.041852,negative,DET
exp2_cat_k_breaking_diff,0.034202,positive,DET
bullpen_meltdown_risk,-0.026882,negative,DET
sp_era_5g_diff,0.026408,positive,DET
bullpen_whip_3g_diff,0.01868,positive,DET
bullpen_whip_diff,0.017892,positive,DET
bullpen_pitches_diff,0.016357,positive,DET
sp_fbvelo_diff,0.016005,positive,DET
win_pct_diff,-0.015927,negative,DET
sp_k9_away,0.015902,positive,DET
exp2_cat_xwoba_fastball_diff,-0.014045,negative,DET
away_win_pct,-0.012265,negative,DET
woba_30g_away,-0.011814,negative,DET
sp_xwoba_home,-0.011794,negative,DET
lineup_woba_mean_home,0.011603,positive,DET
home_elo,0.009662,positive,DET
bullpen_whip_3g_home,0.009583,positive,DET
elo_diff,0.008695,positive,DET
team_exitvelo_diff,-0.008398,negative,DET
team_barrel_15g_away,-0.00817,negative,DET
sp_era_home,0.007985,positive,DET
bullpen_whip_10g_home,0.007971,positive,DET
sp_era_away,0.007794,positive,DET
lineup_woba_std_diff,0.00762,positive,DET
lineup_handedness_matchup_advantage,0.007246,positive,DET
team_hardhit_diff,0.006568,positive,DET
air_density_velocity_boost,0.006476,positive,DET
team_exitvelo_15g_away,0.006003,positive,DET
lineup_woba_top3_home,-0.005647,negative,DET
sp_era_diff,0.005387,positive,DET
sp_xwoba_away,-0.005269,negative,DET
exp2_centered_k_diff,-0.005245,negative,DET
exp2_cat_k_offspeed_diff,-0.005196,negative,DET
lineup_woba_mean_away,-0.00496,negative,DET
away_elo,-0.004905,negative,DET
lineup_woba_top3_away,-0.004876,negative,DET
bullpen_whip_10g_away,-0.003859,negative,DET
sp_k9_home,-0.003664,negative,DET
lineup_woba_top3_diff,-0.003624,negative,DET
team_exitvelo_15g_home,0.003479,positive,DET
team_barrel_diff,-0.00292,negative,DET
pitcher_regression_indicator,0.002333,positive,DET
exp2_cat_xwoba_breaking_diff,0.002332,positive,DET
park_factor_slug_diff,-0.002106,negative,DET
team_barrel_15g_home,-0.00174,negative,DET
woba_30g_home,0.001607,positive,DET
home_win_pct,0.001351,positive,DET
wind_advantage_flyball_factor,0.000896,positive,DET
exp2_cat_platoon_k_fastball_diff,-0.000433,negative,DET
exp2_cat_k_fastball_diff,-0.000357,negative,DET
woba_30g_diff,-0.000348,negative,DET
lineup_woba_mean_diff,-0.000213,negative,DET
lineup_depth_multiplier,0.000199,positive,DET
travel_fatigue_diff,-0.00013,negative,DET
ace_efficiency_factor,8.9e-05,positive,DET
bullpen_whip_3g_away,8.1e-05,positive,DET
is_home,0.0,negative,DET
rest_days_diff,0.0,negative,DET
closer_availability_diff,0.0,negative,DET
dome_is_neutral,0.0,negative,DET
closer_available_home,0.0,negative,DET
closer_available_away,0.0,negative,DET
