feature,shap_value,signed_effect,perspective_team
home_team_id,0.317487,positive,MIL
sp_era_5g_diff,0.033029,positive,MIL
home_elo,-0.032159,negative,MIL
win_pct_diff,-0.032011,negative,MIL
bullpen_whip_3g_diff,0.025999,positive,MIL
lineup_woba_top3_diff,0.021738,positive,MIL
sp_k9_away,0.020599,positive,MIL
sp_fbvelo_diff,0.020505,positive,MIL
lineup_depth_multiplier,0.019948,positive,MIL
bullpen_pitches_diff,0.019822,positive,MIL
air_density_velocity_boost,0.018449,positive,MIL
woba_30g_home,-0.01803,negative,MIL
bullpen_meltdown_risk,-0.016326,negative,MIL
sp_xwoba_home,-0.016022,negative,MIL
lineup_woba_mean_away,0.015912,positive,MIL
lineup_handedness_matchup_advantage,-0.014603,negative,MIL
bullpen_whip_3g_home,0.014368,positive,MIL
team_exitvelo_diff,-0.014315,negative,MIL
elo_diff,0.013554,positive,MIL
sp_k9_home,-0.012397,negative,MIL
away_elo,-0.012311,negative,MIL
team_exitvelo_15g_home,-0.009392,negative,MIL
sp_era_home,0.008663,positive,MIL
bullpen_whip_10g_home,0.008509,positive,MIL
lineup_woba_mean_home,0.00844,positive,MIL
lineup_woba_mean_diff,0.0084,positive,MIL
sp_xwoba_away,0.008175,positive,MIL
lineup_woba_top3_away,0.007947,positive,MIL
team_barrel_15g_home,0.007699,positive,MIL
away_win_pct,-0.007371,negative,MIL
team_barrel_15g_away,0.007326,positive,MIL
exp2_centered_k_diff,-0.007044,negative,MIL
team_exitvelo_15g_away,0.006668,positive,MIL
exp2_cat_k_fastball_diff,-0.006228,negative,MIL
exp2_cat_xwoba_fastball_diff,-0.005741,negative,MIL
bullpen_whip_diff,0.004882,positive,MIL
lineup_woba_top3_home,-0.004497,negative,MIL
exp2_cat_k_breaking_diff,-0.004008,negative,MIL
team_hardhit_diff,0.004001,positive,MIL
away_team_id,0.003403,positive,MIL
home_win_pct,-0.003368,negative,MIL
exp2_cat_k_offspeed_diff,0.003256,positive,MIL
lineup_woba_std_diff,-0.002772,negative,MIL
exp2_cat_xwoba_breaking_diff,0.002653,positive,MIL
sp_era_away,-0.002225,negative,MIL
park_factor_slug_diff,0.002186,positive,MIL
bullpen_whip_3g_away,-0.002179,negative,MIL
team_barrel_diff,-0.002141,negative,MIL
woba_30g_diff,-0.001705,negative,MIL
woba_30g_away,-0.001249,negative,MIL
travel_fatigue_diff,-0.00105,negative,MIL
ace_efficiency_factor,0.001017,positive,MIL
bullpen_whip_10g_away,0.000827,positive,MIL
wind_advantage_flyball_factor,-0.000553,negative,MIL
exp2_cat_platoon_k_fastball_diff,-0.000438,negative,MIL
sp_era_diff,0.000274,positive,MIL
exp2_cat_xwoba_offspeed_diff,-0.000176,negative,MIL
pitcher_regression_indicator,-0.000112,negative,MIL
is_home,0.0,negative,MIL
rest_days_diff,0.0,negative,MIL
closer_availability_diff,0.0,negative,MIL
dome_is_neutral,0.0,negative,MIL
closer_available_home,0.0,negative,MIL
closer_available_away,0.0,negative,MIL
