feature,shap_value,signed_effect,perspective_team
home_team_id,0.2188,positive,PHI
team_exitvelo_15g_away,-0.132418,negative,PHI
exp2_cat_k_breaking_diff,-0.061676,negative,PHI
away_team_id,0.055164,positive,PHI
bullpen_whip_diff,-0.047726,negative,PHI
exp2_cat_xwoba_offspeed_diff,0.044868,positive,PHI
sp_era_5g_diff,-0.038988,negative,PHI
exp2_cat_k_offspeed_diff,0.036911,positive,PHI
lineup_depth_multiplier,-0.036455,negative,PHI
bullpen_meltdown_risk,-0.034425,negative,PHI
wind_advantage_flyball_factor,-0.030262,negative,PHI
team_exitvelo_diff,0.025646,positive,PHI
bullpen_whip_3g_diff,0.025203,positive,PHI
sp_era_home,0.023963,positive,PHI
sp_fbvelo_diff,0.023353,positive,PHI
bullpen_whip_3g_home,0.022981,positive,PHI
woba_30g_away,-0.021308,negative,PHI
team_barrel_15g_away,0.020169,positive,PHI
lineup_woba_top3_away,0.01953,positive,PHI
sp_k9_away,0.017763,positive,PHI
bullpen_whip_10g_home,-0.016197,negative,PHI
air_density_velocity_boost,0.015938,positive,PHI
bullpen_pitches_diff,-0.014282,negative,PHI
lineup_woba_mean_away,0.012184,positive,PHI
sp_era_away,0.011837,positive,PHI
sp_era_diff,0.011024,positive,PHI
home_elo,0.010646,positive,PHI
team_barrel_diff,-0.010527,negative,PHI
park_factor_slug_diff,-0.009804,negative,PHI
exp2_cat_k_fastball_diff,-0.00956,negative,PHI
lineup_woba_mean_diff,0.009388,positive,PHI
lineup_woba_std_diff,0.009038,positive,PHI
team_barrel_15g_home,-0.007291,negative,PHI
away_win_pct,0.006845,positive,PHI
sp_k9_home,0.006255,positive,PHI
exp2_cat_xwoba_fastball_diff,-0.006177,negative,PHI
sp_xwoba_home,0.005904,positive,PHI
exp2_cat_platoon_k_fastball_diff,-0.005832,negative,PHI
ace_efficiency_factor,-0.005392,negative,PHI
elo_diff,0.005057,positive,PHI
win_pct_diff,-0.004011,negative,PHI
exp2_cat_xwoba_breaking_diff,0.003848,positive,PHI
bullpen_whip_10g_away,-0.003476,negative,PHI
travel_fatigue_diff,-0.002832,negative,PHI
woba_30g_diff,0.00279,positive,PHI
sp_xwoba_away,0.00226,positive,PHI
lineup_woba_top3_diff,0.002081,positive,PHI
team_hardhit_diff,0.001977,positive,PHI
home_win_pct,-0.001975,negative,PHI
lineup_woba_top3_home,-0.001938,negative,PHI
exp2_centered_k_diff,-0.001666,negative,PHI
bullpen_whip_3g_away,-0.001624,negative,PHI
away_elo,-0.001569,negative,PHI
lineup_handedness_matchup_advantage,-0.001381,negative,PHI
lineup_woba_mean_home,0.001057,positive,PHI
pitcher_regression_indicator,0.001032,positive,PHI
team_exitvelo_15g_home,0.000816,positive,PHI
woba_30g_home,9.5e-05,positive,PHI
is_home,0.0,negative,PHI
rest_days_diff,0.0,negative,PHI
closer_availability_diff,0.0,negative,PHI
dome_is_neutral,0.0,negative,PHI
closer_available_home,0.0,negative,PHI
closer_available_away,0.0,negative,PHI
