feature,shap_value,signed_effect,perspective_team
home_team_id,-0.191328,negative,MIA
away_team_id,-0.069697,negative,MIA
lineup_depth_multiplier,-0.069197,negative,MIA
bullpen_meltdown_risk,0.03399,positive,MIA
bullpen_pitches_diff,0.01967,positive,MIA
bullpen_whip_3g_home,0.016813,positive,MIA
sp_fbvelo_diff,0.016199,positive,MIA
sp_k9_away,0.014322,positive,MIA
team_barrel_diff,0.013963,positive,MIA
woba_30g_home,0.013935,positive,MIA
team_exitvelo_15g_away,0.013408,positive,MIA
bullpen_whip_3g_diff,0.010748,positive,MIA
bullpen_whip_diff,0.009898,positive,MIA
exp2_cat_xwoba_fastball_diff,0.00952,positive,MIA
lineup_woba_std_diff,0.009061,positive,MIA
lineup_handedness_matchup_advantage,0.008634,positive,MIA
sp_era_home,-0.008285,negative,MIA
home_elo,-0.008188,negative,MIA
lineup_woba_top3_diff,-0.008137,negative,MIA
exp2_centered_k_diff,-0.007941,negative,MIA
pitcher_regression_indicator,-0.006279,negative,MIA
elo_diff,0.005982,positive,MIA
air_density_velocity_boost,-0.005962,negative,MIA
park_factor_slug_diff,0.005746,positive,MIA
lineup_woba_top3_away,0.005468,positive,MIA
bullpen_whip_10g_home,0.005336,positive,MIA
exp2_cat_xwoba_breaking_diff,-0.005134,negative,MIA
woba_30g_away,-0.004638,negative,MIA
lineup_woba_mean_away,-0.004481,negative,MIA
team_barrel_15g_away,0.004453,positive,MIA
sp_xwoba_home,-0.004421,negative,MIA
sp_era_diff,0.004029,positive,MIA
lineup_woba_mean_home,0.003978,positive,MIA
exp2_cat_k_offspeed_diff,-0.00375,negative,MIA
team_exitvelo_diff,0.003623,positive,MIA
exp2_cat_platoon_k_fastball_diff,-0.003467,negative,MIA
bullpen_whip_10g_away,-0.003352,negative,MIA
sp_era_5g_diff,-0.00298,negative,MIA
travel_fatigue_diff,-0.002832,negative,MIA
sp_xwoba_away,-0.002667,negative,MIA
wind_advantage_flyball_factor,0.002663,positive,MIA
bullpen_whip_3g_away,-0.002624,negative,MIA
team_exitvelo_15g_home,-0.002474,negative,MIA
ace_efficiency_factor,0.002392,positive,MIA
exp2_cat_xwoba_offspeed_diff,-0.00239,negative,MIA
win_pct_diff,-0.002329,negative,MIA
exp2_cat_k_fastball_diff,-0.002066,negative,MIA
woba_30g_diff,0.002043,positive,MIA
home_win_pct,0.001311,positive,MIA
sp_k9_home,0.001255,positive,MIA
lineup_woba_mean_diff,-0.001181,negative,MIA
team_hardhit_diff,0.000928,positive,MIA
exp2_cat_k_breaking_diff,-0.000818,negative,MIA
away_win_pct,-0.000754,negative,MIA
team_barrel_15g_home,-0.000751,negative,MIA
lineup_woba_top3_home,-0.000632,negative,MIA
away_elo,0.000187,positive,MIA
sp_era_away,-7.3e-05,negative,MIA
is_home,0.0,negative,MIA
rest_days_diff,0.0,negative,MIA
closer_availability_diff,0.0,negative,MIA
dome_is_neutral,0.0,negative,MIA
closer_available_home,0.0,negative,MIA
closer_available_away,0.0,negative,MIA
