feature,shap_value,signed_effect,perspective_team
away_team_id,-0.161622,negative,KC
sp_xwoba_home,0.039933,positive,KC
lineup_woba_top3_diff,0.032248,positive,KC
home_team_id,-0.028834,negative,KC
lineup_woba_top3_away,0.025398,positive,KC
sp_era_5g_diff,0.024858,positive,KC
bullpen_whip_10g_home,-0.021712,negative,KC
bullpen_meltdown_risk,0.021701,positive,KC
bullpen_whip_3g_diff,0.021666,positive,KC
exp2_centered_k_diff,-0.018756,negative,KC
bullpen_whip_diff,-0.018403,negative,KC
sp_k9_home,-0.018113,negative,KC
bullpen_whip_3g_home,0.017955,positive,KC
bullpen_pitches_diff,0.017611,positive,KC
sp_era_home,0.017067,positive,KC
away_win_pct,-0.014856,negative,KC
team_exitvelo_15g_away,0.014475,positive,KC
exp2_cat_xwoba_offspeed_diff,0.014196,positive,KC
woba_30g_home,0.012528,positive,KC
sp_fbvelo_diff,0.01186,positive,KC
air_density_velocity_boost,0.011391,positive,KC
lineup_woba_std_diff,0.010176,positive,KC
lineup_handedness_matchup_advantage,0.008576,positive,KC
lineup_woba_mean_away,0.007836,positive,KC
exp2_cat_xwoba_fastball_diff,-0.007551,negative,KC
exp2_cat_k_offspeed_diff,0.007076,positive,KC
woba_30g_away,-0.006446,negative,KC
bullpen_whip_10g_away,0.006224,positive,KC
sp_xwoba_away,0.006138,positive,KC
sp_k9_away,0.006049,positive,KC
lineup_woba_mean_diff,-0.005767,negative,KC
team_barrel_15g_home,-0.005328,negative,KC
sp_era_diff,0.004704,positive,KC
team_barrel_diff,-0.004237,negative,KC
wind_advantage_flyball_factor,0.003663,positive,KC
lineup_woba_top3_home,-0.003143,negative,KC
lineup_depth_multiplier,0.003036,positive,KC
travel_fatigue_diff,-0.002832,negative,KC
home_elo,0.002828,positive,KC
team_exitvelo_15g_home,-0.002607,negative,KC
exp2_cat_k_breaking_diff,0.002466,positive,KC
win_pct_diff,-0.002228,negative,KC
home_win_pct,-0.002168,negative,KC
woba_30g_diff,0.002161,positive,KC
sp_era_away,-0.001939,negative,KC
exp2_cat_xwoba_breaking_diff,-0.001698,negative,KC
team_hardhit_diff,0.001623,positive,KC
park_factor_slug_diff,0.001492,positive,KC
bullpen_whip_3g_away,-0.001382,negative,KC
exp2_cat_platoon_k_fastball_diff,-0.001286,negative,KC
team_exitvelo_diff,0.0011,positive,KC
lineup_woba_mean_home,0.000872,positive,KC
ace_efficiency_factor,-0.00082,negative,KC
pitcher_regression_indicator,0.000653,positive,KC
exp2_cat_k_fastball_diff,0.000653,positive,KC
away_elo,0.000482,positive,KC
team_barrel_15g_away,0.000446,positive,KC
elo_diff,0.000293,positive,KC
is_home,0.0,negative,KC
rest_days_diff,0.0,negative,KC
closer_availability_diff,0.0,negative,KC
dome_is_neutral,0.0,negative,KC
closer_available_home,0.0,negative,KC
closer_available_away,0.0,negative,KC
