feature,shap_value,signed_effect,perspective_team
away_team_id,0.283233,positive,LAD
home_team_id,0.171457,positive,LAD
lineup_woba_mean_home,0.055436,positive,LAD
sp_k9_home,-0.051939,negative,LAD
sp_k9_away,0.050645,positive,LAD
sp_era_5g_diff,0.050351,positive,LAD
exp2_cat_k_breaking_diff,-0.050119,negative,LAD
sp_xwoba_away,0.032618,positive,LAD
bullpen_whip_diff,0.028707,positive,LAD
lineup_woba_mean_diff,0.024759,positive,LAD
team_barrel_15g_home,0.020692,positive,LAD
pitcher_regression_indicator,0.018716,positive,LAD
bullpen_whip_10g_home,0.017529,positive,LAD
exp2_cat_xwoba_fastball_diff,0.017372,positive,LAD
sp_era_diff,0.016641,positive,LAD
bullpen_whip_3g_diff,-0.016368,negative,LAD
exp2_cat_xwoba_offspeed_diff,0.013464,positive,LAD
elo_diff,0.013136,positive,LAD
home_win_pct,-0.013007,negative,LAD
sp_fbvelo_diff,0.012462,positive,LAD
sp_xwoba_home,-0.011797,negative,LAD
air_density_velocity_boost,0.011462,positive,LAD
bullpen_meltdown_risk,-0.011006,negative,LAD
bullpen_whip_10g_away,0.010493,positive,LAD
lineup_depth_multiplier,0.009755,positive,LAD
lineup_handedness_matchup_advantage,-0.009203,negative,LAD
team_barrel_diff,-0.008983,negative,LAD
team_exitvelo_diff,-0.008594,negative,LAD
ace_efficiency_factor,0.008528,positive,LAD
lineup_woba_top3_diff,-0.007949,negative,LAD
woba_30g_away,-0.007923,negative,LAD
team_barrel_15g_away,0.00764,positive,LAD
lineup_woba_std_diff,-0.007136,negative,LAD
exp2_cat_platoon_k_fastball_diff,0.006849,positive,LAD
win_pct_diff,-0.006486,negative,LAD
team_exitvelo_15g_away,-0.005964,negative,LAD
bullpen_whip_3g_home,0.005304,positive,LAD
sp_era_home,-0.005016,negative,LAD
bullpen_whip_3g_away,-0.004806,negative,LAD
away_elo,0.004793,positive,LAD
team_exitvelo_15g_home,0.00414,positive,LAD
exp2_cat_k_offspeed_diff,0.003666,positive,LAD
home_elo,-0.003092,negative,LAD
woba_30g_diff,0.002921,positive,LAD
lineup_woba_top3_home,-0.002655,negative,LAD
woba_30g_home,0.002614,positive,LAD
exp2_cat_k_fastball_diff,0.002418,positive,LAD
exp2_centered_k_diff,-0.00237,negative,LAD
team_hardhit_diff,-0.00216,negative,LAD
sp_era_away,-0.001799,negative,LAD
bullpen_pitches_diff,0.001479,positive,LAD
lineup_woba_top3_away,0.001163,positive,LAD
wind_advantage_flyball_factor,0.00096,positive,LAD
lineup_woba_mean_away,-0.000847,negative,LAD
travel_fatigue_diff,0.000527,positive,LAD
exp2_cat_xwoba_breaking_diff,0.000459,positive,LAD
away_win_pct,0.000262,positive,LAD
park_factor_slug_diff,8e-05,positive,LAD
is_home,-0.0,negative,LAD
rest_days_diff,-0.0,negative,LAD
closer_availability_diff,-0.0,negative,LAD
dome_is_neutral,-0.0,negative,LAD
closer_available_home,-0.0,negative,LAD
closer_available_away,-0.0,negative,LAD
