feature,shap_value,signed_effect,perspective_team
away_team_id,0.258973,positive,MIN
home_team_id,-0.089922,negative,MIN
air_density_velocity_boost,-0.074722,negative,MIN
sp_era_5g_diff,0.051892,positive,MIN
bullpen_meltdown_risk,-0.038607,negative,MIN
bullpen_whip_3g_diff,0.030095,positive,MIN
exp2_centered_k_diff,0.028422,positive,MIN
sp_fbvelo_diff,-0.023951,negative,MIN
sp_k9_away,-0.018048,negative,MIN
bullpen_whip_3g_home,0.016916,positive,MIN
team_exitvelo_15g_home,0.016755,positive,MIN
lineup_depth_multiplier,0.016023,positive,MIN
exp2_cat_k_breaking_diff,-0.015267,negative,MIN
team_barrel_diff,0.013452,positive,MIN
away_elo,-0.013325,negative,MIN
away_win_pct,-0.013205,negative,MIN
team_hardhit_diff,-0.012038,negative,MIN
bullpen_pitches_diff,-0.012029,negative,MIN
sp_xwoba_home,-0.010985,negative,MIN
exp2_cat_xwoba_fastball_diff,-0.010611,negative,MIN
team_exitvelo_diff,-0.009056,negative,MIN
team_barrel_15g_home,0.009044,positive,MIN
pitcher_regression_indicator,0.006865,positive,MIN
lineup_handedness_matchup_advantage,0.006591,positive,MIN
lineup_woba_std_diff,-0.006385,negative,MIN
sp_era_home,0.005846,positive,MIN
sp_k9_home,0.005468,positive,MIN
woba_30g_away,-0.005307,negative,MIN
exp2_cat_k_fastball_diff,-0.005205,negative,MIN
lineup_woba_mean_away,0.004709,positive,MIN
team_barrel_15g_away,0.0046,positive,MIN
exp2_cat_xwoba_offspeed_diff,-0.004546,negative,MIN
bullpen_whip_3g_away,-0.004302,negative,MIN
home_win_pct,0.004221,positive,MIN
sp_xwoba_away,0.004031,positive,MIN
sp_era_diff,-0.003876,negative,MIN
home_elo,0.003474,positive,MIN
win_pct_diff,0.003457,positive,MIN
lineup_woba_top3_away,0.003286,positive,MIN
wind_advantage_flyball_factor,0.002891,positive,MIN
team_exitvelo_15g_away,-0.002763,negative,MIN
lineup_woba_mean_diff,-0.002443,negative,MIN
lineup_woba_top3_diff,-0.002227,negative,MIN
park_factor_slug_diff,-0.002185,negative,MIN
lineup_woba_top3_home,-0.001938,negative,MIN
woba_30g_diff,0.001791,positive,MIN
ace_efficiency_factor,0.001529,positive,MIN
bullpen_whip_10g_away,0.001526,positive,MIN
exp2_cat_k_offspeed_diff,-0.001248,negative,MIN
woba_30g_home,0.001247,positive,MIN
bullpen_whip_10g_home,0.00108,positive,MIN
travel_fatigue_diff,-0.001042,negative,MIN
sp_era_away,-0.000981,negative,MIN
elo_diff,-0.000878,negative,MIN
exp2_cat_xwoba_breaking_diff,0.000728,positive,MIN
bullpen_whip_diff,-0.000406,negative,MIN
lineup_woba_mean_home,-0.000356,negative,MIN
exp2_cat_platoon_k_fastball_diff,-0.000342,negative,MIN
is_home,0.0,negative,MIN
rest_days_diff,0.0,negative,MIN
closer_availability_diff,0.0,negative,MIN
dome_is_neutral,0.0,negative,MIN
closer_available_home,0.0,negative,MIN
closer_available_away,0.0,negative,MIN
