game_id,game_date,start_time_utc,home_team,away_team,home_record,away_record,home_win_prob_model,away_win_prob_model,edge_home,edge_away,sp_name_home,sp_name_away,sp_era_home,sp_k9_home,sp_era_away,sp_k9_away,venue,model_pick,home_win,home_score,away_score,total_runs,game_state,game_status_detail
20260914_CHW@CLE,2026-09-14,2026-09-14 18:40:00-04:00,CLE,CWS,76-74,76-73,0.6156,0.38439999999999996,0.0,0.0,Gavin Williams,Sean Newcomb,3.661017,12.413136,2.987234,8.502128,Progressive Field,CLE,,0,0,,in,Top 3rd
20260914_LAD@CIN,2026-09-14,2026-09-14 18:40:00-04:00,CIN,LAD,70-79,90-59,0.414,0.5860000000000001,0.0,0.0,Nick Lodolo,Tarik Skubal,4.681452,7.512097,2.6443298,11.064433,Great American Ball Park,LAD,,0,1,,in,Bottom 3rd
20260914_DET@TOR,2026-09-14,2026-09-14 19:07:00-04:00,TOR,DET,75-75,70-79,0.5714,0.4286,0.0,0.0,José Soriano,Troy Melton,3.4662163,9.182432,2.16,7.56,Rogers Centre,TOR,,0,0,,in,Bottom 1st
20260914_BAL@NYM,2026-09-14,2026-09-14 19:10:00-04:00,NYM,BAL,69-80,72-78,0.5109,0.4891,0.0,0.0,Jonah Tong,Brandon Young,5.586207,6.5172415,3.672544,7.481108,Citi Field,NYM,,0,0,,in,Top 1st
20260914_ATL@CHC,2026-09-14,2026-09-14 19:40:00-04:00,CHC,ATL,83-67,88-62,0.5258,0.47419999999999995,0.0,0.0,David Peterson,Reynaldo López,5.339833,8.498608,4.194175,8.650485,Wrigley Field,CHC,,0,0,,pre,Scheduled
20260914_NYY@MIN,2026-09-14,2026-09-14 19:40:00-04:00,MIN,NYY,70-79,86-63,0.4587,0.5413,0.0,0.0,Dean Kremer,Will Warren,5.513089,9.329843,4.8287153,9.04534,Target Field,NYY,,0,0,,pre,Scheduled
20260914_SF@STL,2026-09-14,2026-09-14 19:45:00-04:00,STL,SF,74-76,62-88,0.5946,0.4054,0.0,0.0,Quinn Mathews,Landen Roupp,4.5633802,9.1267605,3.4565217,8.934783,Busch Stadium,STL,,0,0,,pre,Scheduled
20260914_SD@COL,2026-09-14,2026-09-14 20:40:00-04:00,COL,SD,55-94,81-68,0.3886,0.6113999999999999,0.0,0.0,Tomoyuki Sugano,Casey Mize,5.1896105,5.54026,3.6,8.181818,Coors Field,SD,,0,0,,pre,Scheduled
20260914_SEA@LAA,2026-09-14,2026-09-14 21:38:00-04:00,LAA,SEA,56-93,70-80,0.5312,0.4688,0.0,0.0,Reid Detmers,Kade Anderson,3.1898735,10.367088,3.6818182,6.75,Angel Stadium,LAA,,0,0,,pre,Scheduled
20260914_MIA@ARI,2026-09-14,2026-09-14 21:40:00-04:00,AZ,MIA,79-71,74-76,0.5759,0.42410000000000003,0.0,0.0,Corbin Burnes,Sandy Alcantara,2.8421052,9.0,3.6972973,6.908108,Chase Field,AZ,,0,0,,pre,Scheduled
