hp_umpire_id,hp_umpire_name,season,games_worked,mean_runs_game,trailing_runs_game,called_pitch_n,called_strike_rate
427013,Lance Barksdale,2024,35,9.03125,8.84,,
427044,CB Bucknor,2024,34,8.827586206896552,8.12,,
427053,Mark Carlson,2024,34,7.806451612903226,7.28,,
427093,Phil Cuzzi,2024,34,8.451612903225806,8.4,,
427113,Laz Diaz,2024,35,9.633333333333333,9.72,,
427128,Rob Drake,2024,34,7.172413793103448,6.92,,
427129,Bruce Dreckman,2024,30,11.407407407407407,11.16,,
427139,Doug Eddings,2024,39,7.6571428571428575,7.8,,
427164,Andy Fletcher,2024,37,11.558823529411764,11.0,,
427197,Chris Guccione,2024,24,9.736842105263158,9.736842105263158,,
427220,Angel Hernandez,2024,11,10.0,10.0,,
427243,Marvin Hudson,2024,35,9.933333333333334,10.08,,
427248,Dan Iassogna,2024,36,8.709677419354838,8.52,,
427286,Brian Knight,2024,19,8.375,8.375,,
427299,Jerry Layne,2024,1,,,,
427315,Alfonso Márquez,2024,36,9.129032258064516,9.8,,
427344,Bill Miller,2024,38,8.030303030303031,8.52,,
427366,Brian O'Nora,2024,30,8.846153846153847,9.16,,
427413,Tony Randazzo,2024,34,7.806451612903226,7.16,,
427520,Larry Vanover,2024,31,8.607142857142858,8.6,,
427533,Mark Wegner,2024,28,10.291666666666666,10.291666666666666,,
427537,Hunter Wendelstedt,2024,34,8.064516129032258,8.24,,
427554,Jim Wolf,2024,27,7.166666666666667,7.166666666666667,,
428442,James Hoye,2024,34,8.566666666666666,8.72,,
429805,Todd Tichenor,2024,33,8.64516129032258,8.4,,
431232,Chad Fairchild,2024,33,8.933333333333334,9.36,,
482608,Scott Barry,2024,26,10.478260869565217,10.478260869565217,,
482620,Chris Conroy,2024,23,6.3478260869565215,6.3478260869565215,,
482631,Mike Estabrook,2024,36,7.129032258064516,7.28,,
482641,Adrian Johnson,2024,32,10.206896551724139,10.12,,
482663,David Rackley,2024,36,8.121212121212121,7.88,,
482666,D.J. Reyburn,2024,33,8.0,8.16,,
483561,Lance Barrett,2024,37,9.4375,9.6,,
483564,Dan Bellino,2024,36,9.666666666666666,9.56,,
483569,Vic Carapazza,2024,39,8.735294117647058,8.44,,
483630,John Tumpane,2024,32,9.517241379310345,9.72,,
483912,Mike Muchlinski,2024,35,10.066666666666666,9.56,,
483919,Mark Ripperger,2024,36,9.848484848484848,9.72,,
484183,Cory Blaser,2024,33,7.620689655172414,7.88,,
484198,Alan Porter,2024,35,8.2,7.76,,
