feature,pooled_oof_auc,fold_mean_auc,fold_sd_auc,coverage,constant,p1,p50,p99,min,max,outlier_pct,n_folds
elo_diff,0.5495,0.5407,0.0518,1.0,False,-195.897,2.531,180.162,-256.414,301.944,5.08,47
win_pct_diff,0.5454,0.5415,0.0663,1.0,False,-0.205,0.0,0.192,-0.302,0.307,5.85,47
sp_k9_30g_diff,0.5296,0.5279,0.0625,0.9507,False,-7.797,0.035,8.381,-11.769,18.871,5.49,47
lineup_woba_top3_diff,0.5267,0.5244,0.0618,0.9964,False,-0.062,0.0,0.063,-0.095,0.092,3.92,47
sp_whiff_diff,0.5221,0.5212,0.0624,0.9507,False,-0.11,0.001,0.103,-0.191,0.157,5.39,47
sp_fbvelo_diff,0.5196,0.5211,0.0702,0.9496,False,-7.152,-0.046,7.145,-13.263,11.209,3.9,47
woba_30g_diff,0.5182,0.5088,0.0595,0.9964,False,-0.067,0.0,0.07,-0.279,0.178,5.44,47
dome_is_neutral,0.5176,0.5198,0.0479,1.0,False,0.0,0.0,1.0,0.0,1.0,30.3,47
lineup_woba_mean_diff,0.5175,0.5123,0.0556,0.9964,False,-0.035,0.0,0.035,-0.049,0.047,4.42,47
lineup_handedness_matchup_advantage,0.5139,0.5105,0.0604,0.9959,False,-0.283,0.002,0.337,-1.5,1.135,7.17,47
bullpen_meltdown_risk,0.5134,0.5192,0.0699,0.9736,False,-57.97,1.052,99.603,-136.28,277.045,19.82,47
team_exitvelo_diff,0.5121,0.5121,0.0663,0.9964,False,-3.761,-0.039,3.593,-7.757,8.614,4.92,47
lineup_woba_std_diff,0.5107,0.5106,0.0589,0.9964,False,-0.026,-0.0,0.025,-0.042,0.046,5.42,47
team_hardhit_diff,0.5099,0.5086,0.0634,0.9964,False,-0.108,-0.0,0.118,-0.29,0.236,4.35,47
pitcher_regression_indicator,0.5087,0.5075,0.0634,0.9496,False,-31.77,-0.214,25.426,-136.776,303.597,18.3,47
team_barrel_diff,0.5084,0.5079,0.0633,0.9964,False,-0.031,0.0,0.03,-0.111,0.084,5.22,47
rest_days_diff,0.5082,0.5075,0.0247,0.993,False,-1.0,0.0,1.0,-2.0,4.0,7.21,47
park_factor_slug_diff,0.5046,0.5048,0.0635,0.9964,False,-0.004,0.0,0.003,-0.012,0.007,19.23,47
travel_fatigue_diff,0.5043,0.5039,0.0527,1.0,False,-1.0,0.0,1.0,-2.0,2.0,41.35,47
sp_fbpct_diff,0.5,0.5022,0.0633,0.9507,False,-0.349,-0.001,0.358,-0.53,0.667,5.66,47
lineup_depth_multiplier,0.499,0.5006,0.0577,0.9964,False,-0.0,0.0,0.002,-0.001,0.004,19.91,47
closer_availability_diff,0.4958,0.4942,0.0364,1.0,False,-1.0,0.0,1.0,-1.0,1.0,10.33,47
bullpen_whip_3g_diff,0.488,0.4881,0.0514,0.9858,False,-1.805,-0.017,1.601,-2.884,2.6,6.07,47
ace_efficiency_factor,0.488,0.4866,0.0532,0.9507,False,-0.165,0.027,0.767,-1.135,1.991,20.13,47
bullpen_pitches_diff,0.4862,0.4887,0.0736,0.9842,False,-160.0,4.0,172.35,-249.0,265.0,5.69,47
sp_era_30g_diff,0.4705,0.4685,0.0678,0.9507,False,-7.232,0.021,7.874,-103.765,39.041,7.49,47
sp_xwoba_vs_l_diff,0.4675,0.4668,0.0575,0.9252,False,-0.228,0.002,0.259,-0.639,0.729,8.03,46
sp_xwoba_diff,0.4667,0.4662,0.0599,0.9507,False,-0.159,0.0,0.163,-0.399,0.357,4.66,47
bullpen_whip_diff,0.4603,0.4611,0.059,0.9858,False,-0.956,0.0,0.932,-2.475,2.545,5.73,47
